"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Lactin 2","1",1,"1.B09","cf.a",0.0548731423011425,1.00286442304066,6000
"2","Lactin 2","1",1,"1.B09","cf.b",-1.40630379454508,1.00133009125291,5200
"3","Lactin 2","1",1,"1.B09","cf.delta_t",3.22582649001804,1.00089690505293,6000
"4","Lactin 2","1",1,"1.B09","cf.sigma",0.312372733236424,1.00148185204635,3600
"5","Lactin 2","1",1,"1.B09","cf.tmax",40.8721878954229,1.00151671360701,3400
"6","Lactin 2","1",1,"1.B09","deviance",-1.41744731208313,1.00139925058656,3900
"7","Lactin 2","1",1,"1.C06","cf.a",0.0563337118046248,1.00404980187835,6000
"8","Lactin 2","1",1,"1.C06","cf.b",-1.50952436024756,1.00066931295526,6000
"9","Lactin 2","1",1,"1.C06","cf.delta_t",3.45637000884373,1.00090200133928,6000
"10","Lactin 2","1",1,"1.C06","cf.sigma",0.570108455917254,1.00060564314139,6000
"11","Lactin 2","1",1,"1.C06","cf.tmax",41.0200853502182,1.00076839054554,6000
"12","Lactin 2","1",1,"1.C06","deviance",6.78924763383051,1.00061532561026,6000
"13","Lactin 2","1",1,"1.E02","cf.a",0.052898192111587,1.01107784542003,6000
"14","Lactin 2","1",1,"1.E02","cf.b",-1.44055397622873,1.00148280225945,3600
"15","Lactin 2","1",1,"1.E02","cf.delta_t",2.82859408191762,1.0008618642943,6000
"16","Lactin 2","1",1,"1.E02","cf.sigma",0.329750597864622,1.00098093652019,6000
"17","Lactin 2","1",1,"1.E02","cf.tmax",40.8755593391881,1.00096989176567,6000
"18","Lactin 2","1",1,"1.E02","deviance",-0.87451676371078,1.0008716917804,6000
"19","Lactin 2","1",1,"1.F11","cf.a",0.0533882432050534,1.00804578249605,3000
"20","Lactin 2","1",1,"1.F11","cf.b",-1.47313323351096,1.00262848612018,1600
"21","Lactin 2","1",1,"1.F11","cf.delta_t",2.29155203331131,1.00067582622965,6000
"22","Lactin 2","1",1,"1.F11","cf.sigma",0.415904454584863,1.00093629749297,6000
"23","Lactin 2","1",1,"1.F11","cf.tmax",40.6589858828382,1.00121228344573,6000
"24","Lactin 2","1",1,"1.F11","deviance",1.29351319963625,1.0008728397562,6000
"25","Lactin 2","2",10,"10.B10","cf.a",0.0631691549282104,1.00274747366578,6000
