"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Lactin 2","1",1,"1.B09","cf.a",0.0964734511861453,1.05632064363316,70
"2","Lactin 2","1",1,"1.B09","cf.b",-0.906273309660343,1.06163687281481,64
"3","Lactin 2","1",1,"1.B09","cf.delta_t",5.52426391833305,1.02466827460767,160
"4","Lactin 2","1",1,"1.B09","cf.sigma",0.317634268925861,1.07376768507401,57
"5","Lactin 2","1",1,"1.B09","cf.tmax",40.54784783683,1.23868643407932,230
"6","Lactin 2","1",1,"1.B09","deviance",-7.58844332794846,1.0779693913996,54
"7","Lactin 2","1",1,"1.C06","cf.a",0.0730181558617762,1.00147476056914,3600
"8","Lactin 2","1",1,"1.C06","cf.b",-1.41147215842832,1.00102255160169,6000
"9","Lactin 2","1",1,"1.C06","cf.delta_t",5.28464320154113,1.00140139961007,3900
"10","Lactin 2","1",1,"1.C06","cf.sigma",0.67415295428008,1.0007335562176,6000
"11","Lactin 2","1",1,"1.C06","cf.tmax",41.0379592236383,1.0583035808627,2600
"12","Lactin 2","1",1,"1.C06","deviance",8.33996969682134,1.00075762421343,6000
"13","Lactin 2","1",1,"1.E02","cf.a",0.0805032147079777,1.04811322836775,84
"14","Lactin 2","1",1,"1.E02","cf.b",-1.13463807818753,1.03268224307165,130
"15","Lactin 2","1",1,"1.E02","cf.delta_t",4.66977056639521,1.01306553428778,300
"16","Lactin 2","1",1,"1.E02","cf.sigma",0.394536495081769,1.01962221161637,190
"17","Lactin 2","1",1,"1.E02","cf.tmax",40.7555100594551,1.04935387248351,3200
"18","Lactin 2","1",1,"1.E02","deviance",-1.27698150819676,1.02143485772919,180
"19","Lactin 2","1",1,"1.F11","cf.a",0.0628783542256242,1.00811196413627,1700
"20","Lactin 2","1",1,"1.F11","cf.b",-1.40093559436033,1.00277779624465,1800
"21","Lactin 2","1",1,"1.F11","cf.delta_t",3.83348782321449,1.00159197886018,3200
"22","Lactin 2","1",1,"1.F11","cf.sigma",0.575590972081223,1.00097290818125,6000
"23","Lactin 2","1",1,"1.F11","cf.tmax",40.6321003835325,1.08845008049449,1200
"24","Lactin 2","1",1,"1.F11","deviance",4.54251594444728,1.00112329730394,5600
"25","Lactin 2","2",10,"10.B10","cf.a",0.0818018726228675,1.00286570178308,4600
"26","Lactin 2","2",10,"10.B10","cf.b",-1.61005659608676,1.00139334772236,3900
"27","Lactin 2","2",10,"10.B10","cf.delta_t",6.83297039721942,1.00394349184564,2400
"28","Lactin 2","2",10,"10.B10","cf.sigma",0.435569803902469,1.0018877732784,2500
"29","Lactin 2","2",10,"10.B10","cf.tmax",40.9264485898241,1.15569357299828,650
"30","Lactin 2","2",10,"10.B10","deviance",2.63336638373404,1.00260602203996,1800
"31","Lactin 2","2",10,"10.C08","cf.a",0.0755059977644416,1.00291646469215,1500
"32","Lactin 2","2",10,"10.C08","cf.b",-1.52471304968002,1.00147587800474,3600
"33","Lactin 2","2",10,"10.C08","cf.delta_t",5.93859993887496,1.0030618470281,1400
"34","Lactin 2","2",10,"10.C08","cf.sigma",0.28866576944511,1.00090788860522,6000
"35","Lactin 2","2",10,"10.C08","cf.tmax",41.0019548156372,1.00917385827179,5400
"36","Lactin 2","2",10,"10.C08","deviance",-2.5958774998466,1.00103246628419,6000
"37","Lactin 2","2",10,"10.E04","cf.a",0.072720252712499,1.00274383163056,5200
"38","Lactin 2","2",10,"10.E04","cf.b",-1.37609029081917,1.00136145917706,4100
"39","Lactin 2","2",10,"10.E04","cf.delta_t",6.28116983730415,1.00406121889632,1300
"40","Lactin 2","2",10,"10.E04","cf.sigma",0.780208259838336,1.00262273018522,1700
"41","Lactin 2","2",10,"10.E04","cf.tmax",40.4503773014481,1.10539020053921,460
"42","Lactin 2","2",10,"10.E04","deviance",10.1411505800327,1.003072838212,1600
"43","Lactin 2","2",10,"10.F09","cf.a",0.0715762433032387,1.0025325678771,1800
"44","Lactin 2","2",10,"10.F09","cf.b",-1.55161444648079,1.00152435277822,3400
"45","Lactin 2","2",10,"10.F09","cf.delta_t",5.23921163986435,1.00175479806497,2800
"46","Lactin 2","2",10,"10.F09","cf.sigma",0.328351988663537,1.00125233888948,4600
"47","Lactin 2","2",10,"10.F09","cf.tmax",40.946708571964,1.1726366263161,1500
"48","Lactin 2","2",10,"10.F09","deviance",-1.32161591123575,1.00126088232555,4600
"49","Lactin 2","20",11,"11.B06","cf.a",0.0596675586308728,1.00992168302415,750
"50","Lactin 2","20",11,"11.B06","cf.b",-1.22146952586437,1.0047176518445,1100
"51","Lactin 2","20",11,"11.B06","cf.delta_t",3.78501893667964,1.00165679669381,3000
"52","Lactin 2","20",11,"11.B06","cf.sigma",0.462248792690638,1.00120737637231,4900
"53","Lactin 2","20",11,"11.B06","cf.tmax",40.4955545150785,1.10521595355264,1200
"54","Lactin 2","20",11,"11.B06","deviance",1.79204146886427,1.00145383734043,3700
"55","Lactin 2","20",11,"11.D03","cf.a",0.0725128859812899,1.00172558763456,2900
"56","Lactin 2","20",11,"11.D03","cf.b",-1.21430734037113,1.00117325847988,5200
"57","Lactin 2","20",11,"11.D03","cf.delta_t",6.28195450334449,1.00112701254137,5600
"58","Lactin 2","20",11,"11.D03","cf.sigma",0.67100010343184,1.00122945605068,4800
