"","Pop.fac","Pop.num","unique.id","T.µ.max","T.br","I.µ.max","I.comp","N.µ.max","N.comp","P.µ.max","P.comp","S.µ.max","S.c","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"1","1",1,"1.B09",3.93541068944681,16.5482667311315,1.56479658593375,0.0922579839772106,1.49097629090655,0.238414473169415,1.51485963437585,1.51636389139021,1.20982117061321,2.02738947700625,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"2","1",1,"1.C06",3.95695727700276,16.4884351175475,1.58405829644119,0.100983244409132,1.41902952483409,0.300561382416457,1.58205820879862,0.782152336692571,1.20982117061321,2.02738947700625,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"3","1",1,"1.E02",3.84996665304417,15.9917805004963,1.54376488661222,0.0956499647564307,1.48802103274696,0.279926842498078,1.52955534127882,1.58838556191852,1.20982117061321,2.02738947700625,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"4","1",1,"1.F11",4.26625044625923,15.0550194352822,1.50693363692914,0.0854295307514769,1.46263677553524,0.209031205558684,1.36289143353526,1.43506503620532,1.20982117061321,2.02738947700625,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"5","2",10,"10.B10",3.87217577166907,17.2793734098469,1.62944346766017,0.0917897016550428,1.44102553421966,0.226958159707889,1.42888688382731,1.33336753556664,1.37319044293755,8.90646637416564,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"6","2",10,"10.C08",3.64924500245572,17.158266468762,1.6900038603442,0.113869457387378,1.57077640875978,0.296869914715095,1.50285322030585,1.41296734586625,1.37319044293755,8.90646637416564,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"7","2",10,"10.E04",3.85022636581397,17.1126472396248,1.62643751313364,0.108450814774085,1.67362752459522,0.229150190574513,1.66650470566569,1.47317914236835,1.37319044293755,8.90646637416564,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"8","2",10,"10.F09",3.90497144958025,16.7218952581788,1.62014942533488,0.0982144946419198,1.54800639707236,0.311168906134346,1.59061828672685,1.45332626573328,1.37319044293755,8.90646637416564,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"9","20",11,"11.B06",3.78635341780264,16.1087749941646,1.76470178133718,0.109552570245188,1.55831001705072,0.216110868121591,1.64116059863552,0.661894950673058,1.28569219118741,3.21979448492181,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"10","20",11,"11.D03",3.44113070250003,17.9491772689423,1.74568207127024,0.106594074937562,1.45654097362691,0.220882495518075,1.44657708211029,0.693329563159065,1.28569219118741,3.21979448492181,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"11","20",11,"11.D08",3.98823628931303,16.9364038914299,1.712867647701,0.0969198861368089,1.34173491280991,0.20988195719974,1.52826864216723,0.547186839473859,1.28569219118741,3.21979448492181,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"12","20",11,"11.E09",3.83852568496541,16.7216600269565,1.71466944138594,0.0975998275603537,1.38358813779809,0.195382315065385,1.64520829438586,0.554528631915663,1.28569219118741,3.21979448492181,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"13","21",12,"12.C02",4.77830206633598,17.5997071783153,1.71555310526659,0.169976085691011,1.66166004927195,0.514110529174079,1.45742473301162,3.26628792712238,1.62427384893869,2.82985940332279,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,450.7877336,"anc4","B"
"14","21",12,"12.C09",4.74599200931102,17.280923274704,1.64970859194701,0.137854352621768,1.6508327424065,0.601949121167931,1.54758022616565,2.02648362869947,1.62427384893869,2.82985940332279,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,450.7877336,"anc4","B"
"15","21",12,"12.E09",4.38780678522656,17.5937441375143,1.72685280011985,0.153994850042076,1.58546764988058,0.393060589267572,1.47764650206518,2.15001953054307,1.62427384893869,2.82985940332279,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,450.7877336,"anc4","B"
"16","21",12,"12.F04",4.77735578444643,16.6016947347178,1.63419313523941,0.2062813991928,1.59881106197614,0.637500617763723,1.42821812254237,2.54511112993867,1.62427384893869,2.82985940332279,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,450.7877336,"anc4","B"
"17","22",13,"13.B05",4.65544920181183,16.2362258558749,1.7648966360159,0.112527104878204,1.6566420307009,0.231146533829396,1.6159657755578,0.311601750946725,1.54650674464105,2.70223504762898,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"18","22",13,"13.D03",3.90266848368864,17.4054036167551,1.61137884420538,0.0960679689900619,1.68021970029889,0.240143492791664,1.39725491878356,0.236690493674197,1.54650674464105,2.70223504762898,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"19","22",13,"13.E10",4.02174387837395,16.9789544345179,1.75789080463337,0.106743741947408,1.52084228800265,0.240119679344639,1.50827934577104,0.283880795962221,1.54650674464105,2.70223504762898,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"20","22",13,"13.F06",3.65328409629124,17.548352936666,1.59183025189131,0.0994630199006055,1.55496899333729,0.310732069803577,1.37306173356694,0.234117309367919,1.54650674464105,2.70223504762898,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"21","23",14,"14.B06",3.99127336713694,17.7241975781458,1.80951084478131,0.12701387648865,1.56580023054789,0.30185811066359,1.56203239408638,0.880645261022696,1.47573741301581,3.57350745202151,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"22","23",14,"14.C10",4.75408792971998,17.0139404451441,1.71450492751498,0.140625404616294,1.66498512895778,0.332112024767127,1.80894950705397,0.84412345783596,1.47573741301581,3.57350745202151,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"23","23",14,"14.E05",3.96181604957549,17.7651761872673,1.77694322993587,0.154847523075339,1.54374169476018,0.337515068570446,1.58356916726725,0.852110921371625,1.47573741301581,3.57350745202151,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"24","23",14,"14.F10",4.09445534643574,17.6978658909665,1.64205439734564,0.14211645959619,1.57390352080885,0.443447343383929,1.66869740678101,0.799300207256421,1.47573741301581,3.57350745202151,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"25","24",15,"15.B11",4.02925153005759,17.1663955310521,1.5481002653514,0.0887851954665065,1.55097244343501,0.22057407906625,1.64477046868766,1.38343216703001,1.70745740622584,2.59304074065455,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"26","24",15,"15.D02",4.00958128060322,17.2496259659684,1.57926161534362,0.0857471773154334,1.43223706777749,0.211213859550784,1.78236603080526,1.61243602549986,1.70745740622584,2.59304074065455,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"27","24",15,"15.E06",3.97960937496992,16.437238959138,1.57253562636198,0.116155116486054,1.41578173777389,0.215361423018281,1.57801741839852,1.46810404912517,1.70745740622584,2.59304074065455,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"28","24",15,"15.E11",3.60054296098443,17.4102708154447,1.6253911243793,0.0913929431186783,1.48443747430471,0.211895850751145,1.51912172907304,1.34121066074911,1.70745740622584,2.59304074065455,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"29","25",16,"16.B02",4.38421693513054,17.3728007065632,1.734677812081,0.111179357877683,1.65394033189713,0.257338298760583,1.49401981653512,2.79025760731992,1.25685169667761,6.45441892956346,387.465,74.38,14.7452,5.9852,1.0849,0.239971383316122,455.4003616,"anc2","BS"
