"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)","a",0.0203862340372309,0.00272586072689963,2.97294631556221e-06
"2",1,"Akashiwo sanguinea","Thomas et al. (1973)","b",-1.21009891423172,0.0411527806153866,5.49971995803896e-14
"3",1,"Akashiwo sanguinea","Thomas et al. (1973)","tmax",34.550662246911,0.762521875143192,1.37340183291943e-16
"4",1,"Akashiwo sanguinea","Thomas et al. (1973)","delta_t",3.89317102218328,0.839991013185441,0.000386079269605121
"5",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","a",0.2,NA,NA
"6",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","b",-0.24726012901316,NA,NA
"7",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","tmax",18.3874142262948,NA,NA
"8",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","delta_t",4.86232765518321,NA,NA
"9",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","a",0.0510055617610252,0.379869395116419,0.915028440997407
"10",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","b",-0.731891514596601,5.54569429488326,0.916465029705169
"11",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","tmax",30.4611326246839,34.3507576913103,0.538160371072032
"12",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","delta_t",11.2246060626492,16.832176499459,0.625583310782151
"13",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","a",0.0921352821836283,0.165444214762798,0.676519167371857
"14",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","b",-0.538224488951892,1.91804141459859,0.825836324413931
"15",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","tmax",26.6983073696136,8.45487158787167,0.195245041744924
"16",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","delta_t",8.75049936110653,4.96913469229421,0.328787631208674
"17",5,"Alexandrium minutum","Cannon (1993)","a",0.2,NA,NA
"18",5,"Alexandrium minutum","Cannon (1993)","b",-0.0136298882534698,NA,NA
"19",5,"Alexandrium minutum","Cannon (1993)","tmax",27.3990218530276,NA,NA
"20",5,"Alexandrium minutum","Cannon (1993)","delta_t",4.9790319488061,NA,NA
"21",6,"Alexandrium monilatum","Juhl (2005)","a",0.0326279337009725,NA,NA
"22",6,"Alexandrium monilatum","Juhl (2005)","b",-1.6573666056395,NA,NA
"23",6,"Alexandrium monilatum","Juhl (2005)","tmax",33.1742984242102,NA,NA
"24",6,"Alexandrium monilatum","Juhl (2005)","delta_t",1.25537280007271,NA,NA
"25",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","a",0.111921182926117,0.016363957273664,0.000480145341615586
"26",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","b",-0.354074942336249,0.118758737294116,0.0245900222246851
"27",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","tmax",29.0259044386593,0.900230107915442,5.9176494720393e-08
"28",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","delta_t",8.41927486283743,0.939677836251655,0.000107964847872858
"29",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","a",0.0534480357156332,0.228277417171333,0.82266383905378
"30",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","b",-0.865436491396975,3.20189292139415,0.795994563796888
"31",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","tmax",31.5186744897751,14.7260459009805,0.0761151339754798
