"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)","a",0.0203862344776752,0.0027258617218227,2.97295792108171e-06
"2",1,"Akashiwo sanguinea","Thomas et al. (1973)","b",-1.21009891982731,0.0411527929623165,5.49974236312875e-14
"3",1,"Akashiwo sanguinea","Thomas et al. (1973)","tmax",34.5506623595851,0.762522122094589,1.37340795817136e-16
"4",1,"Akashiwo sanguinea","Thomas et al. (1973)","delta_t",3.8931711612096,0.839991333793889,0.000386080445143167
"5",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","a",0.364826861287979,NA,NA
"6",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","b",0,NA,NA
"7",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","tmax",16.5924265887034,NA,NA
"8",2,"Alexandrium catenella strain ACC02","Navarro et al. (2006)","delta_t",2.73811446467805,NA,NA
"9",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","a",0.0558806798309867,0.274524330778003,0.872159708930478
"10",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","b",-0.660900337872343,3.98146683765331,0.895279677164111
"11",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","tmax",30,26.6805541244476,0.462759469761096
"12",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","delta_t",11.3568291328651,3.6826932313633,0.199626538035613
"13",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","a",0.0921352884600269,0.165444172296714,0.67651907947851
"14",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","b",-0.538224419466906,1.9180405678468,0.825836272685139
"15",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","tmax",26.6983070498851,8.45486939157296,0.195244996341991
"16",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","delta_t",8.75049916695131,4.96913542581309,0.328787677626604
"17",5,"Alexandrium minutum","Cannon (1993)","a",0.121748191703521,NA,NA
"18",5,"Alexandrium minutum","Cannon (1993)","b",-0.288482675407185,NA,NA
"19",5,"Alexandrium minutum","Cannon (1993)","tmax",30,NA,NA
"20",5,"Alexandrium minutum","Cannon (1993)","delta_t",7.85724975851347,NA,NA
"21",6,"Alexandrium monilatum","Juhl (2005)","a",0.0326279337009726,NA,NA
"22",6,"Alexandrium monilatum","Juhl (2005)","b",-1.6573666056395,NA,NA
"23",6,"Alexandrium monilatum","Juhl (2005)","tmax",33.1742984242103,NA,NA
"24",6,"Alexandrium monilatum","Juhl (2005)","delta_t",1.25537280007274,NA,NA
"25",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","a",0.111921190393201,0.0163639136162173,0.000480138249614642
"26",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","b",-0.354074889938215,0.118758487643455,0.0245898369543159
"27",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","tmax",29.0259040251572,0.90022688411789,5.91752346542845e-08
"28",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","delta_t",8.41927443268759,0.939675153820034,0.000107963142493821
"29",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","a",0.0537310568958548,0.218651116179252,0.814074544827538
"30",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","b",-0.861498923414091,3.07869639990597,0.789007696221151
"31",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","tmax",31.5,14.2645629472085,0.0693082503879424
"32",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","delta_t",10.2816766864315,13.1850838084696,0.465149483031869
"33",9,"Amphiprora sp.","Hulburt (1982)","a",0.161187647303436,0.0265440370883244,0.00896442698907809
"34",9,"Amphiprora sp.","Hulburt (1982)","b",-0.219542137852448,0.185388033349541,0.32159975425718
"35",9,"Amphiprora sp.","Hulburt (1982)","tmax",34.4907587756374,0.504066239870435,6.87846455649402e-06
"36",9,"Amphiprora sp.","Hulburt (1982)","delta_t",6.13446732696384,0.94125784225711,0.00733887692803236
"37",10,"Apedinella radians","Throndsen (1976)","a",0.101602222300689,NA,NA
"38",10,"Apedinella radians","Throndsen (1976)","b",-0.701786421143046,NA,NA
"39",10,"Apedinella radians","Throndsen (1976)","tmax",30,NA,NA
"40",10,"Apedinella radians","Throndsen (1976)","delta_t",7.58639292373958,NA,NA
"41",11,"Asterionellopsis glacialis","Hulburt (1982)","a",0.0308898270028273,0.00317288128201922,2.55211133923357e-05
"42",11,"Asterionellopsis glacialis","Hulburt (1982)","b",-0.866993602134461,0.135514892958856,0.000368060765225227
"43",11,"Asterionellopsis glacialis","Hulburt (1982)","tmax",34.6811757527485,0.0962236124341301,3.34208360325131e-16
"44",11,"Asterionellopsis glacialis","Hulburt (1982)","delta_t",0.502385425308275,0.174793729947882,0.0238497140973844
"45",12,"Asterionellopsis glacialis","Hulburt (1982)","a",0.0155551217943891,0.0110308060195278,0.20134722646198
"46",12,"Asterionellopsis glacialis","Hulburt (1982)","b",-0.422063719000532,0.19125532337224,0.063093823141549
"47",12,"Asterionellopsis glacialis","Hulburt (1982)","tmax",27.8698778796844,0.565755393545858,3.71825069519422e-10
"48",12,"Asterionellopsis glacialis","Hulburt (1982)","delta_t",1.12572984141518,1.2329516275574,0.391584597456322
"49",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","a",0.0431632166386344,0.0042700873152193,0.00053904540063334
"50",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","b",-0.541154246543728,0.122524502479565,0.0115403890288715
"51",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","tmax",30.3160992345761,0.169549977723607,5.86892234216124e-09
"52",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","delta_t",1.75399948624338,0.479928065295421,0.0216811177434654
"53",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","a",0.0849088773947035,0.126283771160863,0.570623151258554
"54",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","b",-0.945456533356779,1.68037299333799,0.630331007213157
"55",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","tmax",28.4178253533758,5.59603284554348,0.0366584062997269
"56",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","delta_t",8.33537039125415,0.527433740464037,0.00398003793773862
"57",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","a",0.0597821167454316,7.16783536781609,0.994102598222947
"58",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","b",-1.05958471828005,77.094786250874,0.990282038559233
"59",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","tmax",29.3082011642822,197.123283738166,0.895443912933802
"60",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","delta_t",8.24904040888352,534.670456910851,0.98909121448483
"61",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","a",0.00446304229827355,0.00212117490817403,0.0734315576285151
"62",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","b",-0.988561935220103,0.0474764246693828,1.48064257980772e-07
