"","Sp.id","Sp.name","Parameter","est","se","p"
"1",1,"Ankistrodesmus","a",0.111780977091484,0.0560802322119085,0.071629291774544
"2",1,"Ankistrodesmus","b",0,0.81735130944458,1
"3",1,"Ankistrodesmus","tmax",37.1589845749251,2.69511520716858,2.75821096528061e-08
"4",1,"Ankistrodesmus","delta_t",8.47212471704209,3.14519360660998,0.0208915759605173
"5",2,"Chlamydomonas","a",0.0676023063133588,0.568467452766225,0.907482478576059
"6",2,"Chlamydomonas","b",-0.519514815354546,11.2256865474215,0.963917290692059
"7",2,"Chlamydomonas","tmax",40,25.1733739489299,0.140372088197924
"8",2,"Chlamydomonas","delta_t",9.64807361816114,26.98650938174,0.727471568262826
"9",3,"Chlorella","a",0.120045482996309,0.0750010784824609,0.137773974902639
"10",3,"Chlorella","b",-1.06141194301225,1.82423615043016,0.572406216302773
"11",3,"Chlorella","tmax",40,3.90347593225412,5.78869818125949e-07
"12",3,"Chlorella","delta_t",7.61943436447199,2.76590845244428,0.0187303088566232
"13",4,"Monoraphidium","a",0.0361824956045786,0.013867100341131,0.0242907166805505
"14",4,"Monoraphidium","b",-1.15389963122519,0.535716619336962,0.0542739987254679
"15",4,"Monoraphidium","tmax",40,22.8269219404076,0.107509347147154
"16",4,"Monoraphidium","delta_t",2.40119473062275,11.8194686821317,0.842722335492559
"17",5,"Scenedesmus","a",0.107083409520217,0.358306643288892,0.770617499943071
"18",5,"Scenedesmus","b",0,5.38528549264377,1
"19",5,"Scenedesmus","tmax",40,23.3314636763957,0.11445051777819
"20",5,"Scenedesmus","delta_t",8.77575085983567,21.2769170721295,0.687930938504797
"21",6,"Raphidocelis","a",0.0657066660180056,5.22317631126142,0.990188273225406
"22",6,"Raphidocelis","b",-0.926859328042727,75.4140074438204,0.990414096015312
"23",6,"Raphidocelis","tmax",38.344943811644,116.855874643426,0.748968004291086
"24",6,"Raphidocelis","delta_t",8.73232160863021,413.794608878724,0.983541398623575
