"","Sp.id","Sp.name","Parameter","est","se","p"
"1",1,"Synechococcus","a",0.0845558137877735,0.221557793318602,0.714047409785767
"2",1,"Synechococcus","b",-0.428555667347945,3.7445618575065,0.912096639106477
"3",1,"Synechococcus","tmax",40,19.5451107994331,0.0799366775191743
"4",1,"Synechococcus","delta_t",10.5713919723235,15.612405786027,0.520075215266024
"5",2,"Kirchneriella_subcapitata","a",0.0747634784984154,0.280578624073582,0.797562141738391
"6",2,"Kirchneriella_subcapitata","b",-1.00698275087756,6.13446351450185,0.874250976540534
"7",2,"Kirchneriella_subcapitata","tmax",40,22.3221533780671,0.116247065743328
"8",2,"Kirchneriella_subcapitata","delta_t",10.6291978248746,7.79372714317352,0.214857660437448
"9",3,"Microcystis_aeruginosa","a",0.0930263526178085,0.118233384764697,0.454072029778825
"10",3,"Microcystis_aeruginosa","b",-0.550983736383004,1.68259940242205,0.751724760560339
"11",3,"Microcystis_aeruginosa","tmax",38.0215409529826,8.67332904854358,0.00233707910671133
"12",3,"Microcystis_aeruginosa","delta_t",9.9759263439869,8.63780794966778,0.281454382982777
"13",4,"Pediastrum_boryanum","a",0.0664702458840517,0.135230765252168,0.636251455774518
"14",4,"Pediastrum_boryanum","b",-0.840149071140073,2.93979895597565,0.782303376660024
"15",4,"Pediastrum_boryanum","tmax",40,11.8831658192048,0.00984223683532042
"16",4,"Pediastrum_boryanum","delta_t",11.342479278097,1.98210516511722,0.000442788955690836
"17",5,"Cyclotella_meneghiniana","a",0.115678634577268,0.0344333356454996,0.0099392229206406
"18",5,"Cyclotella_meneghiniana","b",-0.978430493795309,0.679466311034915,0.187828620376241
"19",5,"Cyclotella_meneghiniana","tmax",36.5727525108847,1.41904158516711,5.51059363412438e-09
"20",5,"Cyclotella_meneghiniana","delta_t",8.04831041076362,1.55922280012941,0.000861812759843528
"21",6,"Scenedesmus_acuminatus","a",0.0558811293728995,1.75453496476455,0.975372313149014
"22",6,"Scenedesmus_acuminatus","b",-1.14380454258464,25.794215201083,0.965717500199963
"23",6,"Scenedesmus_acuminatus","tmax",38.7728027814237,60.9656425593189,0.542552711438928
"24",6,"Scenedesmus_acuminatus","delta_t",9.78972450768823,168.050751115112,0.954974676165729
