"","Sp.id","light","id","r.exp"
"1","Synechococcus",0.15,"2.3",-0.0330619744791779
"2","Synechococcus",0.15,"2.4",-0.0120679567167362
"3","Synechococcus",0.15,"1.1",0.00108708394609085
"4","Synechococcus",0.15,"1.2",-0.0122192009308307
"5","Synechococcus",0.95,"2.3",0.0109286980667401
"6","Synechococcus",0.95,"2.4",0.430093496547189
"7","Synechococcus",0.95,"1.1",0.0763413367246512
"8","Synechococcus",0.95,"1.2",0.0113493601435251
"9","Synechococcus",3.6,"2.3",-0.104122004885913
"10","Synechococcus",3.6,"2.4",0.0406491135218996
"11","Synechococcus",3.6,"1.1",0.0353393206123741
"12","Synechococcus",3.6,"1.2",0.000930496841148081
"13","Synechococcus",6.8,"2.3",0.0167855305949855
"14","Synechococcus",6.8,"2.4",0.0610359160568324
"15","Synechococcus",6.8,"1.1",0.0562807214538215
"16","Synechococcus",6.8,"1.2",0.0597413405572633
"17","Synechococcus",18.7,"2.3",0.128801350853992
"18","Synechococcus",18.7,"2.4",0.162571281446704
"19","Synechococcus",18.7,"1.1",0.231940888189385
"20","Synechococcus",18.7,"1.2",0.278391547607328
"21","Synechococcus",29.3,"2.3",0.224232592618616
"22","Synechococcus",29.3,"2.4",0.461240244788022
"23","Synechococcus",29.3,"1.1",0.579555704646053
"24","Synechococcus",29.3,"1.2",0.322029130201565
"25","Synechococcus",49.2,"2.3",0.314362458599295
"26","Synechococcus",49.2,"2.4",0.453456991834702
"27","Synechococcus",49.2,"1.1",0.42830021329646
"28","Synechococcus",49.2,"1.2",0.427299572368518
"29","Synechococcus",77.3,"2.3",1.06121359674312
"30","Synechococcus",77.3,"2.4",0.881182934330942
"31","Synechococcus",77.3,"1.1",0.545836442607565
"32","Synechococcus",77.3,"1.2",0.447122168366516
"33","Synechococcus",105.5,"2.3",0.531237869712442
"34","Synechococcus",105.5,"2.4",1.12974723099335
"35","Synechococcus",105.5,"1.1",0.482780948626135
"36","Synechococcus",105.5,"1.2",0.48303850566032
"37","Synechococcus",140.6,"1.1",0.469171021668238
"38","Synechococcus",140.6,"1.2",0.449843251561747
"39","Synechococcus",140.6,"2.3",0.472683412530754
"40","Synechococcus",140.6,"2.4",0.932781013476128
"41","Kirchneriella_subcapitata",0.15,"2.3",0.409701374418401
"42","Kirchneriella_subcapitata",0.15,"2.4",0.0243909995199718
"43","Kirchneriella_subcapitata",0.15,"1.2",-0.0313509651974197
"44","Kirchneriella_subcapitata",0.15,"1.1",0.0225510471927503
"45","Kirchneriella_subcapitata",0.95,"2.3",0.223220244560461
"46","Kirchneriella_subcapitata",0.95,"2.4",0.1412809281233
"47","Kirchneriella_subcapitata",0.95,"1.2",-0.0242107498726597
"48","Kirchneriella_subcapitata",0.95,"1.1",0.034525313669099
"49","Kirchneriella_subcapitata",3.6,"2.3",0.286523881334416
"50","Kirchneriella_subcapitata",3.6,"2.4",0.100061144025527
"51","Kirchneriella_subcapitata",3.6,"1.2",0.0643635233141334
"52","Kirchneriella_subcapitata",3.6,"1.1",0.124047227875006
"53","Kirchneriella_subcapitata",6.8,"2.3",0.113596290493327
"54","Kirchneriella_subcapitata",6.8,"2.4",0.150139571866275
"55","Kirchneriella_subcapitata",6.8,"1.2",0.301698810260355
"56","Kirchneriella_subcapitata",6.8,"1.1",0.173926687837818
"57","Kirchneriella_subcapitata",18.7,"2.3",0.474219101110339
"58","Kirchneriella_subcapitata",18.7,"2.4",0.294246655589722
"59","Kirchneriella_subcapitata",18.7,"1.2",0.416641065153535
"60","Kirchneriella_subcapitata",18.7,"1.1",0.40019758465891
"61","Kirchneriella_subcapitata",29.3,"2.3",0.402144665952585
"62","Kirchneriella_subcapitata",29.3,"2.4",0.425897275791308
"63","Kirchneriella_subcapitata",29.3,"1.2",0.550935981861518
"64","Kirchneriella_subcapitata",29.3,"1.1",0.717031885636431
"65","Kirchneriella_subcapitata",49.2,"2.3",0.457200422152322
"66","Kirchneriella_subcapitata",49.2,"2.4",0.460438471416813
"67","Kirchneriella_subcapitata",49.2,"1.2",0.516978543354575
"68","Kirchneriella_subcapitata",49.2,"1.1",0.678926904965292
"69","Kirchneriella_subcapitata",77.3,"2.3",0.387512284854858
"70","Kirchneriella_subcapitata",77.3,"2.4",0.441261100436652
"71","Kirchneriella_subcapitata",77.3,"1.2",0.600963719887559
"72","Kirchneriella_subcapitata",77.3,"1.1",0.463126705601161
"73","Kirchneriella_subcapitata",105.5,"2.3",0.62151807559697
"74","Kirchneriella_subcapitata",105.5,"2.4",0.649175935953353
"75","Kirchneriella_subcapitata",105.5,"1.2",0.715587517328495
"76","Kirchneriella_subcapitata",105.5,"1.1",0.691358746098835
"77","Kirchneriella_subcapitata",140.6,"1.1",0.267709792851102
"78","Kirchneriella_subcapitata",140.6,"1.2",0.354611884694531
"79","Kirchneriella_subcapitata",140.6,"2.4",0.572799767109008
"80","Kirchneriella_subcapitata",140.6,"2.3",0.532771108351031
"81","Microcystis_aeruginosa",0.15,"2.3",-0.030689148375591
"82","Microcystis_aeruginosa",0.15,"2.4",-0.0817690463102908
"83","Microcystis_aeruginosa",0.15,"1.2",0.131394707122779
"84","Microcystis_aeruginosa",0.15,"1.1",0.0111027357050276
"85","Microcystis_aeruginosa",0.95,"2.3",0.0523914317817617
"86","Microcystis_aeruginosa",0.95,"2.4",-0.094875410528791
"87","Microcystis_aeruginosa",0.95,"1.2",0.0228793793825844
"88","Microcystis_aeruginosa",0.95,"1.1",-0.0933103839485351
"89","Microcystis_aeruginosa",3.6,"2.3",0.505120451522235
"90","Microcystis_aeruginosa",3.6,"2.4",0.124107060561623
"91","Microcystis_aeruginosa",3.6,"1.2",-0.0404508839078687
"92","Microcystis_aeruginosa",3.6,"1.1",-0.0522123695772582
"93","Microcystis_aeruginosa",6.8,"2.3",-0.0318605536046384
"94","Microcystis_aeruginosa",6.8,"2.4",-0.071521092762499
"95","Microcystis_aeruginosa",6.8,"1.2",-0.0481918219266785
"96","Microcystis_aeruginosa",6.8,"1.1",-0.00784459278305562
"97","Microcystis_aeruginosa",18.7,"2.3",0.126681127858788
"98","Microcystis_aeruginosa",18.7,"2.4",0.0925989046387722
"99","Microcystis_aeruginosa",18.7,"1.2",0.0988937432458833
"100","Microcystis_aeruginosa",18.7,"1.1",0.219105972194235
"101","Microcystis_aeruginosa",29.3,"2.3",0.216584262508187
"102","Microcystis_aeruginosa",29.3,"2.4",0.167391583950365
"103","Microcystis_aeruginosa",29.3,"1.2",0.306791971724162
"104","Microcystis_aeruginosa",29.3,"1.1",0.166550319436222
"105","Microcystis_aeruginosa",49.2,"2.3",0.288273726512468
"106","Microcystis_aeruginosa",49.2,"2.4",0.378468853782016
"107","Microcystis_aeruginosa",49.2,"1.2",0.2566014310724
"108","Microcystis_aeruginosa",49.2,"1.1",0.27569151050456
"109","Microcystis_aeruginosa",77.3,"2.3",0.259792067453722
"110","Microcystis_aeruginosa",77.3,"2.4",0.263694180454515
"111","Microcystis_aeruginosa",77.3,"1.2",0.222560835770045
"112","Microcystis_aeruginosa",77.3,"1.1",0.193961860845774
"113","Microcystis_aeruginosa",105.5,"2.3",0.260264698725188
"114","Microcystis_aeruginosa",105.5,"2.4",0.276227721693923
"115","Microcystis_aeruginosa",105.5,"1.2",0.12773467269717
"116","Microcystis_aeruginosa",105.5,"1.1",0.213081539442131
