"","Sp.id","Sp.name","Parameter","est","se","p"
"1",1,"Acutodesmus obliquus","a",0.2,0.074291858526367,0.114719726106638
"2",1,"Acutodesmus obliquus","b",-0.344017079687725,0.397558260222238,0.47807432833274
"3",1,"Acutodesmus obliquus","tmax",36.6372513192774,1.30063866037087,0.00125790399836165
"4",1,"Acutodesmus obliquus","delta_t",4.98243553358113,1.80644366253908,0.110153675832841
"5",2,"Anabaena cylindrica","a",0.147661070566923,0.743205619205369,0.875141499709136
"6",2,"Anabaena cylindrica","b",-0.116741659654882,0.927983300587913,0.920330821898195
"7",2,"Anabaena cylindrica","tmax",44,124.075674610542,0.783048433413534
"8",2,"Anabaena cylindrica","delta_t",6.75500709791056,33.6458973780974,0.873864259934655
"9",3,"Ankistrodesmus falcatus","a",0.0845621271078894,0.0736692443938145,0.334259609658057
"10",3,"Ankistrodesmus falcatus","b",-0.203791749122988,0.749947673794129,0.803448573117935
"11",3,"Ankistrodesmus falcatus","tmax",37.6727692068577,5.7382008186587,0.00718756027623657
"12",3,"Ankistrodesmus falcatus","delta_t",10.8512906962194,6.46108713797036,0.191649891949711
"13",4,"Asterionella formosa","a",0.11059798091274,0.0217294217624175,0.123504932875951
"14",4,"Asterionella formosa","b",-0.117898996379489,0.138322205016093,0.550637444800173
"15",4,"Asterionella formosa","tmax",28.307202229143,1.72643589262223,0.0387789474550133
"16",4,"Asterionella formosa","delta_t",7.98790836153599,1.02427265606585,0.0811893638434516
"17",5,"Ceratium furca","a",0.0914413437016594,0.0207527312247156,0.00226779080385519
"18",5,"Ceratium furca","b",-0.897409231211569,0.369015516104499,0.0410802316553788
"19",5,"Ceratium furca","tmax",34.3735057629985,1.1590448052732,1.81163803731838e-09
"20",5,"Ceratium furca","delta_t",9.15758336530829,0.703519494197172,1.15086141737021e-06
"21",6,"Ceratium fusus","a",0.0252311339706316,0.00361136780494903,0.00011415781668629
"22",6,"Ceratium fusus","b",-1.27622986058611,0.0882913510441367,5.13296918510299e-07
"23",6,"Ceratium fusus","tmax",33.4591911799096,0.410153952499122,5.68579693400467e-13
"24",6,"Ceratium fusus","delta_t",2.67349668050673,0.630095045411186,0.00282589654336773
"25",7,"Chaetoceros calcitrans","a",0.0847327404000182,8.24407178034909,0.992732533793858
"26",7,"Chaetoceros calcitrans","b",-1.78910126546472,113.671598061407,0.988871386359798
"27",7,"Chaetoceros calcitrans","tmax",33.465128442272,109.525304154233,0.788818352156412
"28",7,"Chaetoceros calcitrans","delta_t",7.10034806695768,424.748613103537,0.988180412138053
"29",8,"Chaetoceros deflandrei","a",0.0124743837903046,0.0129300267890357,0.405831691566895
"30",8,"Chaetoceros deflandrei","b",-0.606725564055254,0.121163649377231,0.0153294146179261
"31",8,"Chaetoceros deflandrei","tmax",16.3213407760962,0.385612989713731,2.9025932072975e-05
"32",8,"Chaetoceros deflandrei","delta_t",0.46478797189452,0.55076367484234,0.460701983740442
"33",9,"Chlorella vulgaris","a",0.0450936808397281,0.681858131603794,0.953287584960324
"34",9,"Chlorella vulgaris","b",-1.00110092857378,12.4283995177781,0.943135090541669
"35",9,"Chlorella vulgaris","tmax",44,59.1160212735971,0.534265254600206
"36",9,"Chlorella vulgaris","delta_t",12.6019764525776,70.0401304312529,0.873791093081391
"37",10,"Chroococcus minutus","a",0.0981646430188469,0.0313529768033381,0.196811698766976
"38",10,"Chroococcus minutus","b",-0.125625683653925,0.541748873483618,0.854938623619543
"39",10,"Chroococcus minutus","tmax",38.8765952407186,1.98944432968926,0.0325495525985407
"40",10,"Chroococcus minutus","delta_t",9.31630633336354,1.83491012567566,0.123801999422659
"41",11,"Closterium parvulum","a",0.0126169294822502,0.0019004013819615,0.0219433345725019
"42",11,"Closterium parvulum","b",-0.978598731562405,0.0273086526004442,0.000777829316858347
"43",11,"Closterium parvulum","tmax",32.82167024912,0.890098515613963,0.000734642443429333
"44",11,"Closterium parvulum","delta_t",2.46421914060555,0.856958630681447,0.10265168727995
"45",12,"Coelastrum microporum f. astroidea","a",0.109810458680067,0.00370712659148611,0.0214836925260066
"46",12,"Coelastrum microporum f. astroidea","b",-0.405479239382944,0.0525664546552077,0.0820738336448561
"47",12,"Coelastrum microporum f. astroidea","tmax",42.1901673443551,0.316796689917877,0.00478014805590885
"48",12,"Coelastrum microporum f. astroidea","delta_t",8.62118921940597,0.222407667654331,0.0164197441056341
"49",13,"Coelastrum microporum","a",0.0461240390460596,0.0727585441254371,0.64031158513877
"50",13,"Coelastrum microporum","b",-1.81075265417538,0.681109424693795,0.229040514566951
"51",13,"Coelastrum microporum","tmax",44,37.0554694765956,0.445589662688338
"52",13,"Coelastrum microporum","delta_t",6.21437624480917,31.0488651537552,0.874243332952339
"53",14,"Corethron criophilum","a",0.0376487403447218,310.309836489795,0.999914209359896
"54",14,"Corethron criophilum","b",-0.323591101490057,3863.35612720388,0.999940773396431
"55",14,"Corethron criophilum","tmax",12.0968075052636,37555.3524273042,0.999772236609619
"56",14,"Corethron criophilum","delta_t",9.73664755548526,17943.7044813162,0.99961630838198
"57",15,"Coscinodiscus granii","a",0.132899438058995,NA,NA
"58",15,"Coscinodiscus granii","b",0,NA,NA
"59",15,"Coscinodiscus granii","tmax",44,NA,NA
"60",15,"Coscinodiscus granii","delta_t",7.31751236018968,NA,NA
"61",16,"Coscinodiscus wailesii","a",0.156746924945055,NA,NA
"62",16,"Coscinodiscus wailesii","b",0,NA,NA
"63",16,"Coscinodiscus wailesii","tmax",25.8493659253941,NA,NA
"64",16,"Coscinodiscus wailesii","delta_t",6.04915328514313,NA,NA
"65",17,"Cosmarium subprotumidum","a",0.0320860464066828,0.00663701484965722,0.12985376752824
"66",17,"Cosmarium subprotumidum","b",-1.58415517940982,0.167911656344054,0.0672271505246422
"67",17,"Cosmarium subprotumidum","tmax",44,9.41530044301087,0.134202595247866
"68",17,"Cosmarium subprotumidum","delta_t",4.17281181063667,5.37430572804382,0.579698883675636
"69",18,"Cryptomonas sp. 1","a",0.0947105776129284,0.110906450061413,0.483085045869329
"70",18,"Cryptomonas sp. 1","b",-0.416581304082957,1.09963382351279,0.741245316993953
"71",18,"Cryptomonas sp. 1","tmax",28.467413908565,6.53826593394832,0.0489128621642722
"72",18,"Cryptomonas sp. 1","delta_t",9.16237640855273,5.64857945778443,0.246251104944691
"73",19,"Cryptomonas sp. 2","a",0.176010702096477,0.102822805005148,0.229066767045645
"74",19,"Cryptomonas sp. 2","b",-0.0318414775071191,0.210429051682331,0.893610039263309
"75",19,"Cryptomonas sp. 2","tmax",30.6348154879756,6.11001062938167,0.0375525477561057
"76",19,"Cryptomonas sp. 2","delta_t",5.62292787205018,3.14724258294426,0.215912685023439
"77",20,"Cylindrotheca closterium","a",0.0988146255668386,0.232699296615349,0.712415356778772
"78",20,"Cylindrotheca closterium","b",-0.114104790313504,2.04782470984548,0.960630556929385
"79",20,"Cylindrotheca closterium","tmax",35.9385160457156,20.0694808211647,0.215223653079426
"80",20,"Cylindrotheca closterium","delta_t",9.62845013209033,18.0977402775196,0.647893318413662
"81",21,"Dactyliosolen fragilissimus","a",0.0556937998472966,2.81773298031775,0.986025071198615
"82",21,"Dactyliosolen fragilissimus","b",-0.952046088422041,33.3708883484017,0.979830884394565
"83",21,"Dactyliosolen fragilissimus","tmax",36.2254119298053,56.9515853098696,0.589808169767261
"84",21,"Dactyliosolen fragilissimus","delta_t",9.01657946265535,298.199843781777,0.978624308971863
"85",22,"Diacronema lutheri","a",0.0562387089610272,10.1316439597675,0.996075023331268
"86",22,"Diacronema lutheri","b",-1.10156809237957,144.334662447758,0.994603410488071
"87",22,"Diacronema lutheri","tmax",33.8708129958913,438.055630722657,0.945407470644092
"88",22,"Diacronema lutheri","delta_t",9.58193894885924,808.664733143911,0.991621724155166
"89",23,"Dictyosphaerium pulchellum","a",0.0500096711423781,0.0109566628618847,0.137308055897847
"90",23,"Dictyosphaerium pulchellum","b",-2.02087428228181,0.270859519739145,0.0848211896944086
"91",23,"Dictyosphaerium pulchellum","tmax",38.5209784231671,3.549295835105,0.0584925436864854
"92",23,"Dictyosphaerium pulchellum","delta_t",4.34931095469052,3.37018342131932,0.419681120868629
"93",24,"Eucampia zodiacus","a",0.139362853078313,0.108336473845421,0.420671291721563
"94",24,"Eucampia zodiacus","b",0,0.999462713281072,1
"95",24,"Eucampia zodiacus","tmax",31.3795142630863,7.596895148187,0.15121444430874
"96",24,"Eucampia zodiacus","delta_t",6.4699231143744,3.26121993759573,0.297230870550053
"97",25,"Fragilaria barbararum","a",0.172860781436917,NA,NA
"98",25,"Fragilaria barbararum","b",0,NA,NA
"99",25,"Fragilaria barbararum","tmax",18.8396319680914,NA,NA
"100",25,"Fragilaria barbararum","delta_t",5.18942076306833,NA,NA
"101",26,"Fragilaria bidens","a",0.056017688212512,1.05313060548197,0.960923152035163
"102",26,"Fragilaria bidens","b",-1.17136093376204,14.889050112586,0.942246727771282
"103",26,"Fragilaria bidens","tmax",37.1715205913016,38.7218593525998,0.40789128963882
"104",26,"Fragilaria bidens","delta_t",9.69975001682215,94.4226844358548,0.924661448910409
"105",27,"Fragilaria cf. striatula","a",0.2,NA,NA
