"","Sp.id","Sp.name","Parameter","est","se","p"
"1",1,"Acutodesmus obliquus","a",0.268389728689538,0.110139414135235,0.135101162398044
"2",1,"Acutodesmus obliquus","b",0,0.325746288457008,1
"3",1,"Acutodesmus obliquus","tmax",36.0266081172166,0.964575561496273,0.000716075939036124
"4",1,"Acutodesmus obliquus","delta_t",3.72456510181044,1.52352152027942,0.134398184993678
"5",2,"Anabaena cylindrica","a",0.0233847538676091,0.000346873989485773,0.00944250461597709
"6",2,"Anabaena cylindrica","b",-1.39523888353678,0.0117477022834741,0.00536011640382201
"7",2,"Anabaena cylindrica","tmax",34.006684768667,1.29766242605713,0.0242810182923213
"8",2,"Anabaena cylindrica","delta_t",0.80298256917021,0.524896935889219,0.368577852855574
"9",3,"Ankistrodesmus falcatus","a",0.0650045680278029,0.182087846611745,0.744729865562446
"10",3,"Ankistrodesmus falcatus","b",0,3.05717414248462,1
"11",3,"Ankistrodesmus falcatus","tmax",40,17.9565579144172,0.112246848152521
"12",3,"Ankistrodesmus falcatus","delta_t",11.9054621292723,7.64198168054358,0.217135915501573
"13",4,"Asterionella formosa","a",0.0318101119646451,0.00267186127505658,0.0533470763081119
"14",4,"Asterionella formosa","b",-0.786005754353913,0.0192630509574357,0.0155988486802596
"15",4,"Asterionella formosa","tmax",26,3.99747117988838,0.0971190923558819
"16",4,"Asterionella formosa","delta_t",2.26315232057564,1.96557267522416,0.455274155571381
"17",5,"Ceratium furca","a",0.0322111547927567,0.00365933277237358,2.1808838025277e-05
"18",5,"Ceratium furca","b",-1.40019091887769,0.068260890657221,3.33920704286853e-08
"19",5,"Ceratium furca","tmax",35.2651920206683,0.59511293477357,7.30609289533822e-12
"20",5,"Ceratium furca","delta_t",4.17424287255585,0.869200239642342,0.001351394019007
"21",6,"Ceratium fusus","a",0.0212083526004931,0.00179092632502827,2.37139947440651e-06
"22",6,"Ceratium fusus","b",-1.22854015336117,0.0476599412803189,5.50323482511031e-09
"23",6,"Ceratium fusus","tmax",33.0786923076881,0.202625487953902,2.21776080373098e-15
"24",6,"Ceratium fusus","delta_t",1.83910457489377,0.289451159462715,0.000219722298704994
"25",7,"Chaetoceros calcitrans","a",0.0847327368442696,8.24364302590568,0.992732156135614
"26",7,"Chaetoceros calcitrans","b",-1.78910132269888,113.665672883419,0.988870805961942
"27",7,"Chaetoceros calcitrans","tmax",33.4651284876462,109.519430635235,0.788807531363523
"28",7,"Chaetoceros calcitrans","delta_t",7.10034787225799,424.726674690242,0.988179802030079
"29",8,"Chaetoceros deflandrei","a",0.0124743837903046,0.0129300267890357,0.405831691566895
"30",8,"Chaetoceros deflandrei","b",-0.606725564055254,0.121163649377231,0.0153294146179261
"31",8,"Chaetoceros deflandrei","tmax",16.3213407760962,0.385612989713731,2.9025932072975e-05
"32",8,"Chaetoceros deflandrei","delta_t",0.46478797189452,0.55076367484234,0.460701983740442
"33",9,"Chlorella vulgaris","a",0.105380480187837,0.128837600890085,0.499340878569671
"34",9,"Chlorella vulgaris","b",-0.298659242100094,1.46716246408376,0.857527945440197
"35",9,"Chlorella vulgaris","tmax",40,9.13743806512137,0.0484239726733025
