"","Sp.id","Sp.name","K.s","r.max","R.jag","R.mth"
"1",1,"Acutodesmus obliquus",49.5747983720403,0.299992808512439,20.5,24.7882905094344
"2",2,"Anabaena cylindrica",8.0619583137767,0.383986021630211,1.5,2.83885744358026
"3",3,"Ankistrodesmus falcatus",35.7678157433052,1.42416468649667,2.5,2.70116067193544
"4",4,"Asterionella formosa",41.3255093505954,1.24081312512414,3.5,3.62246089569651
"5",5,"Ceratium furca",80.5286477552845,0.574356966644326,16.5,16.9763813789764
"6",6,"Ceratium fusus",79.1964199339312,0.427126039906804,24,24.2097571799829
"7",7,"Chaetoceros calcitrans",52.4909217484619,1.68915454691672,3,3.30307218075831
"8",8,"Chaetoceros deflandrei",54.3480237949711,8.93061789556399e-155,NA,-54.3480237949711
"9",9,"Chlorella vulgaris",20.4090090886876,1.03998419886343,2,2.1712076770402
"10",10,"Chroococcus minutus",31.8669875238405,1.18471157731634,3,2.93783049708771
"11",11,"Closterium parvulum",28.7443544893275,0.420316098119629,7,8.97374645172914
"12",12,"Coelastrum microporum f. astroidea",82.2807916768265,0.891658701698535,10.5,10.3934677279855
"13",13,"Coelastrum microporum",15.4573193628779,0.890845926724979,2,1.95452980669562
"14",14,"Corethron criophilum",54.3846540574412,5.96892847664514e-154,NA,-54.3846540574412
"15",15,"Coscinodiscus granii",70.0127055515028,1.61033901332698,5,4.63556227666255
"16",16,"Coscinodiscus wailesii",91.3773911630052,1.56206902214167,6.5,6.24986849315455
"17",17,"Cosmarium subprotumidum",68.6243997808223,0.618986956654555,13.5,13.2227600136972
"18",18,"Cryptomonas sp. 1",75.1373913401958,0.738056927526522,12,11.7759698388468
"19",19,"Cryptomonas sp. 2",83.8847835893273,1.25708749671285,7.5,7.24964912572592
"20",20,"Cylindrotheca closterium",35.0757236619509,0.582963121271665,6,7.26260911383768
"21",21,"Dactyliosolen fragilissimus",32.4548016798575,1.17173250213636,4.2,3.028255802186
"22",22,"Diacronema lutheri",49.4133601221337,0.642421058554332,8,9.10977908081793
"23",23,"Dictyosphaerium pulchellum",58.3670217461552,0.984154020163423,6,6.60145409228212
"24",24,"Eucampia zodiacus",59.0661891290884,1.87737808795363,3.5,3.3232202832597
"25",25,"Fragilaria barbararum",10.7608774876207,1.54796652621436,0.5,0.743171702715706
"26",26,"Fragilaria bidens",28.063449809223,1.03050655084498,3,3.0159325352131
"27",27,"Fragilaria cf. striatula",8.32701196453653,1.81143642887217,0.5,0.486551052908462
"28",28,"Fragilaria crotonensis",33.2086452288629,0.608800433128259,6.5,6.52685081745825
"29",29,"Fragilaria crotonensis",24.2700681442981,0.485625911953036,6,6.29368187977311
"30",30,"Isochrysis galbana",28.9284312542059,1.62238442847429,1.5,1.90020540890566
"31",31,"Leptocylindricus danicus",21.260723034662,2.23625332194619,1,0.995234170790798
"32",32,"Micractinium pusillum",7.47228542953005,0.325479178790537,1.5,3.31395806460319
"33",33,"Microcystis flos-aquae",40.5716339272613,1.04187843113464,3.25,4.30752341131607
"34",34,"Microcystis ichthyoblabe",33.9676725413032,1.04266781893227,3.5,3.60335548314117
"35",35,"Monoraphidium contortum",46.497393068379,0.932910306851006,5,5.58252103328776
"36",36,"Monoraphidium minutum",56.146289779763,0.993221978996796,6,6.2858159673615
"37",37,"Nannochloropsis oceanica",6.41565275211319,1.22777602337363,9,0.568876498448815
"38",38,"Nitzschia cylindrus",55.1431404241911,9.41461262026255e-155,NA,-55.1431404241911
"39",39,"Nitzschia kerguelensis",55.6351720098967,9.06308053187115e-155,NA,-55.6351720098968
"40",40,"Nitzschia turgiduloides",54.8781936870406,9.16354212660796e-155,NA,-54.8781936870406
"41",41,"Ochromonas sp.",35.5029759215098,0.362481862643756,13.5,13.5258777745322
"42",42,"Oocystella mongolica",50.6360569597623,0.448234108831698,13,14.5408090923784
"43",43,"Pediastrum boryanum",39.5624150316448,0.46228308830787,9,10.9203041236152
"44",44,"Phaeocystis pouchetii",74.7760973662426,1.82632577932739,4.5,4.33151715983624
"45",45,"Phaeodactylum tricornutum",37.8644437787429,1.60862493402815,2.5,2.50986464061957
"46",46,"Planktothrix agardhii",24.0290675578733,0.555559589150259,4.5,5.27462666359279
"47",47,"Planktothrix agardhii",52.1930979759927,1.14456467202233,4.25,4.99663633798226
"48",48,"Pseudochattonella farcimen",58.2584766510516,5.06113560043753e-155,NA,-58.2584766510516
"49",49,"Pseudodidymocystis planctonica",61.677705901618,0.678681369375897,10,10.6583189239593
"50",50,"Rhizosolenia fragilissima",32.7010167025933,1.13696864940522,4.2,3.1535202844705
"51",51,"Rhodomonas salina",45.3530106789205,1.53727021126171,2,3.15549646291683
"52",52,"Scenedesmus crassus",23.341978782605,0.651828973313792,3.9439,4.22992990789046
"53",53,"Scenedesmus quadricauda",26.5896537386372,0.663993650514176,6,4.71453068920123
"54",54,"Selenastrum minutum",73.9790187051688,1.41614379306534,5.5,5.62089181250245
"55",55,"Skeletonema costatum",62.6868516121875,1.43054939254328,56.61611111,4.71135096250466
"56",56,"Staurastrum pingue",79.8114811680565,0.632525661388334,15,14.9873493344869
"57",57,"Stellarima microtrias",54.3413051861817,8.97793711765312e-155,NA,-54.3413051861817
"58",58,"Synechocystis minima",22.0120809660561,0.706334935799501,3,3.63035010295611
"59",59,"Synedra sp.",55.5779617655455,9.04104045920069e-155,NA,-55.5779617655455
"60",60,"Synura sphagnicola",72.2209896776043,0.840459122173547,9.5,9.75354175739053
"61",61,"Tetraselmis sp.",28.4230082905465,0.525184503778505,7,6.68486457948457
"62",62,"Thalassiosira allenii",43.8562822078114,1.50499762224625,2.96,3.12144885609814
"63",63,"Thalassiosira curviseriata",36.910236562622,2.05063688340988,1.5,1.89221463392509
