"","Sp.id","Sp.name","K.s","r.max","R.jag","R.mth"
"1",1,"Asterionella formosa",3.98200779501485,0.662942840845964,1,0.707355615186592
"2",2,"Chlorella sp.",6.64734870852015,1.19129639602375,1,0.609124041162458
"3",3,"Coelastrum sp.",10.4392788199887,0.801050052210531,1.5,1.48909179695114
"4",4,"Cyclotella pseudostelligera",5.71202833457947,1.01785101791436,1,0.62232630602284
"5",5,"Eudorina elegans",34.4457346269361,0.933156720235599,1,4.13436437471159
"6",6,"Fistulifera saprophila",50.0223580516105,1.37937101213243,3.5,3.90991804388583
"7",7,"Fragilaria crotonensis",5.72545801332253,0.590507835117743,1,1.16725108212556
"8",8,"Lagerheimia subsalsa",8.76799561698306,0.832098580117867,1,1.19765231829454
"9",9,"Messastrum gracile",8.68521588123961,1.04867770039823,1,0.91550754040005
"10",10,"Microcystis aeruginosa",0.62715621657923,0.735556419819109,0.5,0.0986782914973512
"11",11,"Microcystis viridis",2.12927265204757,0.917704527439102,0.5,0.260396338848222
"12",12,"Nitzschia paela (C )",10.2567418795101,1.46921076903747,1,0.749098832075384
"13",13,"Nitzschia paela (G)",21.6493343104231,1.35047735429006,2,1.73128559554877
"14",14,"Oocystis sp.",60.7423403124488,0.836437274456254,8,8.24813496265486
"15",15,"Pediastrum boryanum",24.8753031670104,1.08988518807714,2.5,2.5129483162922
"16",16,"Planktothrix agardhii",40.9335183265882,0.0913853914237829,NA,-475.163995722289
"17",17,"Scenedesmus arcuatus var. Platydiscus",6.50698407771519,0.946904289150514,1,0.768325790892145
"18",18,"Scenedesmus armatus",3.44368189002812,0.87325797302747,0.5,0.445347091158384
"19",19,"Synechococcus elongatus",0.126520337741838,1.57478178886827,0.5,0.00857891917955728
"20",20,"Tetraedron minumum",19.6755501650167,0.393342552277856,4,6.70736311940856
