,Pop.fac,Pop.num,unique.id,K.s,r.max,R.jag,R.mth
1,1,1,1.B09,0.978585932,1.397359903,0.525,0.654447532
2,1,1,1.C06,1.710056136,1.484209848,1,1.036162338
3,1,1,1.E02,1.213417786,1.397751483,0.775,0.811116392
4,1,1,1.F11,1.063748674,1.234365919,0.775,0.883347217
5,2,10,10.B10,1.124375571,1.397541204,0.7,0.751784291
6,2,10,10.C08,1.345451682,1.532190463,0.75,0.775005486
7,2,10,10.E04,2.998795746,1.724220859,0.975,1.442445911
8,2,10,10.F09,1.404350087,1.459191925,0.85,0.874603104
9,20,11,11.B06,2.845761111,1.452367132,1.675,1.785841461
10,20,11,11.D03,4.808854787,1.568024886,2.525,2.671520038
11,20,11,11.D08,2.980320231,1.423611765,1.85,1.932557427
12,20,11,11.E09,2.11110572,1.374738509,1.45,1.451041273
13,21,12,12.C02,0.961812316,1.472280843,0.45,0.5904047
14,21,12,12.C09,1.682687254,1.678680263,0.775,0.842336182
15,21,12,12.E09,2.630582395,1.588555336,1.15,1.432228379
16,21,12,12.F04,1.321716022,1.277933474,0.675,1.030960387
17,22,13,13.B05,5.25612367,1.461440026,2.9,3.265252451
18,22,13,13.D03,4.895059518,1.094222713,4.725,5.131255679
19,22,13,13.E10,5.409723484,1.463139421,3,3.354349374
20,22,13,13.F06,6.061702422,1.438426537,3.625,3.864356568
21,23,14,14.B06,2.048475086,1.473681249,1.1,1.255521057
22,23,14,14.C10,2.289707152,1.572356847,1.175,1.266585008
23,23,14,14.E05,2.567585592,1.564264696,1.325,1.431741988
24,23,14,14.F10,2.622794825,1.574090934,1.325,1.448356407
25,24,15,15.B11,1.903785121,1.68626555,0.9,0.946597068
26,24,15,15.D02,3.771460166,2.11321138,1.225,1.3597748
27,24,15,15.E06,1.378356774,1.46681332,0.775,0.851200326
28,24,15,15.E11,2.205884634,1.557692042,1.025,1.238153
29,25,16,16.B02,1.417673,1.485267826,0.675,0.858018465
30,25,16,16.C05,0.503794354,1.415911169,0.3,0.329619298
31,25,16,16.E03,2.664355386,1.566815958,1.275,1.481938187
32,25,16,16.F02,2.39216917,1.63662201,1.05,1.244275821
33,26,17,17.B09,2.656919178,1.639305993,1.1,1.378547649
34,26,17,17.C06,1.850628474,1.30293969,1.225,1.39493415
35,26,17,17.E02,1.61894238,1.459597325,0.95,1.007792829
36,26,17,17.F11,1.606852859,1.443645261,1,1.018324481
37,27,18,18.B07,1.301901907,1.429373773,0.725,0.838609458
38,27,18,18.C07,2.424976907,1.496893564,1.125,1.449457142
39,27,18,18.D11,4.158986312,1.710083191,1.825,2.025099013
40,27,18,18.G02,2.995018325,1.407903522,1.725,1.978067337
41,28,19,19.B02,2.12894838,1.34080463,0.875,1.526900645
42,28,19,19.C05,3.249174695,1.508017215,1.5,1.919308849
43,28,19,19.E03,0.859178915,1.363909588,0.525,0.598500378
44,28,19,19.F02,1.420241379,1.521649403,0.725,0.827053155
45,10,2,2.C02,2.942414261,1.578283411,1.525,1.618166384
46,10,2,2.D05,1.428983963,1.343135607,1,1.021829441
47,10,2,2.D11,2.124839019,1.497685515,1.15,1.268986063
48,10,2,2.F08,2.299381962,1.361313175,1.25,1.606929649
49,29,20,20.B10,1.331587685,1.387441058,0.625,0.90119906
50,29,20,20.D02,0.833839851,1.345830016,0.35,0.594212879
51,29,20,20.E06,1.134580529,1.248527594,0.85,0.922788137
52,29,20,20.F04,1.016718476,1.333928746,0.65,0.735677993
53,3,21,21.B03,1.075510733,1.44852079,0.625,0.677852468
54,3,21,21.C10,0.980806117,1.372890216,0.675,0.67567725
55,3,21,21.D09,0.496781875,1.351482364,0.325,0.351489639
56,3,21,21.F09,1.044755797,1.392656125,0.65,0.702646902
57,30,22,22.C03,2.331900453,1.536198614,1.225,1.337703449
58,30,22,22.C09,2.348900808,1.596387183,1.05,1.269201775
59,30,22,22.E03,0.63372644,1.300474521,0.375,0.479269437
60,30,22,22.E08,1.520095718,1.343085844,0.875,1.087050173
61,31,23,23.B04,3.511499595,1.387978843,1.9,2.374987949
62,31,23,23.D06,1.674342502,1.407222396,1.05,1.106712718
63,31,23,23.D09,3.465676987,1.373280508,1.975,2.38635882
64,31,23,23.F08,1.98642321,1.369263037,1.225,1.374580263
65,32,24,24.C04,2.20481223,1.589796846,1.075,1.198969344
66,32,24,24.D07,1.411162066,1.492681179,0.825,0.847289272
67,32,24,24.D08,1.986253263,1.521950528,1.075,1.156298369
68,32,24,24.F07,1.774007651,1.596811299,0.925,0.958172703
