"","Grad","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Phosphorous limitation","19",9,"9.F03","K_s",0.978585931536305,1.00069137165547,6000
"2","Phosphorous limitation","19",9,"9.F03","deviance",3.18794414198327,1.0006086342897,6000
"3","Phosphorous limitation","19",9,"9.F03","r_max",1.39735990274023,1.00111568491216,5700
"4","Phosphorous limitation","19",9,"9.F03","sigma",0.31480780724363,1.0008123405154,6000
"5","Phosphorous limitation","19",9,"9.F03","K_s",1.71005613604255,1.00087303193812,6000
"6","Phosphorous limitation","19",9,"9.F03","deviance",-9.87330069086681,1.00091349224313,6000
"7","Phosphorous limitation","19",9,"9.F03","r_max",1.48420984755356,1.00113648903443,5500
"8","Phosphorous limitation","19",9,"9.F03","sigma",0.162367685539425,1.00085225420403,6000
"9","Phosphorous limitation","19",9,"9.F03","K_s",1.21341778605775,1.00071358963844,6000
"10","Phosphorous limitation","19",9,"9.F03","deviance",-8.98795442043437,1.00058618098632,6000
"11","Phosphorous limitation","19",9,"9.F03","r_max",1.39775148273886,1.00058867621808,6000
"12","Phosphorous limitation","19",9,"9.F03","sigma",0.170503358378629,1.00058756342759,6000
"13","Phosphorous limitation","19",9,"9.F03","K_s",1.06374867360837,1.00129940320892,4400
"14","Phosphorous limitation","19",9,"9.F03","deviance",-3.6768960928704,1.00131903053659,4300
"15","Phosphorous limitation","19",9,"9.F03","r_max",1.23436591858574,1.00220292719809,3600
"16","Phosphorous limitation","19",9,"9.F03","sigma",0.223347136970014,1.00135728745434,4100
"17","Phosphorous limitation","19",9,"9.F03","K_s",1.12437557144519,1.00070151569114,6000
"18","Phosphorous limitation","19",9,"9.F03","deviance",-7.34507548096106,1.00096117714992,6000
"19","Phosphorous limitation","19",9,"9.F03","r_max",1.3975412041548,1.00124456918772,4700
"20","Phosphorous limitation","19",9,"9.F03","sigma",0.1847242349449,1.00105123798191,6000
"21","Phosphorous limitation","19",9,"9.F03","K_s",1.34545168195728,1.00143252509818,3800
"22","Phosphorous limitation","19",9,"9.F03","deviance",-7.28096175593939,1.00176590013736,2800
"23","Phosphorous limitation","19",9,"9.F03","r_max",1.53219046283249,1.00101026000936,6000
"24","Phosphorous limitation","19",9,"9.F03","sigma",0.184815287775988,1.00064825285491,6000
"25","Phosphorous limitation","19",9,"9.F03","K_s",2.99879574613195,1.002154651799,2300
"26","Phosphorous limitation","19",9,"9.F03","deviance",14.9076979339137,1.00102987753965,6000
"27","Phosphorous limitation","19",9,"9.F03","r_max",1.72422085879753,1.00132541882211,4200
"28","Phosphorous limitation","19",9,"9.F03","sigma",0.559539424532752,1.00066963805861,6000
"29","Phosphorous limitation","19",9,"9.F03","K_s",1.40435008692773,1.00071975164022,6000
"30","Phosphorous limitation","19",9,"9.F03","deviance",-14.4041852281552,1.00215769665592,2100
"31","Phosphorous limitation","19",9,"9.F03","r_max",1.45919192504895,1.00065975693797,6000
"32","Phosphorous limitation","19",9,"9.F03","sigma",0.129914798634675,1.00232445134784,1900
"33","Phosphorous limitation","19",9,"9.F03","K_s",2.84576111057964,1.00147354647984,3600
"34","Phosphorous limitation","19",9,"9.F03","deviance",-4.74285919019937,1.00125517666404,4600
"35","Phosphorous limitation","19",9,"9.F03","r_max",1.45236713163097,1.00148639011282,3500
"36","Phosphorous limitation","19",9,"9.F03","sigma",0.209216730417187,1.00146029173675,3600
"37","Phosphorous limitation","19",9,"9.F03","K_s",4.80885478705957,1.00093832611666,6000
"38","Phosphorous limitation","19",9,"9.F03","deviance",-2.5090147615705,1.00064695355188,6000
"39","Phosphorous limitation","19",9,"9.F03","r_max",1.56802488567469,1.00131637033952,4300
"40","Phosphorous limitation","19",9,"9.F03","sigma",0.233777662680055,1.00124957080484,4700
"41","Phosphorous limitation","19",9,"9.F03","K_s",2.98032023135288,1.00072260404816,6000
"42","Phosphorous limitation","19",9,"9.F03","deviance",-8.42053303467979,1.00096445609318,6000
"43","Phosphorous limitation","19",9,"9.F03","r_max",1.42361176457636,1.00075171861186,6000
"44","Phosphorous limitation","19",9,"9.F03","sigma",0.174471795278827,1.00135499207771,4100
"45","Phosphorous limitation","19",9,"9.F03","K_s",2.11110572016476,1.00090827983902,6000
"46","Phosphorous limitation","19",9,"9.F03","deviance",-22.5101342977252,1.00077805177692,6000
"47","Phosphorous limitation","19",9,"9.F03","r_max",1.37473850880023,1.00065772993035,6000
"48","Phosphorous limitation","19",9,"9.F03","sigma",0.0863836819927553,1.0011321521954,5500
"49","Phosphorous limitation","19",9,"9.F03","K_s",0.961812316056895,1.00088059635959,6000
"50","Phosphorous limitation","19",9,"9.F03","deviance",3.11134065418029,1.0007509757553,6000
"51","Phosphorous limitation","19",9,"9.F03","r_max",1.47228084302679,1.00122202676811,4800
"52","Phosphorous limitation","19",9,"9.F03","sigma",0.312946012460014,1.00071367311681,6000
"53","Phosphorous limitation","19",9,"9.F03","K_s",1.68268725371738,1.00096920679426,6000
"54","Phosphorous limitation","19",9,"9.F03","deviance",-4.46006951450077,1.00084114599976,6000
"55","Phosphorous limitation","19",9,"9.F03","r_max",1.67868026318751,1.00068404662448,6000
"56","Phosphorous limitation","19",9,"9.F03","sigma",0.213219925257311,1.00115394975886,5300
"57","Phosphorous limitation","19",9,"9.F03","K_s",2.63058239514577,1.00319148855906,1300
"58","Phosphorous limitation","19",9,"9.F03","deviance",5.75917198003363,1.00186712973849,2600
"59","Phosphorous limitation","19",9,"9.F03","r_max",1.5885553356932,1.00212389869265,2200
"60","Phosphorous limitation","19",9,"9.F03","sigma",0.356342832291217,1.00132820699892,4200
"61","Phosphorous limitation","19",9,"9.F03","K_s",1.32171602167849,1.00080557103291,6000
"62","Phosphorous limitation","19",9,"9.F03","deviance",5.4712919720033,1.00076655937542,6000
"63","Phosphorous limitation","19",9,"9.F03","r_max",1.27793347421052,1.00081771306964,6000
"64","Phosphorous limitation","19",9,"9.F03","sigma",0.351351654925453,1.00086450016315,6000
"65","Phosphorous limitation","19",9,"9.F03","K_s",5.25612366979687,1.00101151788699,6000
"66","Phosphorous limitation","19",9,"9.F03","deviance",16.9210869223197,1.00078164000347,6000
"67","Phosphorous limitation","19",9,"9.F03","r_max",1.46144002625147,1.0027158123469,4500
"68","Phosphorous limitation","19",9,"9.F03","sigma",0.680036997555311,1.00089994431094,6000
"69","Phosphorous limitation","19",9,"9.F03","K_s",4.89505951785856,1.00181595133289,2700
"70","Phosphorous limitation","19",9,"9.F03","deviance",15.5858556313285,1.00085295839748,6000
"71","Phosphorous limitation","19",9,"9.F03","r_max",1.09422271303538,1.00165822916271,6000
"72","Phosphorous limitation","19",9,"9.F03","sigma",0.632809860920786,1.00114971981311,5400
"73","Phosphorous limitation","19",9,"9.F03","K_s",5.40972348352873,1.00069857048115,6000
"74","Phosphorous limitation","19",9,"9.F03","deviance",16.8930982768522,1.00104691431331,6000
"75","Phosphorous limitation","19",9,"9.F03","r_max",1.46313942088882,1.00094348702137,6000
"76","Phosphorous limitation","19",9,"9.F03","sigma",0.68073783211151,1.00110914208223,5700
"77","Phosphorous limitation","19",9,"9.F03","K_s",6.06170242205674,1.00153052481448,3400
"78","Phosphorous limitation","19",9,"9.F03","deviance",16.2014674196244,1.00126992210963,4500
"79","Phosphorous limitation","19",9,"9.F03","r_max",1.43842653660504,1.00086777535518,6000
"80","Phosphorous limitation","19",9,"9.F03","sigma",0.655615616164513,1.00061983710616,6000
"81","Phosphorous limitation","19",9,"9.F03","K_s",2.04847508597834,1.00066692904312,6000
"82","Phosphorous limitation","19",9,"9.F03","deviance",1.712460366665,1.00069768280276,6000
"83","Phosphorous limitation","19",9,"9.F03","r_max",1.47368124925844,1.00092205232589,6000
"84","Phosphorous limitation","19",9,"9.F03","sigma",0.289382848266415,1.00072425246152,6000
"85","Phosphorous limitation","19",9,"9.F03","K_s",2.28970715168279,1.00119038109533,5100
"86","Phosphorous limitation","19",9,"9.F03","deviance",-3.92648295763543,1.00139477948918,5000
"87","Phosphorous limitation","19",9,"9.F03","r_max",1.5723568465346,1.00169207459832,2900
"88","Phosphorous limitation","19",9,"9.F03","sigma",0.218645815860114,1.00111715697483,5700
"89","Phosphorous limitation","19",9,"9.F03","K_s",2.56758559173653,1.00088624385236,6000
"90","Phosphorous limitation","19",9,"9.F03","deviance",-1.67817904501459,1.0006542299463,6000
"91","Phosphorous limitation","19",9,"9.F03","r_max",1.56426469563408,1.00078142774218,6000
"92","Phosphorous limitation","19",9,"9.F03","sigma",0.244514774752412,1.00101234432427,6000
"93","Phosphorous limitation","19",9,"9.F03","K_s",2.62279482464674,1.00096149209006,6000
"94","Phosphorous limitation","19",9,"9.F03","deviance",-2.51674649214174,1.00069082461776,6000
"95","Phosphorous limitation","19",9,"9.F03","r_max",1.57409093434494,1.0009657370019,6000
"96","Phosphorous limitation","19",9,"9.F03","sigma",0.235797791862946,1.00109254283458,5900
"97","Phosphorous limitation","19",9,"9.F03","K_s",1.90378512109277,1.00111226971806,5700
"98","Phosphorous limitation","19",9,"9.F03","deviance",-6.39371331762726,1.00135763254506,4100
"99","Phosphorous limitation","19",9,"9.F03","r_max",1.68626555034342,1.00084362946895,6000
"100","Phosphorous limitation","19",9,"9.F03","sigma",0.193430457518372,1.00125473920947,4600
"101","Phosphorous limitation","19",9,"9.F03","K_s",3.77146016625458,1.00067294526294,6000
"102","Phosphorous limitation","19",9,"9.F03","deviance",4.07331717434845,1.00076261029146,6000
"103","Phosphorous limitation","19",9,"9.F03","r_max",2.11321137976027,1.0006317782935,6000
"104","Phosphorous limitation","19",9,"9.F03","sigma",0.325389221281643,1.00096972722362,6000
"105","Phosphorous limitation","19",9,"9.F03","K_s",1.37835677411657,1.0008427236241,6000
"106","Phosphorous limitation","19",9,"9.F03","deviance",-4.57020327424399,1.00070538853808,6000
"107","Phosphorous limitation","19",9,"9.F03","r_max",1.46681332007924,1.0010211414089,6000
"108","Phosphorous limitation","19",9,"9.F03","sigma",0.211216252927234,1.00111724163907,5700
"109","Phosphorous limitation","19",9,"9.F03","K_s",2.20588463398952,1.00119196548848,5000
"110","Phosphorous limitation","19",9,"9.F03","deviance",3.39454069089226,1.00085795121312,6000
"111","Phosphorous limitation","19",9,"9.F03","r_max",1.55769204182462,1.00093154578303,6000
"112","Phosphorous limitation","19",9,"9.F03","sigma",0.316118347524467,1.00077827245005,6000
"113","Phosphorous limitation","19",9,"9.F03","K_s",1.417673000406,1.00084020229603,6000
"114","Phosphorous limitation","19",9,"9.F03","deviance",3.15840549558978,1.00073789752616,6000
"115","Phosphorous limitation","19",9,"9.F03","r_max",1.48526782640565,1.00107805146097,6000
"116","Phosphorous limitation","19",9,"9.F03","sigma",0.313049113586058,1.00081899281807,6000
"117","Phosphorous limitation","19",9,"9.F03","K_s",0.503794354432123,1.00065907226486,6000
"118","Phosphorous limitation","19",9,"9.F03","deviance",-4.61679140094239,1.00123940068765,4700
"119","Phosphorous limitation","19",9,"9.F03","r_max",1.41591116864899,1.00060898621614,6000
"120","Phosphorous limitation","19",9,"9.F03","sigma",0.213514642465184,1.00102944070363,6000
"121","Phosphorous limitation","19",9,"9.F03","K_s",2.66435538583893,1.00072849396869,6000
"122","Phosphorous limitation","19",9,"9.F03","deviance",2.71947324533774,1.00061597956625,6000
"123","Phosphorous limitation","19",9,"9.F03","r_max",1.5668159581637,1.00072559185684,6000
"124","Phosphorous limitation","19",9,"9.F03","sigma",0.304247130372951,1.00092218837491,6000
"125","Phosphorous limitation","19",9,"9.F03","K_s",2.39216916973252,1.00070592761694,6000
"126","Phosphorous limitation","19",9,"9.F03","deviance",1.93808351965991,1.00097583664826,6000
"127","Phosphorous limitation","19",9,"9.F03","r_max",1.63662200963103,1.00070169016408,6000
"128","Phosphorous limitation","19",9,"9.F03","sigma",0.291746105787673,1.00088362011266,6000
"129","Phosphorous limitation","19",9,"9.F03","K_s",2.65691917767593,1.00068125151084,6000
"130","Phosphorous limitation","19",9,"9.F03","deviance",11.4367680090312,1.00153179545186,3400
"131","Phosphorous limitation","19",9,"9.F03","r_max",1.63930599324275,1.00069573154882,6000
"132","Phosphorous limitation","19",9,"9.F03","sigma",0.472680620519906,1.00127457178673,4500
"133","Phosphorous limitation","19",9,"9.F03","K_s",1.85062847392955,1.00145838751251,3600
"134","Phosphorous limitation","19",9,"9.F03","deviance",-4.08798014793296,1.00066828367189,6000
"135","Phosphorous limitation","19",9,"9.F03","r_max",1.30293969008869,1.00189069364205,2500
"136","Phosphorous limitation","19",9,"9.F03","sigma",0.216092905366844,1.00052854189263,6000
"137","Phosphorous limitation","19",9,"9.F03","K_s",1.61894238027457,1.00096700983104,6000
"138","Phosphorous limitation","19",9,"9.F03","deviance",-6.65050325378858,1.00145887028273,3600
"139","Phosphorous limitation","19",9,"9.F03","r_max",1.45959732473565,1.00129584839422,4400
"140","Phosphorous limitation","19",9,"9.F03","sigma",0.191870213052512,1.00127240614453,4500
"141","Phosphorous limitation","19",9,"9.F03","K_s",1.60685285925937,1.00061377506062,6000
"142","Phosphorous limitation","19",9,"9.F03","deviance",-15.7020735169259,1.00126978772076,4500
"143","Phosphorous limitation","19",9,"9.F03","r_max",1.44364526067277,1.00145259951245,3700
"144","Phosphorous limitation","19",9,"9.F03","sigma",0.122289211326711,1.00085769932011,6000
"145","Phosphorous limitation","19",9,"9.F03","K_s",1.30190190746926,1.00094000383896,6000
"146","Phosphorous limitation","19",9,"9.F03","deviance",-3.17470692014771,1.00096292876301,6000
"147","Phosphorous limitation","19",9,"9.F03","r_max",1.42937377269497,1.00079376886445,6000
"148","Phosphorous limitation","19",9,"9.F03","sigma",0.227506322763363,1.00067817503588,6000
"149","Phosphorous limitation","19",9,"9.F03","K_s",2.42497690691236,1.00084724113797,6000
"150","Phosphorous limitation","19",9,"9.F03","deviance",9.63463337553176,1.00098902073339,6000
