"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Lactin 2","1",1,"1.B09","cf.a",0.0718060683884547,1.00370331865101,1400
"2","Lactin 2","1",1,"1.B09","cf.b",-1.33266451704563,1.00155294208419,3300
"3","Lactin 2","1",1,"1.B09","cf.delta_t",6.04189166516119,1.00153679341931,3400
"4","Lactin 2","1",1,"1.B09","cf.sigma",0.68070516547389,1.00124691036656,4700
"5","Lactin 2","1",1,"1.B09","cf.tmax",40.5599246041296,1.04695198238126,1500
"6","Lactin 2","1",1,"1.B09","deviance",8.30620886930642,1.00120792483598,4900
"7","Lactin 2","1",1,"1.C06","cf.a",0.0694552148440972,1.00452949297537,2500
"8","Lactin 2","1",1,"1.C06","cf.b",-1.3409908818903,1.0008641016911,6000
"9","Lactin 2","1",1,"1.C06","cf.delta_t",6.23165976758186,1.00122048772611,4900
"10","Lactin 2","1",1,"1.C06","cf.sigma",0.88036033819674,1.00227869585787,2000
"11","Lactin 2","1",1,"1.C06","cf.tmax",40.2997841171346,1.03690715501201,1500
"12","Lactin 2","1",1,"1.C06","deviance",11.8120747450859,1.00308461416547,1400
"13","Lactin 2","1",1,"1.E02","cf.a",0.0685896012292186,1.00729576933852,1000
"14","Lactin 2","1",1,"1.E02","cf.b",-1.35326277209068,1.00129924821155,4400
"15","Lactin 2","1",1,"1.E02","cf.delta_t",6.3086501653281,1.00080912523071,6000
"16","Lactin 2","1",1,"1.E02","cf.sigma",0.867090949025103,1.00215272311284,2100
"17","Lactin 2","1",1,"1.E02","cf.tmax",40.3121664167226,1.00924445919964,4500
"18","Lactin 2","1",1,"1.E02","deviance",11.4369491933076,1.00237948367403,1900
"19","Lactin 2","1",1,"1.F11","cf.a",0.0579266030891518,1.01804145683356,550
"20","Lactin 2","1",1,"1.F11","cf.b",-1.34797535510958,1.01006677365626,890
"21","Lactin 2","1",1,"1.F11","cf.delta_t",3.01540242677877,1.00212799481517,2200
"22","Lactin 2","1",1,"1.F11","cf.sigma",0.331580924506456,1.00171704787256,2900
"23","Lactin 2","1",1,"1.F11","cf.tmax",40.3584756492907,1.06873122920898,2500
"24","Lactin 2","1",1,"1.F11","deviance",-4.50462519443922,1.00189154201406,2500
"25","Lactin 2","2",10,"10.B10","cf.a",0.0746844788201619,1.00574757293591,5200
"26","Lactin 2","2",10,"10.B10","cf.b",-1.32649278380351,1.00091190702815,6000
"27","Lactin 2","2",10,"10.B10","cf.delta_t",7.0147201367334,1.00244960985428,1900
"28","Lactin 2","2",10,"10.B10","cf.sigma",0.848928932582712,1.00162672750105,3100
"29","Lactin 2","2",10,"10.B10","cf.tmax",40.7502554078617,1.0576736306404,1100
"30","Lactin 2","2",10,"10.B10","deviance",11.5690938622124,1.00118322205367,5100
"31","Lactin 2","2",10,"10.C08","cf.a",0.0746513317990116,1.00345837954956,2900
"32","Lactin 2","2",10,"10.C08","cf.b",-1.57062084114415,1.00110390143422,5800
"33","Lactin 2","2",10,"10.C08","cf.delta_t",6.79699491444677,1.00072078670848,6000
"34","Lactin 2","2",10,"10.C08","cf.sigma",0.789241838558533,1.00105647703426,6000
"35","Lactin 2","2",10,"10.C08","cf.tmax",40.745884385748,1.04415059742564,1800
"36","Lactin 2","2",10,"10.C08","deviance",10.3215322502924,1.00094334608775,6000
"37","Lactin 2","2",10,"10.E04","cf.a",0.065698308644744,1.00419164769279,5900
"38","Lactin 2","2",10,"10.E04","cf.b",-0.833587619287472,1.00056990051447,6000
"39","Lactin 2","2",10,"10.E04","cf.delta_t",6.217607408653,1.00189668840822,6000
"40","Lactin 2","2",10,"10.E04","cf.sigma",0.640491105363794,1.00207562752458,2200
"41","Lactin 2","2",10,"10.E04","cf.tmax",40.6674691101477,1.07650141978847,1800
"42","Lactin 2","2",10,"10.E04","deviance",8.29736317059935,1.00231184439915,2000
