,Species,dataset,r.max,R,comp,Sp count
33,Alexandrium catenella,"Edwards et al., 2015",0.47,0.194594595,5.138888889,1
14,Anabaena flos-aquae,"Edwards et al., 2015",0.89,0.042177215,23.70948379,2
26,Anabaena oscillarioides,"Edwards et al., 2015",1.68,0.081867089,12.21492076,3
1,Ankistrodesmus,"Bestion et al., 2018",1.273990903,0.014684201,68.10040291,4
82,Ankistrodesmus falcatus,"Narwani et al., 2015",0.5239131,0.00371615,269.0957039,5
23,Asterionella formosa,"Edwards et al., 2015",0.67,0.012280702,81.42857143,6
47,Asterionella formosa,"Edwards et al., 2015",0.61,0.003921569,255,6
51,Asterionella formosa,"Edwards et al., 2015",0.8,0.004,250,6
54,Asterionella formosa,"Edwards et al., 2015",0.44,0.005882353,170,6
55,Asterionella formosa,"Edwards et al., 2015",0.65,0.004727273,211.5384615,6
56,Asterionella formosa,"Edwards et al., 2015",0.66,0.00625,160,6
64,Asterionella formosa,"Levasseur et al., 2025",0.450703032,2.514602823,0.397677117,6
83,Botryococcus sudeticus,"Narwani et al., 2015",0.5470168,0.0301866,33.12728164,7
84,Chlamydocapsa ampla,"Narwani et al., 2015",0.6934719,0.0092879,107.6669645,8
2,Chlamydomonas,"Bestion et al., 2018",1.81904827,0.042792835,23.36839791,9
3,Chlorella,"Bestion et al., 2018",2.227102724,0.037050241,26.99037792,10
85,Chlorella sorokiniana,"Narwani et al., 2015",0.4532827,0.0485845,20.58269613,11
65,Chlorella sp.,"Levasseur et al., 2025",1.149725695,0.778107392,1.285169643,12
86,Closteriopsis acicularis,"Narwani et al., 2015",0.8925183,0.0715015,13.98572058,13
87,Coelastrum cambricum,"Narwani et al., 2015",0.6275249,0.1148,8.710801394,14
88,Coelastrum microporum,"Narwani et al., 2015",0.4857304,0.00923983,108.2270994,15
89,Coelastrum reticulatum,"Narwani et al., 2015",0.5801686,0.0192377,51.98126595,16
35,Coscinodiscus wailesii,"Edwards et al., 2015",0.76,0.059090909,16.92307692,17
36,Coscinodiscus wailesii,"Edwards et al., 2015",0.32,0.177272727,5.641025641,17
90,Crucigenia tetrapedia,"Narwani et al., 2015",0.562642,0.0192891,51.84275057,18
18,Cryptomonas sp.,"Edwards et al., 2015",0.49,0.003589744,278.5714286,19
48,Cyclotella meneghiniana,"Edwards et al., 2015",0.54,0.056818182,17.6,20
66,Cyclotella pseudostelligera,"Levasseur et al., 2025",0.711115493,1.23305028,0.810996937,21
25,Diatoma elongatum,"Edwards et al., 2015",0.48,0.005263158,190,22
91,Dictyosphaerium ehrenbergianum,"Narwani et al., 2015",0.5161032,0.0165418,60.45291323,23
92,Dictyosphaerium pulchellum,"Narwani et al., 2015",0.6496826,0.0186093,53.73657257,24
34,Eucampia zodiacus,"Edwards et al., 2015",1.3,0.024166667,41.37931034,25
67,Eudorina elegans,"Levasseur et al., 2025",0.842504569,1.107332955,0.903070748,26
68,Fistulifera saprophila,"Levasseur et al., 2025",1.115170451,0.758088824,1.319106638,27
52,Fragilaria crotonensis,"Edwards et al., 2015",0.79,0.006521739,153.3333333,28
60,Fragilaria crotonensis,"Edwards et al., 2015",0.3,0.017,58.82352941,28
61,Fragilaria crotonensis,"Edwards et al., 2015",0.44,0.014411765,69.3877551,28
62,Fragilaria crotonensis,"Edwards et al., 2015",0.6,0.01,100,28
69,Fragilaria crotonensis,"Levasseur et al., 2025",0.561911211,1.875923918,0.533070659,28
63,Karenia brevis,"Edwards et al., 2015",0.17,0.257142857,3.888888889,29
70,Lagerheimia subsalsa,"Levasseur et al., 2025",0.934963593,0.108496878,9.216855041,30
71,Messastrum gracile,"Levasseur et al., 2025",1.565898553,0.616979226,1.620800115,31
13,Microcystis aeruginosa,"Edwards et al., 2015",0.67,0.113192982,8.834469932,32
24,Microcystis aeruginosa,"Edwards et al., 2015",0.25,0.126666667,7.894736842,32
72,Microcystis aeruginosa,"Levasseur et al., 2025",0.326536575,3.184502343,0.314020808,32
73,Microcystis viridis,"Levasseur et al., 2025",0.660327689,1.672597947,0.597872311,33
