,Species,dataset,r.max,T.br,Sp count
15,Acutodesmus obliquus,"Edwards et al., 2016",2.072598317,8.830818769,1
61,Akashiwo sanguinea,"Thomas et al., 2012",0.286615473,13.18753627,2
62,Alexandrium fundyense strain BoF,"Thomas et al., 2012",0.226824664,15.02990003,3
63,Alexandrium fundyense strain MI,"Thomas et al., 2012",0.389357577,13.59682641,4
64,Alexandrium ostenfeldii clone LF-37,"Thomas et al., 2012",0.208962865,11.22997385,5
65,Alexandrium tamarense clone GTMP,"Thomas et al., 2012",0.309497761,15.03840903,6
66,Amphiprora sp.,"Thomas et al., 2012",0.855936625,12.79301682,7
11,Anabaena cylindrica,"Edwards et al., 2016",0.620505783,9.818094583,8
1,Ankistrodesmus,"Bestion et al., 2018",1.278204978,21.26536927,9
41,Asterionella formosa,"Levasseur et al., 2025",0.800955946,27.97290169,10
67,Asterionellopsis glacialis,"Thomas et al., 2012",1.816071102,15.59164295,11
68,Asterionellopsis glacialis,"Thomas et al., 2012",1.008254115,25.51665077,11
69,Asterionellopsis glacialis,"Thomas et al., 2012",2.233002677,17.52429875,11
70,Calcidiscus leptoporus strain N482-1,"Thomas et al., 2012",0.476528321,11.97259,12
71,Calcidiscus leptoporus strain NS10-2,"Thomas et al., 2012",0.405916343,12.477296,13
72,Calciodinellum albatrosianum Geob*26/5,"Thomas et al., 2012",0.150744531,16.47166017,14
6,Ceratium furca,"Edwards et al., 2016",0.57219101,13.49431045,15
7,Ceratium fusus,"Edwards et al., 2016",0.470361227,12.27361006,15
31,Chaetoceros calcitrans,"Edwards et al., 2016",1.369883701,13.11163212,16
17,Chaetoceros deflandrei,"Edwards et al., 2016",0.58901786,17.51228129,17
73,Chaetoceros deflandrei,"Thomas et al., 2012",0.568569146,15.47423923,17
74,Chaetoceros didymus,"Thomas et al., 2012",1.444788999,17.38984975,18
75,Chaetoceros lorenzianus clone Bermuda,"Thomas et al., 2012",1.556583178,13.71983987,19
76,Chaetoceros lorenzianus clone Bushehr,"Thomas et al., 2012",1.25916246,18.24351316,20
77,Chaetoceros lorenzianus clone Slope water,"Thomas et al., 2012",1.631975569,16.58990105,21
78,Chaetoceros pseudocurvisetus,"Thomas et al., 2012",1.465844083,14.45636141,22
79,Chaetoceros sp.,"Thomas et al., 2012",0.51992277,13.97810102,23
80,Chaetoceros sp. strain CS256,"Thomas et al., 2012",0.849617686,27.31865756,24
81,Chattonella marina,"Thomas et al., 2012",0.413967623,17.49316196,25
