"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"1","1",1,"1.B09",6.99316611711127,1.49037051357106,4.05,4.20926176018927
"2","1",1,"1.C06",4.87655513661468,1.21765149850766,3.75,4.152458988843
"3","1",1,"1.E02",6.02865036225877,1.24572718963873,4.6,4.92330514798974
"4","1",1,"1.F11",7.47491711985254,1.28646389343032,5.65,5.76209447568221
"5","2",10,"10.B10",5.87036501876891,0.940407909244713,8.3,8.64178775104235
"6","2",10,"10.C08",5.96269177403102,1.39120741995589,3.65,4.01717707673324
"7","2",10,"10.E04",4.38649023633375,1.1822204821452,3.45,3.94785225307592
"8","2",10,"10.F09",5.57606456406982,1.17973501012784,4.65,5.03859892510344
"9","20",11,"11.B06",5.52778225628893,0.898634475553037,8.7,9.14129625598907
"10","20",11,"11.D03",4.00928125813297,1.01968656002423,4.05,4.88419218616289
"11","20",11,"11.D08",7.74878406119693,1.40197947315856,5.05,5.15371123952938
"12","20",11,"11.E09",6.85104598450106,1.33358203587914,4.75,4.95950729641813
"13","21",12,"12.C02",4.13045592531935,1.4018045001581,2.15,2.74773456039309
"14","21",12,"12.C09",4.15530142297041,0.89887236088316,6.1,6.86680020406194
"15","21",12,"12.E09",5.64410066066744,1.6880995366991,2.65,2.80178855424601
"16","21",12,"12.F04",3.17620943234142,1.32471636676789,1.75,2.32593071026957
"17","22",13,"13.B05",6.03309123146288,1.25936311266691,4.5,4.83086829777988
"18","22",13,"13.D03",7.05532931397047,1.31439147667314,5.05,5.23731316961224
"19","22",13,"13.E10",6.50496457300223,1.46352447136123,3.75,4.03174487946421
"20","22",13,"13.F06",6.39707737347533,1.25496157935591,4.9,5.15476457341184
"21","23",14,"14.B06",5.54797660383331,1.61551575079372,2.7,2.94345858487697
"22","23",14,"14.C10",5.04705494024587,1.42083565524255,2.9,3.28326405780825
"23","23",14,"14.E05",4.20614527741189,1.21810517254797,3.25,3.57912603274512
"24","23",14,"14.F10",5.15839549863761,1.10627997326304,4.75,5.28795053932196
"25","24",15,"15.B11",5.36623733021293,0.889518221750789,8.6,9.11965623312924
"26","24",15,"15.D02",7.24562483636026,1.2258547638875,5.9,6.09374615670285
"27","24",15,"15.E06",6.02029622991199,1.29578777677471,4.25,4.58198137447858
"28","24",15,"15.E11",5.88170300484909,0.980819206604869,7.45,7.82700416477944
"29","25",16,"16.B02",5.16622463758731,1.41571588267605,3.05,3.38089528968594
