"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"1","1",1,"1.B09",6.66966437001657,1.28702892091051,5,5.13736378262873
"2","1",1,"1.C06",4.51709023876301,1.2571363797937,3,3.62851603649756
"3","1",1,"1.E02",5.22650057165029,1.28530711246744,4,4.0353117594108
"4","1",1,"1.F11",6.18721148544598,1.28816856302106,4.5,4.75829170305661
"5","2",10,"10.B10",7.42019935639033,1.4609265888619,4.5,4.61226440750053
"6","2",10,"10.C08",5.30601443905537,1.42841580160628,3,3.42159606075218
"7","2",10,"10.E04",6.72042998149787,1.52408077004307,4,3.90365714842613
"8","2",10,"10.F09",4.73275803903633,1.52373397218065,2.5,2.7500789412491
"9","20",11,"11.B06",5.21967406101138,1.29084155556838,4,3.9995228129757
"10","20",11,"11.D03",7.97328849578721,1.4375058019467,5,5.0883328038805
"11","20",11,"11.D08",7.88231004891449,1.34794496024282,5.5,5.60203294660561
"12","20",11,"11.E09",6.6760885328271,1.22047091126181,5.5,5.66052117456719
"13","21",12,"12.C02",4.8552442179704,1.56612434318875,2.5,2.70238642019752
"14","21",12,"12.C09",5.03781343140247,1.54202167141788,2.5,2.8728240971628
"15","21",12,"12.E09",6.28276711402177,1.50530867183978,3.5,3.72190554118657
"16","21",12,"12.F04",3.4245477597484,1.47114553669247,2,2.10476446213048
"17","22",13,"13.B05",7.77195949642131,1.52942306578888,4.5,4.4895747497551
"18","22",13,"13.D03",8.15299977760425,1.52881000778515,5,4.71266795219863
"19","22",13,"13.E10",5.65902557349945,1.36582787938326,4,3.93266900071159
"20","22",13,"13.F06",6.47430619876069,1.50883875414442,4,3.82110390777118
"21","23",14,"14.B06",6.52990197355403,1.44885164211875,4,4.11401063114843
"22","23",14,"14.C10",6.36340788914763,1.58468178798415,3.5,3.47767322471216
"23","23",14,"14.E05",5.09826270301595,1.46643108577012,3,3.14974536786022
"24","23",14,"14.F10",4.88254632606837,1.47043657003945,3,3.0032031143914
"25","24",15,"15.B11",6.22078603950602,1.13319133139751,6,6.07762188871534
"26","24",15,"15.D02",6.57397308556879,1.19731852203832,5.5,5.7764285841628
"27","24",15,"15.E06",6.47837975377333,1.25206208021658,5,5.2421491739263
"28","24",15,"15.E11",6.25787394572134,1.37848775860005,4,4.2815660622682
"29","25",16,"16.B02",6.87116980118782,1.49527329643995,4,4.11415048768287
"30","25",16,"16.C05",6.39535714774935,1.40770717677174,4,4.22480792999582
"31","25",16,"16.E03",5.03346228234257,1.28732136296292,3.5,3.87550678647608
"32","25",16,"16.F02",4.68425945812802,1.46606585810507,2.5,2.8951375588059
"33","26",17,"17.B09",7.50860837491366,1.57059794337605,4,4.16072555610477
"34","26",17,"17.C06",6.37931372631245,1.54921708828269,3.5,3.61135662641734
"35","26",17,"17.E02",6.13006833520549,1.44013459185192,4,3.90035603587846
"36","26",17,"17.F11",7.33270952451849,1.39207379216186,5,4.9350398635456
"37","27",18,"18.B07",6.45101096502056,1.29443046433331,4.5,4.91886749781118
"38","27",18,"18.C07",6.62286188935844,1.2893888815578,5,5.08480832627941
"39","27",18,"18.D11",5.587041062641,1.30548455093239,4,4.1969253301974
"40","27",18,"18.G02",6.97571146317568,1.3587006369785,5,4.89094191054659
"41","28",19,"19.B02",4.82645494781169,1.35411216242267,3,3.40356803317158
"42","28",19,"19.C05",4.25805016578079,1.50462749444729,2,2.52428402397121
"43","28",19,"19.E03",5.61919530656924,1.58411239010531,3,3.07266019050429
"44","28",19,"19.F02",3.98270280970471,1.35353512438044,2.5,2.81060472928147
"45","10",2,"2.C02",5.59609894567326,1.26934939187961,4,4.41787283594219
"46","10",2,"2.D05",1.31619298025721,1.28173983416894,0.5,1.02123789494416
"47","10",2,"2.D11",6.84498915917889,1.31831936157045,5,5.05485435740663
"48","10",2,"2.F08",4.70241389167202,1.28929027309613,3.5,3.61084176833555
"49","29",20,"20.B10",3.96585851065834,1.42318257334446,2.5,2.57289805720211
"50","29",20,"20.D02",2.55665258089516,1.47465923518136,1.5,1.56531021634237
"51","29",20,"20.E06",2.60904973125908,1.3500294263473,1.5,1.84938408719828
"52","29",20,"20.F04",3.56878321329366,1.258456935269,3,2.86133403296333
"53","3",21,"21.B03",5.89287788099293,1.5410738324394,3.5,3.3636730531796
"54","3",21,"21.C10",1.8571091461275,1.33161722922958,1,1.34779406477195
"55","3",21,"21.D09",4.59801789316885,1.25505495751358,3.5,3.70458478475674
"56","3",21,"21.F09",2.880831146582,1.35935870569589,2,2.01819962751451
"57","30",22,"22.C03",4.54625778547361,1.29962318538287,3,3.44216407784366
"58","30",22,"22.C09",3.77131071488367,1.38660447607239,2.5,2.5549510817673
"59","30",22,"22.E03",5.23016503340684,1.33559864624968,3.5,3.77629903413342
"60","30",22,"22.E08",1.96164094635385,1.24144434965375,1.5,1.6120449608487
"61","31",23,"23.B04",6.6550931033274,1.37405911567497,4.5,4.57810995061857
"62","31",23,"23.D06",5.82037783661887,1.3522295646724,4,4.11422614587024
"63","31",23,"23.D09",4.85075481908678,1.32312177919332,3,3.55961888751238
"64","31",23,"23.F08",6.78648092899311,1.456010272208,4,4.24150195384582
"65","32",24,"24.C04",5.88574222059299,1.47286239021444,3.5,3.61063800947896
"66","32",24,"24.D07",6.59428990895425,1.45559594663309,4,4.1232906009648
"67","32",24,"24.D08",8.07693089232087,1.42694382733634,5.5,5.21727147374323
"68","32",24,"24.F07",5.91447694541696,1.43700792507667,3.5,3.77659881368112
"69","33",25,"25.C03",4.38951503853746,1.26480441170228,3,3.48767456725191
"70","33",25,"25.D05",2.47924143238586,1.26361814756542,1.5,1.97319413511429
"71","33",25,"25.E08",6.75950322257574,1.36201615112204,4.5,4.7197575751394
"72","33",25,"25.G03",5.32792072669946,1.43959269141768,3.5,3.39206502744223
"73","35",26,"26.C04",6.68855232506896,1.49071353123214,4,4.0244276851546
"74","35",26,"26.D07",4.68767406204515,1.36579241586348,3,3.25778379526227
"75","35",26,"26.D08",4.04797295692682,1.35492942069516,3,2.8516555015622
"76","35",26,"26.F07",4.25011068559399,1.28967672963917,3,3.2618033263985
"77","4",27,"27.B03",7.07806888070284,1.40712853576706,4.5,4.67900490402499
"78","4",27,"27.D04",6.8618719749137,1.56418087787519,4,3.82664955150568
"79","4",27,"27.D10",6.44773486885052,1.38872661579674,4,4.35696339146166
"80","4",27,"27.F03",7.55366155541488,1.59688308482262,4,4.07958286999731
"81","5",28,"28.B09",5.63206042838142,1.14722346909452,5,5.37096012997729
"82","5",28,"28.C04",6.071161626404,0.995052253788954,7.5,7.81480955718832
"83","5",28,"28.D06",5.76278271568587,1.08638130336046,6,6.13083766498097
"84","5",28,"28.E10",5.9783009220163,1.00826427177943,7,7.46847055876098
"85","6",29,"29.C02",6.01452096138375,1.25498530679924,4.5,4.8463351748929
"86","6",29,"29.C09",4.68013430849215,1.29607481078686,3,3.56060983795099
"87","6",29,"29.E09",1.99777123890127,1.22843955687699,1.5,1.67367697239765
"88","6",29,"29.F04",3.16804320218471,1.27669805720545,2,2.47538579934349
"89","11",3,"3.B07",6.35506666058043,1.49822154527045,3.5,3.79317374224141
"90","11",3,"3.C07",5.69116533997398,1.43412903769012,3.5,3.64597496818913
"91","11",3,"3.D11",4.85371160181128,1.3322692244093,3,3.51959965657488
"92","11",3,"3.G02",4.27845666065611,1.54875350712076,2.5,2.42318809765272
"93","7",30,"30.B08",5.70502383665562,1.24865779730522,4.5,4.63918852153961
"94","7",30,"30.C07",6.09098975800326,1.21270691230034,5,5.22585895782926
"95","7",30,"30.D10",3.44678764183021,1.09278628432854,3,3.62284303519097
"96","7",30,"30.F03",3.06096802086269,1.32393881647097,1.5,2.24382117353536
"97","8",31,"31.B05",7.66733391633559,1.32790959243437,5.5,5.59142252610276
"98","8",31,"31.D03",5.38062441167154,1.41718032950618,3.5,3.51518760617378
"99","8",31,"31.E10",2.74859868185054,1.30583732360889,2,2.06374126517091
"100","8",31,"31.F06",1.70524786041839,1.22305064029106,1.5,1.44022001308241
"101","9",32,"32.C03",7.12998246400608,1.48225550380051,4.5,4.3293752798325
"102","9",32,"32.D05",3.8570909922147,1.37786929171877,2.5,2.64097329183373
"103","9",32,"32.E08",5.49169440095506,1.34802465457415,3.5,3.90260488258044
"104","9",32,"32.G03",5.93216410515728,1.45206732514654,4,3.72394751521964
"105","anc2",33,"33.B06",6.61923296683098,1.50397512336653,4,3.92676710399505
"106","anc2",33,"33.C10",5.71185648643001,1.32956564858458,4,4.15642205221071
