"","Grad","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Nitrogen limitation","1",1,"1.B09","K_s",6.66966437001657,1.00278941696549,2500
"2","Nitrogen limitation","1",1,"1.B09","deviance",11.6314297993172,1.00133626959684,4200
"3","Nitrogen limitation","1",1,"1.B09","r_max",1.28702892091051,1.00305872289953,6000
"4","Nitrogen limitation","1",1,"1.B09","sigma",0.473303253174994,1.00108084305233,6000
"5","Nitrogen limitation","1",1,"1.C06","K_s",4.51709023876301,1.00079048161419,6000
"6","Nitrogen limitation","1",1,"1.C06","deviance",4.42502474656676,1.00094445323621,6000
"7","Nitrogen limitation","1",1,"1.C06","r_max",1.2571363797937,1.00085351062694,6000
"8","Nitrogen limitation","1",1,"1.C06","sigma",0.3288642498687,1.00075097383218,6000
"9","Nitrogen limitation","1",1,"1.E02","K_s",5.22650057165029,1.00112396770793,5600
"10","Nitrogen limitation","1",1,"1.E02","deviance",-1.28257187134644,1.00111996685471,6000
"11","Nitrogen limitation","1",1,"1.E02","r_max",1.28530711246744,1.00064753036299,6000
"12","Nitrogen limitation","1",1,"1.E02","sigma",0.245962950730308,1.00132704914452,4200
"13","Nitrogen limitation","1",1,"1.F11","K_s",6.18721148544598,1.00098738751824,6000
"14","Nitrogen limitation","1",1,"1.F11","deviance",4.35781634508844,1.00177917831454,2700
"15","Nitrogen limitation","1",1,"1.F11","r_max",1.28816856302106,1.00118975309904,6000
"16","Nitrogen limitation","1",1,"1.F11","sigma",0.329505597497268,1.00151187006828,3500
"17","Nitrogen limitation","2",10,"10.B10","K_s",7.42019935639033,1.00362509176035,6000
"18","Nitrogen limitation","2",10,"10.B10","deviance",-5.32650326384869,1.00151021942985,3500
"19","Nitrogen limitation","2",10,"10.B10","r_max",1.4609265888619,1.00102987733344,6000
"20","Nitrogen limitation","2",10,"10.B10","sigma",0.202591888018426,1.00142061151963,3800
"21","Nitrogen limitation","2",10,"10.C08","K_s",5.30601443905537,1.00087867315539,6000
"22","Nitrogen limitation","2",10,"10.C08","deviance",9.20986355667909,1.00081235316713,6000
"23","Nitrogen limitation","2",10,"10.C08","r_max",1.42841580160628,1.00161540900384,3100
"24","Nitrogen limitation","2",10,"10.C08","sigma",0.420993583628152,1.00129104997285,4400
"25","Nitrogen limitation","2",10,"10.E04","K_s",6.72042998149787,1.0008334667608,6000
"26","Nitrogen limitation","2",10,"10.E04","deviance",9.63314106344082,1.00111197672375,5700
"27","Nitrogen limitation","2",10,"10.E04","r_max",1.52408077004307,1.00098477448214,6000
"28","Nitrogen limitation","2",10,"10.E04","sigma",0.428172064012115,1.00097092209915,6000
"29","Nitrogen limitation","2",10,"10.F09","K_s",4.73275803903633,1.00190716742091,6000
"30","Nitrogen limitation","2",10,"10.F09","deviance",8.19901222251169,1.00208630941052,2200
"31","Nitrogen limitation","2",10,"10.F09","r_max",1.52373397218065,1.00153855324615,3400
"32","Nitrogen limitation","2",10,"10.F09","sigma",0.399963742546606,1.001335684246,4200
"33","Nitrogen limitation","20",11,"11.B06","K_s",5.21967406101138,1.00074352453494,6000
"34","Nitrogen limitation","20",11,"11.B06","deviance",5.77893511248276,1.00105831142877,6000
"35","Nitrogen limitation","20",11,"11.B06","r_max",1.29084155556838,1.00119560929331,5000
"36","Nitrogen limitation","20",11,"11.B06","sigma",0.353053270875917,1.00062345369583,6000
"37","Nitrogen limitation","20",11,"11.D03","K_s",7.97328849578721,1.00109552994896,6000
"38","Nitrogen limitation","20",11,"11.D03","deviance",4.32298122735055,1.00144052625699,3700
"39","Nitrogen limitation","20",11,"11.D03","r_max",1.4375058019467,1.00101030149489,6000
"40","Nitrogen limitation","20",11,"11.D03","sigma",0.329350359981938,1.00116918144437,5200
"41","Nitrogen limitation","20",11,"11.D08","K_s",7.88231004891449,1.00329287697794,2100
"42","Nitrogen limitation","20",11,"11.D08","deviance",-9.29115895164929,1.00070646074076,6000
"43","Nitrogen limitation","20",11,"11.D08","r_max",1.34794496024282,1.00132252133887,4300
"44","Nitrogen limitation","20",11,"11.D08","sigma",0.166101290927849,1.00122194464671,4800
"45","Nitrogen limitation","20",11,"11.E09","K_s",6.6760885328271,1.0012219123048,4800
"46","Nitrogen limitation","20",11,"11.E09","deviance",4.24240694988197,1.00057970213093,6000
"47","Nitrogen limitation","20",11,"11.E09","r_max",1.22047091126181,1.00105217465471,6000
"48","Nitrogen limitation","20",11,"11.E09","sigma",0.325144919615064,1.00076700257107,6000
"49","Nitrogen limitation","21",12,"12.C02","K_s",4.8552442179704,1.00093001025495,6000
"50","Nitrogen limitation","21",12,"12.C02","deviance",-1.64673159798646,1.00102745037728,6000
"51","Nitrogen limitation","21",12,"12.C02","r_max",1.56612434318875,1.00089995984079,6000
"52","Nitrogen limitation","21",12,"12.C02","sigma",0.244149990189916,1.00124600672584,4700
"53","Nitrogen limitation","21",12,"12.C09","K_s",5.03781343140247,1.00153763625335,4900
"54","Nitrogen limitation","21",12,"12.C09","deviance",5.2636184840609,1.00116441137508,5300
"55","Nitrogen limitation","21",12,"12.C09","r_max",1.54202167141788,1.00154270851605,3400
"56","Nitrogen limitation","21",12,"12.C09","sigma",0.343053346257491,1.00084582837041,6000
"57","Nitrogen limitation","21",12,"12.E09","K_s",6.28276711402177,1.00108967755881,5900
"58","Nitrogen limitation","21",12,"12.E09","deviance",2.28949268500568,1.00093756025257,6000
"59","Nitrogen limitation","21",12,"12.E09","r_max",1.50530867183978,1.00070854398872,6000
"60","Nitrogen limitation","21",12,"12.E09","sigma",0.29489097296497,1.00121186479876,4900
"61","Nitrogen limitation","21",12,"12.F04","K_s",3.4245477597484,1.00144500375615,6000
"62","Nitrogen limitation","21",12,"12.F04","deviance",-7.84255626520514,1.00127213380216,4500
"63","Nitrogen limitation","21",12,"12.F04","r_max",1.47114553669247,1.00058363106064,6000
"64","Nitrogen limitation","21",12,"12.F04","sigma",0.178623573475269,1.00149563842731,3500
"65","Nitrogen limitation","22",13,"13.B05","K_s",7.77195949642131,1.00112533423165,6000
"66","Nitrogen limitation","22",13,"13.B05","deviance",0.586160343922413,1.0006217420457,6000
"67","Nitrogen limitation","22",13,"13.B05","r_max",1.52942306578888,1.00078375073875,6000
"68","Nitrogen limitation","22",13,"13.B05","sigma",0.273172767734974,1.00070446716766,6000
"69","Nitrogen limitation","22",13,"13.D03","K_s",8.15299977760425,1.00182090699119,6000
"70","Nitrogen limitation","22",13,"13.D03","deviance",-5.13141664042393,1.00082120521041,6000
"71","Nitrogen limitation","22",13,"13.D03","r_max",1.52881000778515,1.0010569185811,6000
"72","Nitrogen limitation","22",13,"13.D03","sigma",0.204358777077513,1.00076549798208,6000
"73","Nitrogen limitation","22",13,"13.E10","K_s",5.65902557349945,1.00102591306435,6000
"74","Nitrogen limitation","22",13,"13.E10","deviance",1.2944044771564,1.00070710313534,6000
"75","Nitrogen limitation","22",13,"13.E10","r_max",1.36582787938326,1.00112756686044,5600
"76","Nitrogen limitation","22",13,"13.E10","sigma",0.282623535305816,1.00093762892921,6000
"77","Nitrogen limitation","22",13,"13.F06","K_s",6.47430619876069,1.00463917861359,5000
"78","Nitrogen limitation","22",13,"13.F06","deviance",-4.49126303823852,1.0016777560141,3000
"79","Nitrogen limitation","22",13,"13.F06","r_max",1.50883875414442,1.00129929857209,4400
"80","Nitrogen limitation","22",13,"13.F06","sigma",0.211571371216246,1.00153366332259,3400
"81","Nitrogen limitation","23",14,"14.B06","K_s",6.52990197355403,1.00109587149076,6000
"82","Nitrogen limitation","23",14,"14.B06","deviance",5.41086899765868,1.00200604973402,2300
"83","Nitrogen limitation","23",14,"14.B06","r_max",1.44885164211875,1.00097610104696,6000
"84","Nitrogen limitation","23",14,"14.B06","sigma",0.346044652833064,1.00119395597836,5000
"85","Nitrogen limitation","23",14,"14.C10","K_s",6.36340788914763,1.00103440276823,6000
"86","Nitrogen limitation","23",14,"14.C10","deviance",4.36412555781072,1.0010288321382,6000
"87","Nitrogen limitation","23",14,"14.C10","r_max",1.58468178798415,1.00139915875291,3900
"88","Nitrogen limitation","23",14,"14.C10","sigma",0.330152525351038,1.0014907276005,3500
"89","Nitrogen limitation","23",14,"14.E05","K_s",5.09826270301595,1.00069358418182,6000
"90","Nitrogen limitation","23",14,"14.E05","deviance",-6.1548540013349,1.00093643014605,6000
"91","Nitrogen limitation","23",14,"14.E05","r_max",1.46643108577012,1.0011342895748,5500
"92","Nitrogen limitation","23",14,"14.E05","sigma",0.195259705986975,1.00059415008435,6000
"93","Nitrogen limitation","23",14,"14.F10","K_s",4.88254632606837,1.00076807945349,6000
"94","Nitrogen limitation","23",14,"14.F10","deviance",4.73270883525097,1.00151010567539,3500
"95","Nitrogen limitation","23",14,"14.F10","r_max",1.47043657003945,1.00113176797736,5500
"96","Nitrogen limitation","23",14,"14.F10","sigma",0.334828842334308,1.00068522651991,6000
"97","Nitrogen limitation","24",15,"15.B11","K_s",6.22078603950602,1.00095933228556,6000
"98","Nitrogen limitation","24",15,"15.B11","deviance",11.5646374755061,1.00077355715166,6000
"99","Nitrogen limitation","24",15,"15.B11","r_max",1.13319133139751,1.00116189163543,5300
"100","Nitrogen limitation","24",15,"15.B11","sigma",0.472063246996594,1.00081397462946,6000
"101","Nitrogen limitation","24",15,"15.D02","K_s",6.57397308556879,1.0011824179382,5800
"102","Nitrogen limitation","24",15,"15.D02","deviance",7.70920066580093,1.00084769710383,6000
"103","Nitrogen limitation","24",15,"15.D02","r_max",1.19731852203832,1.00067650954959,6000
"104","Nitrogen limitation","24",15,"15.D02","sigma",0.388482413063423,1.00085416575158,6000
"105","Nitrogen limitation","24",15,"15.E06","K_s",6.47837975377333,1.00093078972876,6000
"106","Nitrogen limitation","24",15,"15.E06","deviance",9.00796075289174,1.00109854789047,5800
"107","Nitrogen limitation","24",15,"15.E06","r_max",1.25206208021658,1.00111800173179,6000
"108","Nitrogen limitation","24",15,"15.E06","sigma",0.415362997623251,1.00090453496209,6000
"109","Nitrogen limitation","24",15,"15.E11","K_s",6.25787394572134,1.00113571344813,6000
"110","Nitrogen limitation","24",15,"15.E11","deviance",7.75751099266338,1.00065832843869,6000
"111","Nitrogen limitation","24",15,"15.E11","r_max",1.37848775860005,1.0007115814532,6000
"112","Nitrogen limitation","24",15,"15.E11","sigma",0.389967226843537,1.00094054869625,6000
