ancestor_id,treatment,population,p_star,n_star,i_star,p_umax,n_umax,light_umax,p_ks,n_ks,nitrate_biovolume,phosphate_biovolume,light_biovolume,light_length,light_area,phosphate_length,phosphate_area,nitrate_length,nitrate_area,note,nc_old,pc_old,lowN_fold_change,lowP_fold_change,COMBO_fold_change,cons_vector,nc,pc,cons_vector_new,np,diversity,mean_biovolume_n,se_biovolume_n,ancestor_nitrate_biovolume,ancestor_phosphate_biovolume,ancestor_light_biovolume,change_nitrate_size,change_phosphate_size,change_light_size
anc2,N,1,0.03438638,1.800404477,1.378299096,1.294700699,1.850494694,1.50026304,0.410814326,31.51598485,431.4320966,706.4565504,318.7261839,8.475,57.15,11.05,99.66666667,9.375,70.75,NA,0.288110969,0.032524123,64.97391474,0.006497391,0.649739147,0.112887486,0.171397085,0.012745205,0.074360689,13.44796579,Isoclonal,428.1970628,15.73354484,477.8744653,523.5987756,263.0873753,-46.44236873,182.8577748,55.63880854
anc2,L,10,0.080076605,1.759919725,1.254525267,1.33402595,1.858641196,1.691031623,0.988166092,30.9506733,445.3857094,543.4801893,254.9006055,7.866666667,49.93333333,10.125,86.2,9.475,72.325,NA,0.226851743,0.040767624,64.97391474,0.006497391,0.649739147,0.179710428,0.173593982,0.015449929,0.089000373,11.23590799,Isoclonal,489.5041171,16.14011689,477.8744653,523.5987756,263.0873753,-32.48875588,19.88141366,-8.186769865
anc4,N,11,0.097240164,1.246348517,0.959840274,1.610530303,1.927913129,1.483376494,1.468842143,22.78216818,481.5789021,567.9944785,283.4467283,8.15,52.875,10.275,86.775,9.725,75.125,NA,0.196500169,0.027762963,100.3043067,0.010030431,1.003043067,0.141287224,0.156013249,0.011812778,0.075716504,13.20716019,Isoclonal,428.1970628,15.73354484,489.0451098,519.6815941,242.1579954,-7.466207653,48.31288445,41.28873294
anc2,S,14,0.027429552,1.493843019,1.477600017,1.370555343,1.757367292,1.568965835,0.34850764,24.7584656,511.9059395,671.8737264,324.400702,8.525,57.95,10.86666667,97.6,9.925,78.675,NA,0.199448576,0.029596859,64.97391474,0.006497391,0.649739147,0.148393434,0.174076226,0.014081336,0.080891779,12.36219574,Isoclonal,479.265994,11.98272995,477.8744653,523.5987756,263.0873753,34.03147423,148.2749508,61.31332663
anc4,S,15,0.053772592,1.184311489,0.893668098,1.281744012,1.708394476,1.620416292,0.635454387,19.04840056,489.0451098,407.7200834,251.6740541,7.833333333,48.73333333,9.2,70.75,9.775,75.775,NA,0.193111104,0.035569872,100.3043067,0.010030431,1.003043067,0.184193818,0.168074608,0.014283427,0.084982659,11.76710645,Isoclonal,479.265994,11.98272995,489.0451098,519.6815941,242.1579954,0,-111.9615107,9.516058681
anc5,B,16,0.12109664,1.488265794,0.923309007,1.499164182,1.862791127,1.589129398,1.694340811,26.23501736,438.3718911,543.4801893,281.711345,8.133333333,52.86666667,10.125,85.95,9.425,70.3,NA,0.187259682,0.03868753,65.76184076,0.006576184,0.657618408,0.206598289,0.168742667,0.014699842,0.087113958,11.47921672,Isoclonal,450.7877336,29.54946586,448.9205002,725.8104629,294.0088937,-10.5486091,-182.3302736,-12.2975487
anc2,P,17,0.014338323,0.353975338,1.538157073,1.389388193,1.67638676,1.660452393,0.184876642,5.580020359,394.5688529,401.1085362,203.6888249,7.3,41.95,9.15,67.1,9.1,65.425,NA,0.186987844,0.04892242,64.97391474,0.006497391,0.649739147,0.261634228,0.157372767,0.046736676,0.296980708,3.367222094,Isoclonal,369.5942831,33.30050673,477.8744653,523.5987756,263.0873753,-83.3056124,-122.4902394,-59.39855045
anc5,S,18,0.050043456,1.377914083,1.32393938,1.303861914,1.922925347,1.585930354,0.602454105,25.11834508,438.3718911,740.5556016,179.59438,7,38.6,11.225,101.4,9.425,70.55,NA,0.1870993,0.043331796,65.76184076,0.006576184,0.657618408,0.231597851,0.183308473,0.011740378,0.064047113,15.61350638,Isoclonal,479.265994,11.98272995,448.9205002,725.8104629,294.0088937,-10.5486091,14.74513875,-114.4145137
anc2,B,19,0.038306233,2.046236333,1.391975892,1.383508759,1.89643537,1.338189052,0.491663852,36.75931326,463.2466863,687.449784,310.3390887,8.4,56.75,10.95,96.35,9.6,74.825,NA,0.205724437,0.03843503,64.97391474,0.006497391,0.649739147,0.186827731,0.224868098,0.012548016,0.055801672,17.92060999,Isoclonal,450.7877336,29.54946586,477.8744653,523.5987756,263.0873753,-14.62777899,163.8510084,47.25171335
anc3,BS,2,0.039318193,1.856472161,0.761411247,1.391223651,2.161399905,1.5615402,0.50768581,38.26931535,489.0451098,531.4920926,250.8716932,7.825,48.775,10.05,82.775,9.775,84.475,NA,0.223868685,0.035589395,56.74477339,0.005674477,0.567447734,0.158974425,0.144111157,0.016541777,0.11478485,8.711951135,Isoclonal,455.4003616,15.7127775,474.1890744,559.7428727,273.1406027,14.85603534,-28.25078012,-22.26890954
anc4,L,20,0.15035544,1.526993705,1.740262939,1.362602044,1.869087878,1.597334965,1.898390853,27.01386055,474.1890744,610.4708565,280.8463159,8.125,52.775,10.525,92.825,9.675,74.9,NA,0.192500178,0.037767831,100.3043067,0.010030431,1.003043067,0.196196343,0.170063743,0.011794712,0.069354651,14.41864365,Isoclonal,489.5041171,16.14011689,489.0451098,519.6815941,242.1579954,-14.85603534,90.78926243,38.68832053
anc4,B,21,0.031978904,1.072038269,0.993101745,1.389700786,1.823570312,1.581999407,0.41243218,18.47733334,362.9346512,496.5880901,239.0401198,7.7,46.725,9.825,78.95,8.85,62.65,NA,0.226691966,0.039068483,100.3043067,0.010030431,1.003043067,0.172341716,0.172017485,0.019901815,0.115696464,8.643306507,Isoclonal,450.7877336,29.54946586,489.0451098,519.6815941,242.1579954,-126.1104586,-23.09350398,-3.117875568
cc1690,C,22,0.154169004,1.569514113,1.431095973,1.526722199,2.046466696,1.607109589,2.199563407,30.5500695,500.3884927,678.0755988,273.1406027,8.05,53.625,10.9,NA,9.85,76.8,NA,0.199735879,0.054956405,63.33114994,0.006333115,0.633311499,0.275145384,0.173964702,0.012596259,0.072406984,13.81082253,Genotypically diverse,432.7539089,33.91118332,492.8069788,547.5159168,307.5764425,7.581513921,130.5596819,-34.43583974
anc5,L,23,0.062332499,1.119147134,1.231846549,1.396510784,1.965859643,1.633561205,0.80814757,20.88171472,527.5355921,547.5159168,291.3441768,8.225,54.25,10.15,87,10.025,78.95,NA,0.215639046,0.028812811,65.76184076,0.006576184,0.657618408,0.133615929,0.170860636,0.010874489,0.063645372,15.71206158,Isoclonal,489.5041171,16.14011689,448.9205002,725.8104629,294.0088937,78.61509184,-178.2945461,-2.664716887
anc4,C,24,0.040487862,2.712047766,1.471101347,1.418940194,2.016063091,1.368938986,0.534010682,51.96454627,403.304381,519.6815941,260.6132157,7.925,50.8,9.975,78.925,9.166666667,66.7,NA,0.202155049,0.033771954,100.3043067,0.010030431,1.003043067,0.167059661,0.172475149,0.01099168,0.063729065,15.69142736,Isoclonal,432.7539089,33.91118332,489.0451098,519.6815941,242.1579954,-85.7407288,-2.27E-13,18.45522029
anc2,BS,25,0.095893937,1.195567977,1.097463927,1.629914074,1.830327587,1.537803794,1.467094839,20.68724254,445.3857094,489.0451098,310.3390887,8.4,55.725,9.775,80.275,9.475,76.075,NA,0.208219155,0.031307242,64.97391474,0.006497391,0.649739147,0.150357165,0.185244985,0.017313367,0.093462002,10.69953538,Isoclonal,455.4003616,15.7127775,477.8744653,523.5987756,263.0873753,-32.48875588,-34.55366583,47.25171335
