"","Pop.fac","Pop.num","unique.id","T.µ.max","T.br","I.µ.max","I.comp","N.µ.max","N.comp","P.µ.max","P.comp","S.µ.max","S.c","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"1","1",1,"1.B09",4.16129641263692,18.7325883160405,1.49037051357106,0.0950285401072358,1.28702892091051,0.194652363023494,1.397359903,1.5280063734735,1.48855897803162,3.24655626225251,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"2","1",1,"1.C06",3.57697800767538,18.8105244241806,1.21765149850766,0.096328464910728,1.2571363797937,0.27559475828175,1.484209848,0.965099737103164,1.48855897803162,3.24655626225251,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"3","1",1,"1.E02",3.40154487922212,18.8312514997829,1.24572718963873,0.0812462335720397,1.28530711246744,0.247812327676514,1.397751483,1.23286868550919,1.48855897803162,3.24655626225251,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"4","1",1,"1.F11",4.56161649458751,16.1830393550964,1.28646389343032,0.0694192019391771,1.28816856302106,0.210159456881894,1.234365919,1.13205767874174,1.48855897803162,3.24655626225251,518.33,102.075,3.7227,1.5001,0.3286,-3.22690496488779,428.1970628,"anc2","N"
"5","2",10,"10.B10",3.57702476698098,19.1376352685895,0.940407909244713,0.0462867188507092,1.4609265888619,0.216813242183988,1.397541204,1.33016878906825,1.89314995341106,6.1392382277185,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"6","2",10,"10.C08",3.55793412192257,18.2372206590191,1.39120741995589,0.0995724092713581,1.42841580160628,0.292261267035761,1.532190463,1.29031344689088,1.89314995341106,6.1392382277185,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"7","2",10,"10.E04",3.77739625182403,21.0754487649146,1.1822204821452,0.101320914349909,1.52408077004307,0.25617003798686,1.724220859,0.693266896438933,1.89314995341106,6.1392382277185,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"8","2",10,"10.F09",3.44658363842515,19.6432025749195,1.17973501012784,0.0793871482818586,1.52373397218065,0.363625925423724,1.459191925,1.14337577288086,1.89314995341106,6.1392382277185,194.805,44.93,6.365,2.4608,0.5562,-2.35499553518545,455.4003616,"anc3","BS"
"9","20",11,"11.B06",2.53100770175897,19.143781871946,0.898634475553037,0.0437574703629076,1.29084155556838,0.250029827747372,1.452367132,0.559960120670532,1.2907080900462,4.05080283450614,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"10","20",11,"11.D03",4.3987134749253,17.8183804936808,1.01968656002423,0.0818968592458781,1.4375058019467,0.196528025689942,1.568024886,0.374318734569042,1.2907080900462,4.05080283450614,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"11","20",11,"11.D08",3.36000474814694,19.0166107931467,1.40197947315856,0.0776139720308674,1.34794496024282,0.178506625992966,1.423611765,0.517449047582688,1.2907080900462,4.05080283450614,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"12","20",11,"11.E09",3.11236224028082,19.1259531241196,1.33358203587914,0.0806531730054897,1.22047091126181,0.176662178121162,1.374738509,0.689160273113748,1.2907080900462,4.05080283450614,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,489.5041171,"anc4","L"
"13","21",12,"12.C02",5.64876655911618,17.8278413556662,1.4018045001581,0.145574469152063,1.56612434318875,0.370043304142606,1.472280843,1.69375345419845,1.91463963200343,3.46996840208886,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,450.7877336,"anc4","B"
