Species_original,Species_standardised,Reference,Trait,Temperature,Trait_value,Trait_unit,Latitude,Longitude
Actinocyclus octonarius,Actinocyclus octonarius,Baars (1981),growth rate,6,0,s^-1,51.395,3.557
Actinocyclus octonarius,Actinocyclus octonarius,Baars (1981),growth rate,12,3.01E-06,s^-1,51.395,3.557
Actinocyclus octonarius,Actinocyclus octonarius,Baars (1981),growth rate,20,6.37E-06,s^-1,51.395,3.557
Actinocyclus octonarius,Actinocyclus octonarius,Baars (1981),growth rate,26,4.75E-06,s^-1,51.395,3.557
Actinocyclus octonarius,Actinocyclus octonarius,Baars (1981),growth rate,30,9.14E-06,s^-1,51.395,3.557
Actinoptychus senarius,Actinoptychus senarius,Baars (1981),growth rate,0,0,s^-1,51.395,3.557
Actinoptychus senarius,Actinoptychus senarius,Baars (1981),growth rate,6,1.62E-06,s^-1,51.395,3.557
Actinoptychus senarius,Actinoptychus senarius,Baars (1981),growth rate,12,4.05E-06,s^-1,51.395,3.557
Actinoptychus senarius,Actinoptychus senarius,Baars (1981),growth rate,16,4.40E-06,s^-1,51.395,3.557
Actinoptychus senarius,Actinoptychus senarius,Baars (1981),growth rate,20,6.60E-06,s^-1,51.395,3.557
Actinoptychus senarius,Actinoptychus senarius,Baars (1981),growth rate,30,8.45E-06,s^-1,51.395,3.557
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,10,0,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,15,1.62E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,15,1.85E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,20,2.89E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,20,3.01E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,24,2.78E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,24,2.89E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,24,3.01E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,27,2.43E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,27,3.01E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,27,3.47E-06,s^-1,32.87,-117.26
Akashiwo sanguinea,Gymnodinium sanguineum,Thomas et al. (1973),growth rate,30,0,s^-1,32.87,-117.26
Akashiwo sanguinea strain BWA,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,15,2.78E-06,s^-1,48.27,-124.68
Akashiwo sanguinea strain BWA,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,20,4.05E-06,s^-1,48.27,-124.68
Akashiwo sanguinea strain BWA,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,25,4.17E-06,s^-1,48.27,-124.68
Akashiwo sanguinea strain BWA,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,30,0.000002662,s^-1,48.27,-124.68
Akashiwo sanguinea strain BWA,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,33,2.31E-07,s^-1,48.27,-124.68
Akashiwo sanguinea strain BWA,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,35,0,s^-1,48.27,-124.68
Akashiwo sanguinea strain GBB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,15,3.24E-06,s^-1,47.9,-124.63
Akashiwo sanguinea strain GBB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,20,3.82E-06,s^-1,47.9,-124.63
Akashiwo sanguinea strain GBB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,25,4.86E-06,s^-1,47.9,-124.63
Akashiwo sanguinea strain GBB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,30,3.70E-06,s^-1,47.9,-124.63
Akashiwo sanguinea strain GBB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,33,2.20E-06,s^-1,47.9,-124.63
Akashiwo sanguinea strain GBB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,35,0,s^-1,47.9,-124.63
Akashiwo sanguinea strain RMB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,15,2.31E-06,s^-1,36.96,-122.01
Akashiwo sanguinea strain RMB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,20,3.82E-06,s^-1,36.96,-122.01
Akashiwo sanguinea strain RMB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,25,4.05E-06,s^-1,36.96,-122.01
Akashiwo sanguinea strain RMB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,30,2.78E-06,s^-1,36.96,-122.01
Akashiwo sanguinea strain RMB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,33,9.26E-07,s^-1,36.96,-122.01
Akashiwo sanguinea strain RMB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,35,0,s^-1,36.96,-122.01
Akashiwo sanguinea strain YRB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,15,3.24E-06,s^-1,33.84,-118.39
Akashiwo sanguinea strain YRB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,20,0.000003588,s^-1,33.84,-118.39
Akashiwo sanguinea strain YRB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,25,4.28E-06,s^-1,33.84,-118.39
Akashiwo sanguinea strain YRB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,30,4.05E-06,s^-1,33.84,-118.39
Akashiwo sanguinea strain YRB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,33,9.26E-07,s^-1,33.84,-118.39
Akashiwo sanguinea strain YRB,Gymnodinium sanguineum,Boyd et al. (2013),growth rate,35,0,s^-1,33.84,-118.39
Alexandrium catenella,Alexandrium catenella,Laabir et al. (2011),growth rate,15,5.56E-06,s^-1,NA,NA
Alexandrium catenella,Alexandrium catenella,Laabir et al. (2011),growth rate,18,5.44E-06,s^-1,NA,NA
Alexandrium catenella,Alexandrium catenella,Laabir et al. (2011),growth rate,21,5.21E-06,s^-1,NA,NA
Alexandrium catenella,Alexandrium catenella,Laabir et al. (2011),growth rate,24,7.18E-06,s^-1,NA,NA
Alexandrium catenella,Alexandrium catenella,Laabir et al. (2011),growth rate,27,0.000009838,s^-1,NA,NA
Alexandrium catenella,Alexandrium catenella,Laabir et al. (2011),growth rate,30,3.70E-06,s^-1,NA,NA
Alexandrium catenella ,Alexandrium catenella ,Navarro et al. (2006),growth rate,10,1.39E-06,s^-1,-46.66,-75.92
Alexandrium catenella ,Alexandrium catenella ,Navarro et al. (2006),growth rate,12,9.26E-07,s^-1,-46.66,-75.92
Alexandrium catenella ,Alexandrium catenella ,Navarro et al. (2006),growth rate,14,2.43E-06,s^-1,-46.66,-75.92
Alexandrium catenella ,Alexandrium catenella ,Navarro et al. (2006),growth rate,16,8.10E-07,s^-1,-46.66,-75.92
Alexandrium fundyense strain BoF,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,5,9.61E-07,s^-1,44.7,-66.51
Alexandrium fundyense strain BoF,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,10,1.44E-06,s^-1,44.7,-66.51
Alexandrium fundyense strain BoF,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,15,3.24E-06,s^-1,44.7,-66.51
Alexandrium fundyense strain BoF,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,20,1.74E-06,s^-1,44.7,-66.51
Alexandrium fundyense strain BoF,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,25,0,s^-1,44.7,-66.51
Alexandrium fundyense strain MI,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,5,1.16E-06,s^-1,43.56,-69.45
Alexandrium fundyense strain MI,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,10,1.74E-06,s^-1,43.56,-69.45
Alexandrium fundyense strain MI,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,15,5.32E-06,s^-1,43.56,-69.45
Alexandrium fundyense strain MI,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,20,3.24E-06,s^-1,43.56,-69.45
Alexandrium fundyense strain MI,Alexandrium fundyense,Etheridge and Roesler (2005),growth rate,25,0,s^-1,43.56,-69.45
Alexandrium minutum,Alexandrium minutum,Cannon (1993),growth rate,12,1.16E-06,s^-1,-34.8,138.51
Alexandrium minutum,Alexandrium minutum,Cannon (1993),growth rate,16,0.000003125,s^-1,-34.8,138.51
Alexandrium minutum,Alexandrium minutum,Cannon (1993),growth rate,20,3.47E-06,s^-1,-34.8,138.51
Alexandrium minutum,Alexandrium minutum,Cannon (1993),growth rate,25,3.36E-06,s^-1,-34.8,138.51
Alexandrium monilatum,Alexandrium monilatum,Juhl (2005),growth rate,15,-1.16E-07,s^-1,30.23,-88.8
Alexandrium monilatum,Alexandrium monilatum,Juhl (2005),growth rate,20,3.94E-06,s^-1,30.23,-88.8
Alexandrium monilatum,Alexandrium monilatum,Juhl (2005),growth rate,25,7.41E-06,s^-1,30.23,-88.8
Alexandrium monilatum,Alexandrium monilatum,Juhl (2005),growth rate,31,7.52E-06,s^-1,30.23,-88.8
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,9.4,0,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,11.3,6.94E-07,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,11.4,6.94E-07,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,16.3,1.74E-06,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,16.4,1.85E-06,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,20.3,2.55E-06,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,20.6,2.43E-06,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,23.5,1.85E-06,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,23.7,1.74E-06,s^-1,56.57,9.07
Alexandrium ostenfeldii clone LF-37,Alexandrium ostenfeldii,Jensen and Moestrup (1997),growth rate,26.3,0,s^-1,56.57,9.07
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,16,0,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,19,6.94E-07,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,21,1.62E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,23,2.43E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,25,2.89E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,27,4.28E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,29,3.94E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,31,2.78E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,33,2.20E-06,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,35,8.10E-07,s^-1,24.708,-81.125
Amphidinium klebsii,Amphidinium klebsii,Morton et al. (1992),growth rate,37,0,s^-1,24.708,-81.125
Amphidinium sp.,Amphidinium,Kitaya et al. (2008),growth rate,21,3.24E-06,s^-1,NA,NA
Amphidinium sp.,Amphidinium,Kitaya et al. (2008),growth rate,24,5.09E-06,s^-1,NA,NA
Amphidinium sp.,Amphidinium,Kitaya et al. (2008),growth rate,26,6.02E-06,s^-1,NA,NA
Amphidinium sp.,Amphidinium,Kitaya et al. (2008),growth rate,29,0.000005787,s^-1,NA,NA
Amphidinium sp.,Amphidinium,Kitaya et al. (2008),growth rate,32,4.40E-06,s^-1,NA,NA
Amphidinium sp.,Amphidinium,Kitaya et al. (2008),growth rate,35,3.24E-06,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,4,3.24E-06,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,8,5.21E-06,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,12,7.06E-06,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,16,1.16E-05,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,20,1.40E-05,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,25,2.15E-05,s^-1,NA,NA
Amphiprora paludosa,Amphiprora paludosa,Admiraal (1977),growth rate,30,0.000018287,s^-1,NA,NA
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,11,0,s^-1,28.9,50.75
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,14,1.62E-06,s^-1,28.9,50.75
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,17,4.05E-06,s^-1,28.9,50.75
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,21,4.86E-06,s^-1,28.9,50.75
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,28,1.04E-05,s^-1,28.9,50.75
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,31,7.99E-06,s^-1,28.9,50.75
Amphiprora sp.,Amphiprora,Hulburt (1982),growth rate,34,0,s^-1,28.9,50.75
Anabaena flosaquae,Dolichospermum flosaquae,Foy et al. (1976),growth rate,5,0.000000463,s^-1,54.583,-6.417
Anabaena flosaquae,Dolichospermum flosaquae,Foy et al. (1976),growth rate,10,3.24E-06,s^-1,54.583,-6.417
