"","Sp.id","Sp.name","DIC","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","Actinocyclus octonarius_Baars (1981)","Actinocyclus octonarius",-118.669808826701,4.8,35.1,20.5,29.5,6.69568354476432e-06
"2","Actinoptychus senarius_Baars (1981)","Actinoptychus senarius",-162.889478935054,-0.899999999999999,35,19.8,29.9,8.59903682129178e-06
"3","Gymnodinium sanguineum_Thomas et al. (1973)","Gymnodinium sanguineum",-411.342801579988,10.7,30.7,13.6,22.9,3.16720677857623e-06
"4","Gymnodinium sanguineum_Boyd et al. (2013)","Gymnodinium sanguineum",-3166.74784670305,10,34.5,21.1,24.5,4.21102333286674e-06
"5","Alexandrium catenella_Laabir et al. (2011)","Alexandrium catenella",-126.652043985849,10,32.7,16.6,23.2,7.46071422264659e-06
"6","Alexandrium catenella _Navarro et al. (2006)","Alexandrium catenella ",15.7128289286172,8.9,15.1,4.4,12.2,0.000148317739158283
"7","Alexandrium fundyense_Etheridge and Roesler (2005)","Alexandrium fundyense",-237.466581375565,1.7,25,15.5,16.7,3.26929071506154e-06
"8","Alexandrium minutum_Cannon (1993)","Alexandrium minutum",-203.970075105443,7.7,28.2,12.8,22.1,3.9552897437515e-06
"9","Alexandrium monilatum_Juhl (2005)","Alexandrium monilatum",-223.893846893052,10,36,16.1,33.7,6.61416663604136e-06
"10","Alexandrium ostenfeldii_Jensen and Moestrup (1997)","Alexandrium ostenfeldii",-263.150042104461,8.8,26.3,12,20.9,2.25228995951471e-06
"11","Amphidinium klebsii_Morton et al. (1992)","Amphidinium klebsii",-274.079420388672,15.7,36.5,13.6,29.2,3.41672642579748e-06
"12","Amphidinium_Kitaya et al. (2008)","Amphidinium",-130.071260548907,16,36.8,18.8,28.5,5.29953509623901e-06
"13","Amphiprora paludosa_Admiraal (1977)","Amphiprora paludosa",-151.951855144655,0.9,30.8,17.1,28.4,1.97997763652061e-05
"14","Amphiprora_Hulburt (1982)","Amphiprora",-275.561446004351,9.4,34,16.5,27.4,8.06822348358479e-06
"15","Dolichospermum flosaquae_Foy et al. (1976)","Dolichospermum flosaquae",-243.721704318201,2.5,28.9,17.6,19.6,6.29329244467532e-06
"16","Aphanizomenon flosaquae_Foy et al. (1976)","Aphanizomenon flosaquae",-306.416202872555,2.5,34.6,19.7,25.3,1.16622428511346e-05
"17","Asterionella formosa_Butterwick et al. (2005)","Asterionella formosa",-492.382464974174,-3,30,21.5,21.7,1.29118663442325e-05
"18","Asterionella formosa_Suzuki and Takahashi (1995)","Asterionella formosa",-144.726000555189,0.2,30.1,19.1,21.2,1.35574822652353e-05
"19","Asterionellopsis glacialis_Hulburt (1982)","Asterionellopsis glacialis",-915.496241098774,-4,34.5,24.7,32.4,1.51553155256012e-05
"20","Aulacoseira granulata_Coles and Jones (2000)","Aulacoseira granulata",-91.7922153357344,10,34.9,16.1,27.2,9.80512628167113e-06
"21","Odontella aurita_Baars (1981)","Odontella aurita",-153.979479609742,-5.1,20.2,16.8,11.7,9.97971522471745e-06
"22","Odontella regia_Baars (1981)","Odontella regia",-39.9659556601307,6.9,25.5,12.8,18,9.58873886854755e-06
"23","Odontella sinensis_Baars (1981)","Odontella sinensis",-88.191569633929,9.2,35.1,18.1,27.1,8.45213471014224e-06
"24","Cyclococcolithus leptoporus_Buitenhuis et al. (2008)","Cyclococcolithus leptoporus",-279.28408384135,6,24.9,12.7,18.2,4.86879608956407e-06
"25","Ceratium furca_Baek et al. (2008)","Ceratium furca",-603.342123121889,10,32,15.4,25,6.04896378359143e-06
"26","Ceratium furca_Meeson and Sweeney (1982)","Ceratium furca",-49.0971683785263,NA,NA,NA,19.8,-1.52374407246097e-06
"27","Ceratium furcoides_Butterwick et al. (2005)","Ceratium furcoides",-397.10714632717,8.7,30,14.3,22.4,2.37050575257962e-06
"28","Ceratium fusus_Baek et al. (2008)","Ceratium fusus",-591.359721811729,8.6,31.9,14.9,27.4,4.96403343253385e-06
"29","Chaetoceros calcitrans_Thompson et al. (1992)","Chaetoceros calcitrans",-391.804797383676,5.4,30,13.2,26.2,3.44833520067402e-05
"30","Chaetoceros curvisetum_Reay et al. (1999)","Chaetoceros curvisetum",-41.5634205323813,12,23.1,7.8,18.3,5.71313269691005e-06
"31","Chaetoceros debilis_Baars (1981)","Chaetoceros debilis",219.153933553072,NA,NA,NA,15.1,-0.011759948316432
"32","Chaetoceros diadema_Baars (1981)","Chaetoceros diadema",-30.6100614701824,-1.2,11.1,8.6,6.1,1.24446381790178e-05
"33","Chaetoceros gracilis_Thompson et al. (1992)","Chaetoceros gracilis",-424.802724683028,6.7,30,15.9,21,1.87105623688979e-05
"34","Chaetoceros pseudocurvisetus_Suzuki and Takahashi (1995)","Chaetoceros pseudocurvisetus",-86.6001547836254,14.2,34.7,13.5,27.6,1.59260258025524e-05
"35","Chaetoceros simplex_Montagnes and Franklin (2001)","Chaetoceros simplex",-181.994979109755,9.5,30,12.2,25.4,1.47368769428711e-05
"36","Chaetoceros simplex_Thompson et al. (1992)","Chaetoceros simplex",-375.468800299765,6.9,30,13.7,24.8,2.60066706320727e-05
"37","Chaetoceros_Lomas and Glibert (1999)","Chaetoceros",-81.1956314529462,1.3,25.2,14.3,20.6,1.20580487978818e-05
"38","Chaetoceros_Renaud et al. (2002)","Chaetoceros",-91.0092782432066,20,37.4,15.8,30.7,1.00382016063037e-05
"39","Chaetoceros_Suzuki and Takahashi (1995)","Chaetoceros",-97.7122037022944,-5,14.7,17.1,5.8,5.86946718351142e-06
"40","Chaetoceros_Thomas (1966)","Chaetoceros",-697.442615229052,9.5,40,20.3,32.9,4.53918848389285e-05
"41","Chaetoceros teres_Baars (1981)","Chaetoceros teres",-27.4103902227106,2.8,17.7,10.7,11.9,7.87883747740122e-05
"42","Chattonella marina_Kahn (1998)","Chattonella marina",-256.031491552359,8.7,34.7,17.4,25.1,4.79062927729031e-06
"43","Chattonella marina_Wang et al. (2011)","Chattonella marina",-98.2191573529996,12.6,30.7,13,26.7,2.4263130848805e-06
"44","Chattonella marina_Nakamura (1983)","Chattonella marina",-353.175157540642,11,31,12.7,26.1,5.04989932184617e-06
"45","Chlamydomonas alpina_Seaburg et al. (1981)","Chlamydomonas alpina",-388.026212451352,0.300000000000001,20.3,13.8,12,7.61078061089739e-06
"46","Chlamydomonas globosa_Seaburg et al. (1981)","Chlamydomonas globosa",-362.317375358533,-2.3,21,12.2,19.7,1.46134087385817e-05
"47","Chlamydomonas intermedia_Seaburg et al. (1981)","Chlamydomonas intermedia",-197.590307062514,-6,20.2,13.4,14.5,1.29842874464893e-05
"48","Chlamydomonas subcaudata_Seaburg et al. (1981)","Chlamydomonas subcaudata",-398.88128174005,-6,19.4,16.5,12.9,9.14032107032358e-06
"49","Chlamydomonas_Teoh et al. (2004)","Chlamydomonas",-291.693713850874,-1,30.4,27,11.9,3.62344264306723e-06
"50","Chlorella ellipsoidea_Cho et al. (2007)","Chlorella ellipsoidea",-39.1918345050027,19.9,32,8.3,27.4,5.57191745620759e-06
"51","Chlorella_James et al. (1989)","Chlorella",-962.906179444278,10,37.6,25,26.5,1.80174911524185e-06
"52","Chlorella sorokiniana_Vona et al. (2004)","Chlorella sorokiniana",-73.8805931197754,15,38.7,19.4,28.8,2.66720656269184e-05
"53","Chlorella_Teoh et al. (2004)","Chlorella",-143.152265779866,-1,30.6,27.7,23.1,3.32866088057935e-06
"54","Chlorella vulgaris_Dauta et al. (1990)","Chlorella vulgaris",-264.6078174666,5,35.5,20.9,33.2,1.57618884927533e-05
"55","Chlorella vulgaris_Mayo (1997)","Chlorella vulgaris",-297.202228469643,5,40.4,35.2,29.9,3.89688935899923e-06
"56","Chroomonas salina_Hobson (1974)","Chroomonas salina",-75.9339713693345,5,30,19,22.2,2.10713150036736e-05
"57","Prymnesium polylepis_Edvardsen (1992)","Prymnesium polylepis",-1205.31501928073,4,26.5,15.2,18.6,7.77046638853497e-06
"58","Closterium acerosum_Moss (1973)","Closterium acerosum",-300.033855027003,0,30,21.1,19.3,2.34033848620574e-06
"59","Closterium acutum_Coesel et al. (1990)","Closterium acutum",-143.573127173796,5.2,35,19.9,24,1.03014037061861e-05
"60","Closterium limneticum_Coesel et al. (1990)","Closterium limneticum",-160.941550567986,7.5,35,17.9,30.6,8.29164776229839e-06
