"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"25","25.B02",22.2751017981783,20.8644354509528,10.1068862016428,36.5629282729036,0,1.78512426968111,1.76977413957213,1.52363961729494,2.08171493401503,0,9.65118466218614,5.52259882429492,14.6718922099307,0
"6","6.C02",20.0047757769723,16.741859228635,2.95193468643542,45.110424088408,0,1.61371925152397,1.58254300251547,1.23810524269304,2.05471464287403,0,9.18469843403951,3.55463708344954,19.3081918866348,0
"24","24.D02",49.1225409315777,46.547612926503,20.266334915661,83.4880892964885,0,1.94069493007126,1.92066555040731,1.55216487563624,2.42498445144828,0,19.1905013377842,11.4974661250059,28.070820104761,0
"1","1.E02",26.9542449993624,24.1143446357035,8.76627501062813,51.3000389803497,0,1.64190105157791,1.61919894222376,1.2859417248903,2.02006703762365,0,12.7565754050753,6.69561336244862,22.1514263835096,0
"25","25.F02",9.98123624104483,8.64696839633636,2.53952244333583,19.400622633756,0,1.50650306096087,1.49216002257903,1.27064135705176,1.78584849998886,0,5.22812077011254,2.146884462673,10.1919112325358,0
"11","11.G02",13.1714572094196,9.84239193179252,1.07261805477894,34.4419887371682,0,1.4474355185802,1.41810769413888,1.10207112748835,1.87270706221677,0,6.47920391313478,1.73515974008353,17.3335072930762,0
"28","28.B02",18.3207485374154,14.3941097446276,2.64721206781447,46.271947969238,0,1.73930804434654,1.69776860318353,1.33566393021292,2.29311928962438,0,7.16331623976213,2.20904102500728,17.3753696428614,0
"21","21.C02",18.5814372363547,13.7012432559365,0.503879422431762,52.9024070915701,0,1.8128550876541,1.76182657212218,1.27624255350611,2.51823026857301,0,6.34556931012275,1.09967770816639,17.8136563918325,0
"18","18.D02",43.2253219929612,38.6425852357389,10.9972928336711,89.7325233039147,0,1.87581346345266,1.8377311793654,1.28300619448167,2.54681328983064,0,17.0357928835164,6.70437390754737,30.3648791861964,0
"26","26.E02",43.2563170015203,39.4833171644592,12.6282628568862,82.79254408363,0,1.79898783582814,1.76334389655326,1.36072463343887,2.32657833566875,0,18.4155994209387,9.48400715565398,29.8610446067789,0
"28","28.F02",33.8397264297381,30.0786358817432,9.39638512988853,69.3695379158808,0,1.77204648985057,1.74202546414851,1.35453491558543,2.26688654292242,0,14.3496615346171,6.616612896602,24.9826853523745,0
"27","27.G02",48.8044938736991,45.3926814031139,16.881027979101,92.1399869162684,0,1.969482804883,1.93783409943243,1.42902823262165,2.62865135003365,0,18.4860720944891,8.77200296152826,29.8559756988982,0
"15","15.B02",16.14419356312,15.6811480500609,10.3557603626057,23.1543351058373,0,1.59174621443714,1.58730768527133,1.44670149306851,1.73763783528986,0,8.56934827202461,6.25322851574463,11.6466019583356,0
"10","10.C02",54.8408439790183,52.4235880499751,27.4209385150976,89.7054218533726,0,2.27936548271636,2.25328897184688,1.85205642982603,2.80587977362082,0,17.3362984206008,11.6431496707012,24.5574405087522,0
"29","29.D02",48.553565259791,45.2516142816984,17.4821566360079,91.7042670549204,0,2.17145177075716,2.13938227999793,1.5884528242853,2.81500039060696,0,16.0352271064422,8.04833577970156,25.6226686890557,0
"anc4","anc4.E02",33.3595586552806,29.6412856954131,8.7673148828278,70.682357439959,0,1.88876806349922,1.85505735127868,1.39250922381184,2.44276487827174,0,12.8394613044542,5.75531222428745,23.2155644755012,0
"15","15.F02",17.8057326787179,16.4489175079511,7.30918095521351,30.9220659942129,0,1.76188390005354,1.74571907446157,1.49654000121353,2.07386623028687,0,7.75313905717322,4.50346047042005,13.0095262443953,0
