"","model","Mean_AICc","AICc_pop25","AICc_pop6","AICc_pop24","AICc_pop1","AICc_pop11","AICc_pop28","AICc_pop21","AICc_pop18","AICc_pop26","AICc_pop27","AICc_pop15","AICc_pop10","AICc_pop29","AICc_popanc4","AICc_pop19","AICc_pop33","AICc_pop8","AICc_pop4","AICc_pop9","AICc_pop22","AICc_pop3","AICc_pop30","AICc_pop20","AICc_pop7","AICc_pop14","AICc_pop32","AICc_pop31","AICc_pop35","AICc_pop2","AICc_popcc1690","AICc_pop5","AICc_pop16","AICc_pop23","AICc_popanc5","AICc_popanc2","AICc_pop17","AICc_popanc3"
"1","Deutsch",-3.17948983386729,3.34407426039497,-18.1960802928799,-4.52288305703834,-19.0515797348535,16.675394174505,12.8386720022925,-7.84519071917882,-23.2016985822175,-20.3546162289745,20.6857826294917,5.15259034744245,-3.20066511044507,-13.4140897978445,-2.87927594985615,0.63911680056278,-4.6055434004828,-13.5181286644605,-20.9643494725532,1.04265165226974,9.63199063879685,-7.44739152406383,3.55754774233934,-5.40029025382317,-4.25819889231479,-1.6800520581384,-4.80210503444791,13.0185402782175,-7.9498538878199,-2.10517735038772,-4.7072198850105,1.45880092803212,-7.12080589454574,19.3442571914706,2.78234632349455,2.27488229009926,-23.8078412425928,-9.05473407856945
"2","Lactin2",-1.97065810794285,0.684463114304847,-18.3737188282806,-5.23747034107332,-13.2318796108488,14.8493187687122,14.3053157444334,-3.71021376515428,-14.3955151120774,-15.7678346483549,21.896852057185,7.42832380584781,-1.76266243915581,-15.9531735095029,-1.57477747257016,2.97926871401881,-4.852211294977,-3.82957037828629,-21.3158928514849,6.10252913474768,10.3467878475505,-4.9939552660133,3.51622980250225,-3.98123732868862,-2.23987553150401,-2.09213073305962,-5.68681689650933,13.8625336589444,-6.26395735703471,-8.28408677998376,-1.61112740561994,3.11822642069659,-7.45253527609826,17.6158044699949,2.36857932594349,2.94599000421641,-20.4979250007887,-11.8260050359172
"3","Ratkowsky bounded",-2.9576011917329,3.22272195750607,-19.0006538818932,-3.98092618033312,-16.1419865053679,15.3370833150477,12.0897768519547,-4.51089741543445,-21.6603625847576,-20.4798494531647,21.2505307874456,5.27535721292323,-2.50983210485774,-15.2536114682251,-3.99478683265764,0.86425199108632,-4.33712656162782,-9.39126445134347,-21.5753911902668,1.52512024759313,9.97393611132563,-4.55155926105934,2.55852844893292,-5.80140726407591,-3.63888063835774,-3.55519374173771,-4.68101630658637,13.6415182483176,-7.06846125088886,-2.19226597841494,-2.43550542949023,2.23564670457024,-10.4748995931164,17.9114887272574,2.41033310632211,3.87798841773028,-22.4672443444036,-11.9024037840693
"4","Rezende",-1.12570182235319,12.9650846482178,-14.9541111117107,1.69257977288456,-25.1692650027751,18.0049213689195,13.0506052837893,0.884411762915745,-10.5644391700942,-16.6690716912707,25.226076781222,3.80083206878805,-5.30373654726344,-13.2320441523913,1.95238414485027,-3.54872718274427,0.637992603960363,-17.5286933610627,-18.0740304446389,5.51608024616592,9.61468075695807,1.26244502947483,5.96702630394322,-14.3291077123747,-7.87877974691879,5.21329422092403,0.0854436965001391,14.994301899338,-6.56970716300106,10.0915470676359,1.48248276329235,-3.38103922956321,-12.0880891651436,19.8981562469078,4.96108812223135,7.88969794377526,-22.8317193390951,-14.7195391397146
"5","Ashrafi II",66.5834349894634,63.4914434837454,68.7689262284912,66.6774827258238,73.2575282134756,73.8687512356712,72.4784325384075,74.0291980228309,47.2598124513471,68.326343886643,47.6286414682058,66.7942773138766,62.5131747635262,64.049683928499,58.8612556962918,71.9696777807032,68.4551089468522,72.3670797450627,66.200605160513,62.6622205287263,73.9011880017013,62.566674747315,60.3964053175781,69.2160951897266,70.9369576493153,64.8276824295231,70.1000943206388,73.5293884977282,59.9135550056809,62.428636727617,56.3300746390979,73.3393330024216,64.6905591160319,71.5966716962729,69.8608571800043,66.594312328033,75.0223151121175,68.6766495306501
"6","Atkin",32.1791002859314,33.7153336847996,33.1361970700463,40.6901699509949,30.2492853072645,45.7930105271612,31.1594925948399,38.4418023209966,-10.2066868892994,30.2043790323338,31.3252711245686,27.3008721464267,30.1915543618841,31.2380346546804,21.9262589432766,34.0886505788404,42.3853654513012,23.8334903695424,32.1283889906785,25.7518829511591,44.0922318487954,32.2958144883653,30.2552442061342,31.5466771754497,31.8637836336508,20.7192680628265,41.9828592611912,44.2275561499174,23.5365133398393,32.6653718645285,24.6451948965316,35.878049299387,29.4939203183968,45.9820959696114,35.7738565366431,41.5870441756351,35.2628567683819,35.4656194126814
"7","Mitchell-Angilletta",53.2020003434743,53.4066609558071,54.9671145980392,58.0036345086119,56.8580826151125,65.140740533054,55.2550557569662,58.5725197406676,25.5250055214776,53.4096039812825,42.5418016874808,48.4740135540838,47.5716568891512,52.9438995110565,44.5093514791539,56.3136948756279,59.3759118548461,52.6967937922686,53.4579414525802,44.6511770668461,61.4265232171898,50.5322801805889,49.9507133758893,53.6344338009734,55.3411234497673,47.995779844735,59.9836545683173,61.4920702507956,44.702735247911,52.4008383636672,42.1628336882374,58.9094938009125,50.8100738324679,64.212976604138,56.2743410071323,57.7113673543871,59.1879842013344,58.0701295459919
"8","Analytis-Kontodimas",32.1804389722519,28.0838719510148,35.2673057404671,39.968398880645,34.6134501425058,47.8848114410254,33.5876228635957,33.2729674795059,9.91397100727088,24.0937935255394,24.5167169884007,28.2714433564942,29.0155398351842,35.2079187474079,23.6181108804561,31.8370453517524,38.6950155736609,28.2662899894283,33.488667589091,23.5092194642283,40.4622657131693,26.8392131962187,29.6451989468652,31.2756115028534,34.060104461884,27.8202097098263,41.7398579468903,38.9781520905219,29.0815815873485,25.2461599307045,20.6610400031197,37.8930485778288,30.0085084222187,43.8369988852869,40.0531544157863,36.7764050050036,36.3410488020803,36.8455219680409
"9","Eubank",49.676740266079,56.9147835673897,45.2311479087895,54.6049753353324,43.4555401035365,56.1396617207406,50.4172094236462,60.9769072224562,10.0728071649099,53.5417980440817,50.0554782509265,45.4014018492797,45.9641012800911,43.8424731976824,45.0679631649735,51.7621117058942,57.7564322180426,39.1182719246532,45.5739538041162,51.692829006853,59.6148131185775,55.446534027832,51.4356789229197,47.7791671639849,45.7837747685213,40.6607634569355,54.9358208543511,61.7131623963467,38.4020779774188,55.711155723808,47.4107146600397,48.5691459627433,50.8955202767554,63.4771510494747,46.3226733762064,59.8352259978064,51.5766659714285,50.8794972463781
"10","Taylor-Sexton",25.6275186813516,18.7217631503772,29.7178858519061,33.6943562816431,27.0485360201653,42.2354110166178,28.651737892868,26.5179666079505,-2.01102574251629,17.3838323898423,20.2602673909789,24.778605681389,25.9403710277553,28.7822068743293,14.3624563300042,27.6819830837282,33.0785237602796,18.6439320500889,27.9852903386197,16.0949808698365,37.0007031564414,17.7278924408814,20.4533090821667,27.8963214685014,29.039691992364,18.7398857104479,36.4995357967499,34.292116546089,21.6745488956917,15.5812422481394,12.8971650080871,32.4398392916878,22.2097368670465,36.7705200492765,34.6023831898637,29.7357896360554,30.4338107359647,30.6546182186923
