"population","rep.ID","Parameter","mean","Rhat","n.eff"
"25","25.B02","K_s",22.2751017981783,1.00145745953941,3700
"25","25.B02","deviance",-9.68632984907713,1.00103561090922,6000
"25","25.B02","r_max",1.78512426968111,1.00128429311011,4500
"25","25.B02","r_pred_new[508]",1.51721234722692,1.00083733974934,6000
"6","6.C02","K_s",20.0047757769723,1.0016177121444,3100
"6","6.C02","deviance",-3.80158338175876,1.0006848562652,6000
"6","6.C02","r_max",1.61371925152397,1.00093952738029,6000
"6","6.C02","r_pred_new[508]",1.39148269767784,1.00058316830384,6000
"24","24.D02","K_s",49.1225409315777,1.00078860711553,6000
"24","24.D02","deviance",-7.4381093763873,1.00090906151494,6000
"24","24.D02","r_max",1.94069493007126,1.00061430585453,6000
"24","24.D02","r_pred_new[508]",1.39824308868878,1.00120824531173,4900
"1","1.E02","K_s",26.9542449993624,1.00105184667794,6000
"1","1.E02","deviance",-6.41931128799595,1.00069855641638,6000
"1","1.E02","r_max",1.64190105157791,1.0014110401469,3800
"1","1.E02","r_pred_new[508]",1.35267702010418,1.00144437229907,3700
"25","25.F02","K_s",9.98123624104483,1.00129505777931,4400
"25","25.F02","deviance",-5.09932548368477,1.00095534440954,6000
"25","25.F02","r_max",1.50650306096087,1.0012944271866,4400
"25","25.F02","r_pred_new[508]",1.39544683073293,1.00106811642055,6000
"11","11.G02","K_s",13.1714572094196,1.00118344496345,5100
"11","11.G02","deviance",0.626965726376092,1.00114073490072,5500
"11","11.G02","r_max",1.4474355185802,1.00138389235413,4000
"11","11.G02","r_pred_new[508]",1.30952031297317,1.00154690038492,3300
"28","28.B02","K_s",18.3207485374154,1.00094288016123,6000
"28","28.B02","deviance",1.22916505936652,1.00093895328456,6000
"28","28.B02","r_max",1.73930804434654,1.0006189472135,6000
"28","28.B02","r_pred_new[508]",1.5169369904334,1.00064026075681,6000
"21","21.C02","K_s",18.5814372363547,1.00096466096044,6000
"21","21.C02","deviance",7.0205762999117,1.00100061715978,6000
"21","21.C02","r_max",1.8128550876541,1.00129626000107,4400
"21","21.C02","r_pred_new[508]",1.57697567481309,1.00123365966445,4800
"18","18.D02","K_s",43.2253219929612,1.00063357234509,6000
"18","18.D02","deviance",4.31821573935974,1.00163831763411,3100
"18","18.D02","r_max",1.87581346345266,1.00093899829997,6000
"18","18.D02","r_pred_new[508]",1.39716423856773,1.00157984465141,3200
"26","26.E02","K_s",43.2563170015203,1.00056491198227,6000
"26","26.E02","deviance",-3.64765736404855,1.00080508546668,6000
"26","26.E02","r_max",1.79898783582814,1.00074669388818,6000
"26","26.E02","r_pred_new[508]",1.34010403485185,1.00083463920719,6000
"28","28.F02","K_s",33.8397264297381,1.00094999421568,6000
"28","28.F02","deviance",-2.72233882447493,1.00122032068088,4900
"28","28.F02","r_max",1.77204648985057,1.00091189547387,6000
"28","28.F02","r_pred_new[508]",1.39764285380174,1.00085796097557,6000
"27","27.G02","K_s",48.8044938736991,1.00106312396488,6000
"27","27.G02","deviance",2.24035304054381,1.00137149508389,4000
"27","27.G02","r_max",1.969482804883,1.00116499275839,5300
"27","27.G02","r_pred_new[508]",1.42086425613579,1.00124734398615,4700
"15","15.B02","K_s",16.14419356312,1.00081441159297,6000
"15","15.B02","deviance",-20.7099920441042,1.00080734446289,6000
"15","15.B02","r_max",1.59174621443714,1.00154018257013,3400
"15","15.B02","r_pred_new[508]",1.41154077608062,1.00183409833766,2600
"10","10.C02","K_s",54.8408439790183,1.00099053353911,6000
"10","10.C02","deviance",-7.15856818259509,1.0017533411361,2800
"10","10.C02","r_max",2.27936548271636,1.00111389181001,5700
"10","10.C02","r_pred_new[508]",1.59055465743105,1.00136094845449,4100
"29","29.D02","K_s",48.553565259791,1.00064691044902,6000
"29","29.D02","deviance",1.34729291868876,1.00157523792125,3300
"29","29.D02","r_max",2.17145177075716,1.00127455766452,4500
"29","29.D02","r_pred_new[508]",1.56876310953942,1.00161024676624,3200
"anc4","anc4.E02","K_s",33.3595586552806,1.00141773554597,3800
"anc4","anc4.E02","deviance",-0.800131710910872,1.00071385359378,6000
"anc4","anc4.E02","r_max",1.88876806349922,1.00215900343817,2100
"anc4","anc4.E02","r_pred_new[508]",1.49354509887968,1.00189793066293,2500
"15","15.F02","K_s",17.8057326787179,1.00090010101936,6000
"15","15.F02","deviance",-7.65741516475199,1.00092089200856,6000
"15","15.F02","r_max",1.76188390005354,1.00088897804574,6000
"15","15.F02","r_pred_new[508]",1.54386142335801,1.00118807298086,5100
"19","19.B03","K_s",37.1154800796612,1.00097133690478,6000
"19","19.B03","deviance",1.48864027605823,1.00139766130055,3900
"19","19.B03","r_max",1.87662696566999,1.00067819015521,6000
"19","19.B03","r_pred_new[508]",1.44964429494313,1.00096606266158,6000
"33","33.C03","K_s",45.5699914292322,1.00131049888731,4300
