"Gradient","Threshold","L","N","P","S","T"
"L","100%","<0.001","0.833","0.473","0.826","0.011"
"L","66.67%","<0.001","0.730","0.255","0.735","<0.001"
"L","50%","<0.001","0.670","0.137","0.648","<0.001"
"L","33.33%","<0.001","0.515","0.012","0.451","<0.001"
"L","25%","<0.001","0.359","0.001","0.332","<0.001"
"L","10%","<0.001","0.020","0.006","0.220","<0.001"
"N","100%","","0.028","0.538","0.019","0.854"
"N","66.67%","","0.001","0.342","0.003","0.786"
"N","50%","","<0.001","0.192","0.001","0.711"
"N","33.33%","","<0.001","0.047","<0.001","0.594"
"N","25%","","<0.001","0.010","<0.001","0.459"
"N","10%","","<0.001","<0.001","0.065","0.231"
"P","100%","","","<0.001","0.382","0.529"
"P","66.67%","","","<0.001","0.178","0.294"
"P","50%","","","<0.001","0.112","0.183"
"P","33.33%","","","<0.001","0.043","0.072"
"P","25%","","","<0.001","0.036","0.061"
"P","10%","","","<0.001","0.092","0.021"
"S","100%","","","","0.042","0.028"
"S","66.67%","","","","0.016","0.005"
"S","50%","","","","0.006","0.001"
"S","33.33%","","","","0.008","<0.001"
"S","25%","","","","0.004","<0.001"
"S","10%","","","","0.063","0.001"
"T","100%","","","","","<0.001"
"T","66.67%","","","","","<0.001"
"T","50%","","","","","<0.001"
"T","33.33%","","","","","<0.001"
"T","25%","","","","","<0.001"
"T","10%","","","","","<0.001"
