"panel_id","label","row_grad","col_grad","threshold","pct_kept","n_obs","p_value"
"L","A — Light (L)","L","L","100%",100,148,0
"L","A — Light (L)","L","L","66.67%",66.67,99,0
"L","A — Light (L)","L","L","50%",50,74,0
"L","A — Light (L)","L","L","33.33%",33.33,50,0
"L","A — Light (L)","L","L","25%",25,37,0
"L","A — Light (L)","L","L","10%",10,15,0
"LN","B — L & N","L","N","100%",100,148,0.833
"LN","B — L & N","L","N","66.67%",66.67,99,0.73
"LN","B — L & N","L","N","50%",50,74,0.67
"LN","B — L & N","L","N","33.33%",33.33,50,0.515
"LN","B — L & N","L","N","25%",25,37,0.359
"LN","B — L & N","L","N","10%",10,15,0.02
"LP","C — L & P","L","P","100%",100,148,0.473
"LP","C — L & P","L","P","66.67%",66.67,99,0.255
"LP","C — L & P","L","P","50%",50,74,0.137
"LP","C — L & P","L","P","33.33%",33.33,50,0.012
"LP","C — L & P","L","P","25%",25,37,0.001
"LP","C — L & P","L","P","10%",10,15,0.006
"LS","D — L & S","L","S","100%",100,148,0.826
"LS","D — L & S","L","S","66.67%",66.67,99,0.735
"LS","D — L & S","L","S","50%",50,74,0.648
"LS","D — L & S","L","S","33.33%",33.33,50,0.451
"LS","D — L & S","L","S","25%",25,37,0.332
"LS","D — L & S","L","S","10%",10,15,0.22
"LT","E — L & T","L","T","100%",100,148,0.011
"LT","E — L & T","L","T","66.67%",66.67,99,0
"LT","E — L & T","L","T","50%",50,74,0
"LT","E — L & T","L","T","33.33%",33.33,50,0
"LT","E — L & T","L","T","25%",25,37,0
"LT","E — L & T","L","T","10%",10,15,0
"N","F — Nitrogen (N)","N","N","100%",100,148,0.028
"N","F — Nitrogen (N)","N","N","66.67%",66.67,99,0.001
"N","F — Nitrogen (N)","N","N","50%",50,74,0
"N","F — Nitrogen (N)","N","N","33.33%",33.33,50,0
"N","F — Nitrogen (N)","N","N","25%",25,37,0
"N","F — Nitrogen (N)","N","N","10%",10,15,0
"NP","G — N & P","N","P","100%",100,148,0.538
"NP","G — N & P","N","P","66.67%",66.67,99,0.342
"NP","G — N & P","N","P","50%",50,74,0.192
"NP","G — N & P","N","P","33.33%",33.33,50,0.047
"NP","G — N & P","N","P","25%",25,37,0.01
"NP","G — N & P","N","P","10%",10,15,0
"NS","H — N & S","N","S","100%",100,148,0.019
"NS","H — N & S","N","S","66.67%",66.67,99,0.003
"NS","H — N & S","N","S","50%",50,74,0.001
"NS","H — N & S","N","S","33.33%",33.33,50,0
"NS","H — N & S","N","S","25%",25,37,0
"NS","H — N & S","N","S","10%",10,15,0.065
"NT","I — N & T","N","T","100%",100,148,0.854
"NT","I — N & T","N","T","66.67%",66.67,99,0.786
"NT","I — N & T","N","T","50%",50,74,0.711
"NT","I — N & T","N","T","33.33%",33.33,50,0.594
"NT","I — N & T","N","T","25%",25,37,0.459
"NT","I — N & T","N","T","10%",10,15,0.231
"P","J — Phosphorus (P)","P","P","100%",100,148,0
"P","J — Phosphorus (P)","P","P","66.67%",66.67,99,0
"P","J — Phosphorus (P)","P","P","50%",50,74,0
"P","J — Phosphorus (P)","P","P","33.33%",33.33,50,0
"P","J — Phosphorus (P)","P","P","25%",25,37,0
"P","J — Phosphorus (P)","P","P","10%",10,15,0
"PS","K — P & S","P","S","100%",100,148,0.382
"PS","K — P & S","P","S","66.67%",66.67,99,0.178
"PS","K — P & S","P","S","50%",50,74,0.112
"PS","K — P & S","P","S","33.33%",33.33,50,0.043
"PS","K — P & S","P","S","25%",25,37,0.036
"PS","K — P & S","P","S","10%",10,15,0.092
"PT","L — P & T","P","T","100%",100,148,0.529
"PT","L — P & T","P","T","66.67%",66.67,99,0.294
"PT","L — P & T","P","T","50%",50,74,0.183
"PT","L — P & T","P","T","33.33%",33.33,50,0.072
"PT","L — P & T","P","T","25%",25,37,0.061
"PT","L — P & T","P","T","10%",10,15,0.021
"S","M — Salt (S)","S","S","100%",100,148,0.042
"S","M — Salt (S)","S","S","66.67%",66.67,99,0.016
"S","M — Salt (S)","S","S","50%",50,74,0.006
"S","M — Salt (S)","S","S","33.33%",33.33,50,0.008
"S","M — Salt (S)","S","S","25%",25,37,0.004
"S","M — Salt (S)","S","S","10%",10,15,0.063
"ST","N — S & T","S","T","100%",100,148,0.028
"ST","N — S & T","S","T","66.67%",66.67,99,0.005
"ST","N — S & T","S","T","50%",50,74,0.001
"ST","N — S & T","S","T","33.33%",33.33,50,0
"ST","N — S & T","S","T","25%",25,37,0
"ST","N — S & T","S","T","10%",10,15,0.001
"T","O — Temperature (T)","T","T","100%",100,148,0
"T","O — Temperature (T)","T","T","66.67%",66.67,99,0
"T","O — Temperature (T)","T","T","50%",50,74,0
"T","O — Temperature (T)","T","T","33.33%",33.33,50,0
"T","O — Temperature (T)","T","T","25%",25,37,0
"T","O — Temperature (T)","T","T","10%",10,15,0
