"population","light","well.ID","µ"
"25",0.25,"B02_1",0
"6",0.25,"C02_1",0
"24",0.25,"D02_1",0
"1",0.25,"E02_1",0
"25",0.25,"F02_1",0
"11",0.25,"G02_1",0
"25",12.5,"B02_10",0
"6",12.5,"C02_10",0
"24",12.5,"D02_10",0
"1",12.5,"E02_10",0
"25",12.5,"F02_10",0
"11",12.5,"G02_10",0
"28",12.5,"B02_11",0
"21",12.5,"C02_11",0
"18",12.5,"D02_11",0
"26",12.5,"E02_11",0
"28",12.5,"F02_11",0
"27",12.5,"G02_11",0
"15",12.5,"B02_12",0
"10",12.5,"C02_12",0
"29",12.5,"D02_12",0
"anc4",12.5,"E02_12",0
"15",12.5,"F02_12",0
"25",27.5,"B02_13",0
"6",27.5,"C02_13",0
"24",27.5,"D02_13",0
"1",27.5,"E02_13",0
"25",27.5,"F02_13",0
"11",27.5,"G02_13",0
"28",27.5,"B02_14",0
"21",27.5,"C02_14",0
"18",27.5,"D02_14",0
"26",27.5,"E02_14",0
"28",27.5,"F02_14",0
"27",27.5,"G02_14",0
"15",27.5,"B02_15",0
"10",27.5,"C02_15",0
"29",27.5,"D02_15",0
"anc4",27.5,"E02_15",0
"15",27.5,"F02_15",0
"25",50,"B02_16",0
"6",50,"C02_16",0
"24",50,"D02_16",0
"1",50,"E02_16",0
"25",50,"F02_16",0
"11",50,"G02_16",0
"25",82.5,"B02_19",0
"6",82.5,"C02_19",0
"24",82.5,"D02_19",0
"1",82.5,"E02_19",0
"25",82.5,"F02_19",0
"11",82.5,"G02_19",0
"28",0.25,"B02_2",0
"21",0.25,"C02_2",0
"18",0.25,"D02_2",0
"26",0.25,"E02_2",0
"28",0.25,"F02_2",0
"27",0.25,"G02_2",0
"25",125,"B02_22",0
"6",125,"C02_22",0
"24",125,"D02_22",0
"1",125,"E02_22",0
"25",125,"F02_22",0
"11",125,"G02_22",0
"25",175,"B02_25",0
"6",175,"C02_25",0
"24",175,"D02_25",0
"1",175,"E02_25",0
"25",175,"F02_25",0
"11",175,"G02_25",0
"25",250,"B02_28",0
"6",250,"C02_28",0
"24",250,"D02_28",0
"1",250,"E02_28",0
"25",250,"F02_28",0
"11",250,"G02_28",0
"15",0.25,"B02_3",0
"10",0.25,"C02_3",0
"29",0.25,"D02_3",0
"anc4",0.25,"E02_3",0
"15",0.25,"F02_3",0
"25",1.5,"B02_4",0
"6",1.5,"C02_4",0
"24",1.5,"D02_4",0
"1",1.5,"E02_4",0
"25",1.5,"F02_4",0
"11",1.5,"G02_4",0
