"population","rep.ID","Parameter","mean","Rhat","n.eff"
"25","25.B02","K_s",10.5214937174747,1.00124737010523,4700
"25","25.B02","deviance",-6.14602374051721,1.00100474063293,6000
"25","25.B02","r_max",1.71138622941127,1.00141231896085,3800
"6","6.C02","K_s",7.14193281102937,1.00098079105214,6000
"6","6.C02","deviance",-13.7333114018983,1.00108778448804,5900
"6","6.C02","r_max",1.50465923052921,1.00100650412974,6000
"24","24.D02","K_s",24.1629879677206,1.0010346491545,6000
"24","24.D02","deviance",3.58425176599082,1.00130921704836,4300
"24","24.D02","r_max",1.67887641868754,1.00060271967488,6000
"1","1.E02","K_s",7.5032717259959,1.00118540934638,6000
"1","1.E02","deviance",-3.94276050160907,1.00151144387758,3500
"1","1.E02","r_max",1.51432626325335,1.00116774482462,5200
"25","25.F02","K_s",6.07308626465796,1.00134414985565,4100
"25","25.F02","deviance",-7.9106603362096,1.00212065357211,2200
"25","25.F02","r_max",1.55967656424079,1.00071837895964,6000
"11","11.G02","K_s",11.5078214573794,1.0008042858633,6000
"11","11.G02","deviance",2.28031764320877,1.00130938463072,4300
"11","11.G02","r_max",1.61837153294719,1.00089890226449,6000
"28","28.B02","K_s",10.2340922855099,1.00091912635146,6000
"28","28.B02","deviance",5.37821767040026,1.00065979991148,6000
"28","28.B02","r_max",1.49617219296348,1.00074543474338,6000
"21","21.C02","K_s",3.92401752374015,1.00124555729238,4700
"21","21.C02","deviance",-9.1242408622844,1.00142422916572,3800
"21","21.C02","r_max",1.66334806661028,1.00084341375238,6000
"18","18.D02","K_s",11.9879253566486,1.00096428603898,6000
"18","18.D02","deviance",-2.44179321827831,1.00123673581527,4700
"18","18.D02","r_max",1.72550025379593,1.00132106928798,4300
"26","26.E02","K_s",11.4231667874394,1.001132179854,5500
"26","26.E02","deviance",-0.977683640725115,1.00089154681749,6000
"26","26.E02","r_max",1.63476613360934,1.0008631557163,6000
"28","28.F02","K_s",5.71698069510497,1.00123372445112,6000
"28","28.F02","deviance",-20.9973621676539,1.00113054990877,5500
"28","28.F02","r_max",1.5930245607892,1.00072501730656,6000
"27","27.G02","K_s",25.7088630139056,1.0013252488207,4200
"27","27.G02","deviance",3.65492187133893,1.00113624639717,5500
"27","27.G02","r_max",1.72283313808647,1.00103620517058,6000
"15","15.B02","K_s",25.1196504673967,1.00111251626563,5700
"15","15.B02","deviance",-0.928902825531537,1.00077004656849,6000
"15","15.B02","r_max",1.90807102267852,1.00079465287676,6000
"10","10.C02","K_s",14.7674536326207,1.00132037067055,4300
"10","10.C02","deviance",1.90371242404839,1.00073946194732,6000
"10","10.C02","r_max",1.5977692756355,1.00152575004758,3400
"29","29.D02","K_s",2.01502444788846,1.00097855661238,6000
"29","29.D02","deviance",-16.3717479699948,1.00095325429695,6000
"29","29.D02","r_max",1.55489053589959,1.00117679545944,5200
"anc4","anc4.E02","K_s",8.74447007510195,1.00140337971811,3900
"anc4","anc4.E02","deviance",0.869555494896805,1.00074130009755,6000
"anc4","anc4.E02","r_max",1.55160117466936,1.00134688362092,4100
"15","15.F02","K_s",8.53334479611918,1.00099992623818,6000
"15","15.F02","deviance",-9.76352943228895,1.00156958763879,3300
"15","15.F02","r_max",1.36483233209928,1.00094148216311,6000
"19","19.B03","K_s",14.073224615894,1.00082118629849,6000
"19","19.B03","deviance",-3.33082112075099,1.00112068997187,5600
"19","19.B03","r_max",1.58697438448189,1.00099079500913,6000
"33","33.C03","K_s",15.0271891038936,1.00095284477116,6000
"33","33.C03","deviance",3.06265440633517,1.00099376698521,6000
"33","33.C03","r_max",1.64053116837568,1.00122147469496,4800
"8","8.D03","K_s",3.46759196650183,1.00084800718112,6000
"8","8.D03","deviance",-4.16846618641026,1.00093113154563,6000
"8","8.D03","r_max",1.50112294605099,1.00154420259403,3400
"25","25.E03","K_s",5.89679822037133,1.00168840736759,6000
"25","25.E03","deviance",-8.27313393819863,1.00093493102676,6000
"25","25.E03","r_max",1.54635588849974,1.00072644004472,6000
"19","19.F03","K_s",13.3557892922667,1.00154396741621,3400
"19","19.F03","deviance",4.33589957180007,1.00125272883306,4600
"19","19.F03","r_max",1.4882361048665,1.00139371568052,3900
"33","33.G03","K_s",6.64240235233174,1.00185005132767,6000
"33","33.G03","deviance",-1.26246997566051,1.00210228831858,2200
"33","33.G03","r_max",1.54411238207613,1.00104795848851,6000
"4","4.B03","K_s",30.1146128785721,1.00090451324923,6000
"4","4.B03","deviance",1.38065151445941,1.00070056383751,6000
"4","4.B03","r_max",1.85220533596889,1.0007633632013,6000
"9","9.C03","K_s",14.8644626546637,1.00081788225269,6000
"9","9.C03","deviance",-3.26128172723506,1.00130645104866,4300
"9","9.C03","r_max",1.71271352775207,1.00109036041413,5900
"22","22.D03","K_s",16.0204609664532,1.00142360325619,3800
"22","22.D03","deviance",-6.17546143566912,1.00101670160505,6000
"22","22.D03","r_max",1.81803302289447,1.00080209945455,6000
"28","28.E03","K_s",7.70099345943343,1.00112105767386,5600
"28","28.E03","deviance",-3.46375505990786,1.00184036702381,2600
"28","28.E03","r_max",1.66387442536329,1.00084783298124,6000
"4","4.F03","K_s",21.316513264106,1.00067374062659,6000
"4","4.F03","deviance",1.08150458106071,1.00117023118818,5200
"4","4.F03","r_max",1.89787209630972,1.00088819035067,6000
"9","9.G03","K_s",10.3066348535867,1.0013463851202,4100
"9","9.G03","deviance",-13.008900745238,1.00134610344826,4100
"9","9.G03","r_max",1.61616965934673,1.00133228214667,4200
"3","3.B03","K_s",6.33321076748552,1.00134893889911,4100
"3","3.B03","deviance",-10.0048393684778,1.00055379182305,6000
"3","3.B03","r_max",1.5890015971295,1.00176362324614,2800
"30","30.C03","K_s",4.2985955736751,1.00109487590969,5900
"30","30.C03","deviance",-0.95479684839422,1.00066396077573,6000
"30","30.C03","r_max",1.53572073163448,1.00090686986996,6000
"20","20.D03","K_s",13.2313944342558,1.0008229839342,6000
"20","20.D03","deviance",-1.39821683049193,1.00144067308542,3700
"20","20.D03","r_max",1.52967011292256,1.00170990323498,2900
"30","30.E03","K_s",2.44833814399526,1.00191015498186,2500
"30","30.E03","deviance",1.30132409757063,1.00077311754133,6000
"30","30.E03","r_max",1.40351754574532,1.00134659217852,4100
"7","7.F03","K_s",7.06599103653637,1.00074820363372,6000
"7","7.F03","deviance",-1.79614688702238,1.00103936170767,6000
"7","7.F03","r_max",1.49004221754388,1.00113195669626,5500
"14","14.B04","K_s",12.6265748778427,1.00169857987978,5900
"14","14.B04","deviance",-3.12719255423805,1.00050558074193,6000
"14","14.B04","r_max",1.60534216038791,1.00110642919394,5800
"32","32.C04","K_s",10.9874986221394,1.00059618409404,6000
"32","32.C04","deviance",0.493543291020387,1.00178325314774,2700
"32","32.C04","r_max",1.722245667052,1.00066939253565,6000
"19","19.D04","K_s",6.14264984041551,1.00087591486935,6000
"19","19.D04","deviance",-12.6669772406564,1.00109127403911,5900
"19","19.D04","r_max",1.4402620728052,1.00085034031768,6000
"6","6.F04","K_s",3.03923082031571,1.00115939748513,5300
"6","6.F04","deviance",-5.0014594305939,1.00088180192277,6000
"6","6.F04","r_max",1.33514767189362,1.00118885098065,5100
"31","31.B04","K_s",21.1183443277786,1.000777562791,6000
"31","31.B04","deviance",-1.35677776369978,1.00071063511033,6000
"31","31.B04","r_max",1.81595912826779,1.00105875379919,6000
"35","35.C04","K_s",6.62258885496756,1.00081182396633,6000
"35","35.C04","deviance",-12.7156092495602,1.00077331306279,6000
"35","35.C04","r_max",1.54992891159385,1.00076187203497,6000
"4","4.D04","K_s",14.1885889831254,1.00091416153024,6000
