"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"25","25.B02",10.5214937174747,9.69049803921585,3.54748124689837,19.3636809955953,0,1.71138622941127,1.70380345663104,1.49533425600472,1.94552371096087,0,4.74480169285723,1.91385423710669,8.45072953474549,0
"6","6.C02",7.14193281102937,6.78628097264876,3.32188560084943,12.0497414009162,0,1.50465923052921,1.50149014573643,1.36681457089201,1.65260601097914,0,4.0279635414282,1.98818117426639,6.45997905679892,0
"24","24.D02",24.1629879677206,22.7254289456434,6.62163412714412,45.5448971965546,0,1.67887641868754,1.67502600924141,1.32493980639276,2.06792377430164,0,11.4519743535258,4.29933211566117,20.8548805633047,0
"1","1.E02",7.5032717259959,6.58800658331524,0.727655380443311,15.589581054674,0,1.51432626325335,1.50837318723221,1.28825158398106,1.75409043031319,0,3.88205291555868,0.715724153624506,8.29903260001862,0
"25","25.F02",6.07308626465796,5.67758766948726,2.12637752159842,10.8992820846786,0,1.55967656424079,1.55507568376515,1.3850726110796,1.73150624106798,0,3.1905121176939,1.29051134297035,5.64980167840672,0
"11","11.G02",11.5078214573794,9.68330467587326,0.68047288937962,26.9385724153301,0,1.61837153294719,1.60299528419159,1.29026242036108,2.00958743939175,0,5.17240049889411,0.647206540854782,12.2826528867707,0
"28","28.B02",10.2340922855099,7.26131354623207,0.00553707561403779,30.706044795466,0,1.49617219296348,1.47788927272946,1.12570904412082,1.89439409929439,0,4.44761711123411,0.00729489444192829,14.8881797212972,0
"21","21.C02",3.92401752374015,3.6203388133928,1.03646911527498,7.19025309007551,0,1.66334806661028,1.65950039091022,1.49833713197875,1.81804079683442,0,1.85026843134275,0.745312032314233,3.55492328891646,0
"18","18.D02",11.9879253566486,10.6845393557725,2.50488470218896,24.6601842294501,0,1.72550025379593,1.71252201700065,1.46808657890724,2.02667811221213,0,5.15473459150418,1.65553433271749,10.5221838385941,0
"26","26.E02",11.4231667874394,9.9530081338165,1.69557778322229,24.1774558825002,0,1.63476613360934,1.62091065202458,1.36060974857547,1.93683216223902,0,5.26841681913857,1.61426320960013,11.2870602258434,0
"28","28.F02",5.71698069510497,5.62029271119018,3.6907414427198,7.94107077196029,0,1.5930245607892,1.59280758253814,1.50433473057913,1.68642399308708,0,3.05136502498196,2.07751343307108,4.11129753417892,0
"27","27.G02",25.7088630139056,24.7425942728967,7.40228650507222,47.206162918255,0,1.72283313808647,1.72168751939044,1.33079086067071,2.08712173560744,0,11.7846554387172,4.01402902820918,20.5565291915596,0
"15","15.B02",25.1196504673967,24.1778276601177,11.2720634067768,41.9060743490868,0,1.90807102267852,1.901314783635,1.61127831874349,2.22218596721256,0,10.0569493739051,5.52179828423815,15.8221090100983,0
