"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"25","25.B02",0.601095355944284,0.574104650933244,0.284624831642383,0.946441304309525,0,1.49398815165947,1.49071761161582,1.36635003714248,1.61972992348975,0,0.34569648631534,0.194951787379682,0.539106452778405,0
"6","6.C02",0.952026188491718,0.948501098816962,0.81595789919751,1.09268018417061,0,1.57271157118791,1.57203178748434,1.52962589948371,1.61363010342777,0,0.524968981125626,0.461045462910331,0.586724369813236,0
"24","24.D02",1.19037914934574,1.13431119423209,0.546102169202577,1.90151163651023,0,1.7062508996501,1.70086879958264,1.51599378221816,1.90593768568695,0,0.558092552721059,0.315159219464125,0.866242604433587,0
"1","1.E02",1.20465553183787,1.17352439362807,0.753608418519825,1.73861203127069,0,1.53556707170273,1.53293868740655,1.41162627038552,1.66071825294613,0,0.676599526628209,0.467157490219888,0.926189595004661,0
"25","25.F02",0.771017083344918,0.735701432491274,0.362758849779768,1.21753053135099,0,1.51511711748458,1.51249909673786,1.37589217858287,1.66095550861087,0,0.432978972964907,0.245228409409953,0.680846039175933,0
"11","11.G02",0.846772107216448,0.802733744634469,0.358085529625338,1.43603382377898,0,1.50119073739676,1.49764455369569,1.3474453190568,1.68183256078668,0,0.480282142443692,0.234427537423608,0.772461065375744,0
"28","28.B02",0.978066180748565,0.757109762442185,0.00724038743786347,2.47969712160365,0,1.60759308368322,1.58872025306441,1.24225020688567,1.9835859939422,0,0.412329615838624,0.0267693251719386,1.11201108891964,0
"21","21.C02",0.483288284753662,0.463879741112622,0.219086755705407,0.776168387501087,0,1.45643013582434,1.45437130038903,1.34553706799606,1.57906249094503,0,0.291170296934881,0.162777054779589,0.468456496617016,0
"18","18.D02",1.54153111796284,1.39261409081057,0.451633065845894,2.87949695636843,0,1.47895356346578,1.4681161277653,1.231604939186,1.75557800367537,0,0.863957123734009,0.374645215315531,1.55829673761353,0
"26","26.E02",1.93432621719171,1.84468542359641,0.967926600327131,3.04961448250216,0,1.58702358972082,1.57939690188506,1.39422919532713,1.79588680836075,0,1.01262020263002,0.63442237277699,1.54253266632751,0
"28","28.F02",0.788811117806194,0.716769284302468,0.197200656913706,1.44239140552675,0,1.45757734914132,1.45157654453003,1.25442884025983,1.65422663597748,0,0.451030643638849,0.158496418403754,0.82614999191324,0
"27","27.G02",2.49736686164877,2.24906565319327,0.813343630329104,4.75489703675006,0,1.54440482357831,1.52820563394427,1.24352310857449,1.86059909044161,0,1.30570029579733,0.625074836373029,2.31803126204012,0
"15","15.B02",2.33702817671698,1.99627788140829,0.517058936801482,5.10261141355694,0,1.70104560188663,1.67966307802565,1.2956400038371,2.18603600990689,0,1.00298304579378,0.382192739385014,2.14567619804954,0
"10","10.C02",1.4714265715156,1.32845525467999,0.458847722235905,2.79112404442242,0,1.45060048139846,1.44046015424804,1.19377074908906,1.70759530564638,0,0.84684228800978,0.375979302333194,1.54953941912869,0
"29","29.D02",0.47026043075588,0.451434763498383,0.205897872631774,0.772295440784147,0,1.38755042082691,1.38456564124881,1.2727848334987,1.50823066271945,0,0.30633824557786,0.154427926385309,0.487877479475928,0
"anc4","anc4.E02",1.42454478454645,1.37880125604412,0.792854414037504,2.11418093507332,0,1.44506664455325,1.44282510275695,1.31146802003248,1.58867858256393,0,0.876030842584021,0.585365187920748,1.25324420749543,0
"15","15.F02",2.82816006625463,2.54580090622448,0.850529498922399,5.507740657069,0,1.57256679678941,1.55817144738998,1.27841255381211,1.95599862196355,0,1.44102130652474,0.615231315323988,2.57234766852561,0
"19","19.B03",1.90298903112673,1.72571166294832,0.652985407900003,3.53641825876915,0,1.6707065848918,1.65707280665502,1.38125587424943,1.9953212948286,0,0.882920965847056,0.404055651357051,1.57601273644842,0
"33","33.C03",2.23437980673498,2.1739920118552,1.29400678372049,3.14395002371983,0,1.67042057656034,1.66651576716005,1.50144702359062,1.84649076948317,0,1.09990360467754,0.758061780323404,1.47419835956345,0
"8","8.D03",0.918607828220707,0.885115489832698,0.485116098850821,1.42360053559712,0,1.51634283011427,1.51324117104663,1.38596957760747,1.65063462588515,0,0.51909446749581,0.312625724108791,0.771174195321371,0
"25","25.E03",1.11947667376923,1.07728892707341,0.604108346496959,1.67284608684664,0,1.57640546004324,1.5723449417703,1.4514201573045,1.73584534493699,0,0.596203952667789,0.384144386500973,0.862673577101579,0
"19","19.F03",1.71345613219518,1.536340183751,0.448400803821061,3.23978140867175,0,1.58459099349809,1.56973702754974,1.28496365309141,1.87474079904531,0,0.855418112455796,0.396255805235738,1.61086539434468,0
"33","33.G03",2.31206195548476,2.10716089556568,0.7083259300131,4.2825338428849,0,1.74638162911613,1.72902719179555,1.43373236903017,2.08755758855461,0,1.00885300508019,0.48062672507133,1.79019295329264,0
"4","4.B03",1.56319103302632,1.38246910157348,0.41687463163428,3.07433215051162,0,1.58111490026765,1.567401129645,1.29393560379332,1.87091930060439,0,0.770533207919553,0.309198169707763,1.47120555253368,0
"9","9.C03",2.4275258818677,2.20275068356038,0.657419523326978,4.66065706018934,0,1.59091526606886,1.57633412833479,1.27234649463112,1.93344764763715,0,1.21295662797788,0.558942306021121,2.24989034847556,0
"22","22.D03",6.40111481959893,6.69486967420853,1.98071242010209,9.99795652916235,0,1.39572013879763,1.38421822847459,0.582837425432178,2.18125236929865,0,4.12028440322419,0.31265717464995,15.5105755509607,0
"28","28.E03",0.642677434881855,0.586895804947455,0.195255019404923,1.23314305404829,0,1.41758886825652,1.41360746932379,1.23953897235671,1.60746421070644,0,0.385130905627482,0.155918948465979,0.732112972691992,0
"4","4.F03",1.05392957747609,0.786237652686445,0.0214231498536611,2.70347772088464,0,1.44741189533313,1.42511725118092,1.11274221518057,1.81374505814491,0,0.511545137907386,0.0449245566416163,1.42405448552202,0
"9","9.G03",2.08778116533805,1.82847671130338,0.53189894405017,4.20759066653428,0,1.5777633656101,1.55979987333948,1.26500455529199,1.91526785735875,0,1.03340095769614,0.44220888400713,1.99028308584965,0
"3","3.B03",0.859768491087868,0.810053358531206,0.359849425477008,1.46027147422724,0,1.53052142544441,1.52468413110036,1.35199193287233,1.71352503742554,0,0.469126281234187,0.246175957956135,0.786226551789073,0
"30","30.C03",2.49428207385582,2.20530956729401,0.682098813781809,5.12380849263901,0,1.70711154271024,1.68437254177831,1.32210503212009,2.08658740273401,0,1.10250525659598,0.449173938039069,2.07770895456517,0
"20","20.D03",2.29128346408408,2.12162960918059,0.797486724578348,4.01108896443535,0,1.4493629848324,1.43845755509578,1.21245607193746,1.72233582752943,0,1.3513814502878,0.697751162077001,2.22196852776621,0
"30","30.E03",1.14052225163669,1.1156839063727,0.766540418463737,1.59323161725309,0,1.49976049400563,1.49761970929711,1.39457445324515,1.60154688707914,0,0.667295124633426,0.476003451468339,0.877778581325958,0
"7","7.F03",1.4335610796586,1.28356281768822,0.413476761839167,2.72946935122024,0,1.43089580482195,1.42178094039416,1.19809608243844,1.67133080711868,0,0.839858795299993,0.360301476418562,1.53040897613558,0
"14","14.B04",1.360835326041,1.27999276478705,0.582502549393681,2.26918779047751,0,1.63031568710123,1.62318502906494,1.40977436874866,1.83644643859516,0,0.674822264186692,0.355846850390248,1.082380286791,0
"32","32.C04",2.3578477564417,2.09587812501174,0.679297713321136,4.66358766694354,0,1.7079974451423,1.68962763062615,1.37665028857605,2.08539650212371,0,1.04108537093006,0.476404407955595,1.96850259565472,0
"19","19.D04",1.40405686451978,1.25704009934949,0.380235005094111,2.59530519658523,0,1.53887648899659,1.52565863091717,1.2851357785787,1.81851448525856,0,0.728767727048144,0.322726728406044,1.36529785085245,0
"6","6.F04",0.445128796814861,0.401230203949402,0.0679011561662873,0.882656859205753,0,1.44377390417179,1.43868419083346,1.26648571191942,1.62444066165389,0,0.254974784655075,0.0716653349384279,0.531726958791847,0
"31","31.B04",2.05531364006819,1.92149745692083,0.821703556560962,3.40898983878803,0,1.58544809283119,1.57560383763411,1.3464575095013,1.85148864239768,0,1.06194272705001,0.575011719690318,1.68565523993362,0
