"population","Parameter","mean","Rhat","n.eff"
"14","a",1.57029561880529,1.00166806485627,3000
"14","b",0.369692889242935,1.00702370165341,1600
"14","c",6.92432824188741,1.00089271583494,6000
"14","deviance",-10.3934410199722,1.0022625645904,2500
"17","a",1.07715401425546,1.00285296679641,1500
"17","b",5.16915527513878,1.00079611405676,6000
"17","c",3.92610146977782,1.00303300401956,3300
"17","deviance",-4.68762581347726,1.00144457358355,3700
"3","a",1.31717615730026,1.00142954701149,3800
"3","b",6.00186579931949,1.00091933622219,6000
"3","c",2.99512055345934,1.00405790306824,3500
"3","deviance",-26.7628905014618,1.00083505693753,6000
"18","a",1.55928638884097,1.00085809879013,6000
"18","b",0.340471137194266,1.00367898082973,3700
"18","c",6.4862508863972,1.00065262506372,6000
"18","deviance",-12.2327190711704,1.00074464805327,6000
"19","a",1.19611930200107,1.00110306665742,5800
"19","b",4.09956939853243,1.00112884603112,5600
"19","c",3.00680594074335,1.01526126009485,6000
"19","deviance",-11.3527159753284,1.00096442360884,6000
"26","a",1.29977292094923,1.00072412470344,6000
"26","b",1.59195382826746,1.00107390850147,6000
"26","c",3.30076543558333,1.00088338032036,6000
"26","deviance",-25.8148270395391,1.00073509529338,6000
"1","a",1.2076911955315,1.00074350024372,6000
"1","b",4.7429432826524,1.00056818752427,6000
"1","c",1.9692417396438,1.00238612927363,3200
"1","deviance",5.12099791248145,1.00104282707383,6000
"33","a",1.32155100661671,1.00097269750286,6000
"33","b",3.38822914636026,1.00086721770939,6000
"33","c",2.9532009679284,1.00170747679871,2900
"33","deviance",-8.65869197559872,1.00177361598368,2700
"2","a",1.36507967937899,1.00180080350432,2700
"2","b",1.44687203053209,1.00159662961752,3200
"2","c",8.92871184712065,1.00121324123889,5700
"2","deviance",-14.240296560688,1.00065165765582,6000
"10","a",1.24158673167287,1.00139429009122,3900
"10","b",3.46957848757911,1.0008193812014,6000
"10","c",3.23371313160372,1.00101310691677,6000
