"population","rep.ID","Parameter","mean","Rhat","n.eff"
"25","25.B02","K_s",0.601095355944284,1.00125556774107,4600
"25","25.B02","deviance",-15.7673848982717,1.00154922860197,3300
"25","25.B02","r_max",1.49398815165947,1.00144152799999,3700
"6","6.C02","K_s",0.952026188491718,1.00131344330261,4300
"6","6.C02","deviance",-39.7794335589346,1.00101718392517,6000
"6","6.C02","r_max",1.57271157118791,1.00106280345062,6000
"24","24.D02","K_s",1.19037914934574,1.00072166518956,6000
"24","24.D02","deviance",-9.08979131114012,1.00132542529209,4600
"24","24.D02","r_max",1.7062508996501,1.00089297973438,6000
"1","1.E02","K_s",1.20465553183787,1.00065269452948,6000
"1","1.E02","deviance",-17.6134044936297,1.000786483322,6000
"1","1.E02","r_max",1.53556707170273,1.00104769213601,6000
"25","25.F02","K_s",0.771017083344918,1.00121489115856,4900
"25","25.F02","deviance",-13.9016653703227,1.00188460378771,2500
"25","25.F02","r_max",1.51511711748458,1.00191016046847,2500
"11","11.G02","K_s",0.846772107216448,1.00172245840257,2900
"11","11.G02","deviance",-10.8384737894928,1.00090789445029,6000
"11","11.G02","r_max",1.50119073739676,1.00126949302012,4500
"28","28.B02","K_s",0.978066180748565,1.0010201310164,6000
"28","28.B02","deviance",4.69402357780279,1.00074849943425,6000
"28","28.B02","r_max",1.60759308368322,1.00174301623562,2800
"21","21.C02","K_s",0.483288284753662,1.00183621903638,2600
"21","21.C02","deviance",-15.8772909333462,1.00105815962526,6000
"21","21.C02","r_max",1.45643013582434,1.00115108574546,5400
"18","18.D02","K_s",1.54153111796284,1.00084592764509,6000
"18","18.D02","deviance",-3.90355830007514,1.00067077392816,6000
"18","18.D02","r_max",1.47895356346578,1.00134658173543,4100
"26","26.E02","K_s",1.93432621719171,1.00083452342533,6000
"26","26.E02","deviance",-10.610770438765,1.00075871956554,6000
"26","26.E02","r_max",1.58702358972082,1.00095192361063,6000
"28","28.F02","K_s",0.788811117806194,1.00119428699915,5000
"28","28.F02","deviance",-6.20257864564421,1.00107011589873,6000
"28","28.F02","r_max",1.45757734914132,1.00067228719552,6000
"27","27.G02","K_s",2.49736686164877,1.00075028760893,6000
"27","27.G02","deviance",-3.19014067622134,1.00057638742351,6000
"27","27.G02","r_max",1.54440482357831,1.00098495494526,6000
"15","15.B02","K_s",2.33702817671698,1.00126750004867,4600
"15","15.B02","deviance",4.38672024232065,1.00140777974413,3900
"15","15.B02","r_max",1.70104560188663,1.00105401874515,6000
"10","10.C02","K_s",1.4714265715156,1.00106311146815,6000
"10","10.C02","deviance",-3.97645167704337,1.00111057718656,5700
"10","10.C02","r_max",1.45060048139846,1.00109686528142,5900
"29","29.D02","K_s",0.47026043075588,1.00119104968979,5100
"29","29.D02","deviance",-15.1852550062609,1.0013779312663,4000
"29","29.D02","r_max",1.38755042082691,1.0012531334092,4600
"anc4","anc4.E02","K_s",1.42454478454645,1.0011201922629,5600
"anc4","anc4.E02","deviance",-16.6116349837508,1.00078495012218,6000
"anc4","anc4.E02","r_max",1.44506664455325,1.00060106049391,6000
"15","15.F02","K_s",2.82816006625463,1.00220098311938,2100
"15","15.F02","deviance",-1.80543176472306,1.00114935227776,5400
"15","15.F02","r_max",1.57256679678941,1.00252763645746,1700
"19","19.B03","K_s",1.90298903112673,1.00090265671832,6000
"19","19.B03","deviance",-2.32730574408343,1.00124332469077,4700
"19","19.B03","r_max",1.6707065848918,1.00098380879635,6000
"33","33.C03","K_s",2.23437980673498,1.00206121662758,2200
"33","33.C03","deviance",-15.5671591479097,1.00090790159504,6000
"33","33.C03","r_max",1.67042057656034,1.00151836129018,3400
"8","8.D03","K_s",0.918607828220707,1.00115617634943,5300
"8","8.D03","deviance",-16.635994540959,1.00127205194365,4500
"8","8.D03","r_max",1.51634283011427,1.00137248865842,4000
"25","25.E03","K_s",1.11947667376923,1.00073267271468,6000
"25","25.E03","deviance",-15.7574253921985,1.00055900739524,6000
"25","25.E03","r_max",1.57640546004324,1.00131667463374,5900
"19","19.F03","K_s",1.71345613219518,1.00097140400282,6000
"19","19.F03","deviance",-2.04524782461239,1.00072122255634,6000
"19","19.F03","r_max",1.58459099349809,1.00076194278175,6000
"33","33.G03","K_s",2.31206195548476,1.00082662560058,6000
"33","33.G03","deviance",-1.80958541475022,1.00110113976113,5800
"33","33.G03","r_max",1.74638162911613,1.0006169889498,6000
"4","4.B03","K_s",1.56319103302632,1.00070483097793,6000
"4","4.B03","deviance",-2.50698233886558,1.00075021906122,6000
"4","4.B03","r_max",1.58111490026765,1.00120027511352,5000
"9","9.C03","K_s",2.4275258818677,1.0017023165886,2900
"9","9.C03","deviance",-1.2510076427737,1.00087975422215,6000
"9","9.C03","r_max",1.59091526606886,1.00240106479372,1800
"22","22.D03","K_s",6.40111481959893,1.00110773274574,6000
"22","22.D03","deviance",14.1990084763855,1.00076728841004,6000
"22","22.D03","r_max",1.39572013879763,1.00058439104318,6000
"28","28.E03","K_s",0.642677434881855,1.00127468967908,4500
"28","28.E03","deviance",-6.99036020192274,1.00118220061182,5100
"28","28.E03","r_max",1.41758886825652,1.00096894964622,6000
"4","4.F03","K_s",1.05392957747609,1.00067436360045,6000
"4","4.F03","deviance",3.12723326293273,1.00147207949758,3600
"4","4.F03","r_max",1.44741189533313,1.00114106140892,5400
"9","9.G03","K_s",2.08778116533805,1.00141735781635,3800
"9","9.G03","deviance",-1.4566011658975,1.00106900557099,6000
"9","9.G03","r_max",1.5777633656101,1.00075506975385,6000
"3","3.B03","K_s",0.859768491087868,1.00197661112084,2400
"3","3.B03","deviance",-8.31341826986962,1.00152482008427,3400
"3","3.B03","r_max",1.53052142544441,1.00149793762145,3500
"30","30.C03","K_s",2.49428207385582,1.00075834337046,6000
"30","30.C03","deviance",0.474280309171353,1.00102780711609,6000
"30","30.C03","r_max",1.70711154271024,1.00105614440281,6000
"20","20.D03","K_s",2.29128346408408,1.00092481432156,6000
"20","20.D03","deviance",-7.25469589770392,1.00083718747875,6000
"20","20.D03","r_max",1.4493629848324,1.00230289012378,1900
"30","30.E03","K_s",1.14052225163669,1.00092354638156,6000
"30","30.E03","deviance",-21.2236385277705,1.00113448003166,5500
"30","30.E03","r_max",1.49976049400563,1.00087703381999,6000
"7","7.F03","K_s",1.4335610796586,1.00086405393842,6000
"7","7.F03","deviance",-5.63675349145571,1.00070822850022,6000
"7","7.F03","r_max",1.43089580482195,1.00133779858474,4200
"14","14.B04","K_s",1.360835326041,1.00065573187218,6000
"14","14.B04","deviance",-7.93984759436447,1.00075729355166,6000
"14","14.B04","r_max",1.63031568710123,1.00068042562135,6000
