"population","temp","well.ID","µ"
"25",16,"B02_16",1.15033718442725
"6",16,"C02_16",0.966746244450007
"24",16,"D02_16",1.07486186976796
"1",16,"E02_16",0.83196553532482
"25",16,"F02_16",1.20782626364435
"11",16,"G02_16",1.13159964749353
"28",16,"B02_21",0.98655764888286
"21",16,"C02_21",1.13438712230405
"18",16,"D02_21",0.927890030700199
"26",16,"E02_21",0.909171303505545
"28",16,"F02_21",1.07226044665148
"27",16,"G02_21",0.927915743004073
"15",16,"B02_26",0.785126313872067
"10",16,"C02_26",0.881752850045716
"29",16,"D02_26",1.05865058567777
"anc4",16,"E02_26",1.01605164485706
"15",16,"F02_26",0.899333752293929
"25",22,"B02_31",2.51736680293251
"6",22,"C02_31",2.02147156700276
"24",22,"D02_31",2.04746391925227
"1",22,"E02_31",1.57896603228839
"25",22,"F02_31",2.01844503220153
"11",22,"G02_31",1.84630248737983
"28",22,"B02_36",2.21125007846139
"21",22,"C02_36",2.90480448549497
"18",22,"D02_36",1.86471751176843
"26",22,"E02_36",1.73472822570492
"28",22,"F02_36",2.14267905269287
"27",22,"G02_36",1.85481504574886
"15",22,"B02_41",1.72123916138021
"10",22,"C02_41",1.66235095362046
"29",22,"D02_41",1.8989949064982
"anc4",22,"E02_41",2.16486628543555
"15",22,"F02_41",1.88106351960183
"25",28,"B02_46",3.78069013565109
"6",28,"C02_46",2.83368596050983
"24",28,"D02_46",3.20615926648185
"1",28,"E02_46",2.87780420577089
"25",28,"F02_46",3.07456965453129
"11",28,"G02_46",2.73549136664318
"28",28,"B02_51",4.08940241788597
"21",28,"C02_51",3.93254035459311
"18",28,"D02_51",3.1154077368746
"26",28,"E02_51",3.45728407503759
"28",28,"F02_51",3.67618977996614
"27",28,"G02_51",2.41779336278445
"15",28,"B02_56",3.43003966307934
"10",28,"C02_56",2.88007350498149
"29",28,"D02_56",3.0939119836246
"anc4",28,"E02_56",3.05086743451778
"15",28,"F02_56",2.94208620962939
"25",34,"B02_61",4.23398891241126
"6",34,"C02_61",4.34014381315625
"24",34,"D02_61",4.01310967053609
"1",34,"E02_61",3.91279342703641
"25",34,"F02_61",4.1546624464934
"11",34,"G02_61",4.21099352553497
"28",34,"B02_66",4.96505454618993
"21",34,"C02_66",4.76309774606288
"18",34,"D02_66",3.46557742530898
"26",34,"E02_66",3.75560750371921
"28",34,"F02_66",4.14132369094785
"27",34,"G02_66",3.40645151550653
"15",34,"B02_71",4.2834564660061
"10",34,"C02_71",3.07032711274171
"29",34,"D02_71",3.9410475886209
"anc4",34,"E02_71",3.31521940244992
"15",34,"F02_71",3.52765283504918
"25",40,"B02_76",0.331431822180635
"6",40,"C02_76",0.432741046267688
"24",40,"D02_76",0.73938343377945
"1",40,"E02_76",0.407156609005435
"25",40,"F02_76",0.172017832585124
"11",40,"G02_76",0.195230580964643
"28",40,"B02_81",0.544785617625553
"21",40,"C02_81",0.383701059592176
"18",40,"D02_81",1.17947797886745
"26",40,"E02_81",-0.148691402672944
"28",40,"F02_81",0.588854370028805
"27",40,"G02_81",-0.000271625158023912
"15",40,"B02_86",0.583711617226269
"10",40,"C02_86",0.784350941456927
"29",40,"D02_86",0.634334215127931
"anc4",40,"E02_86",0.486473773051067
"15",40,"F02_86",0.372008804635435
"25",10,"B02_1",0.176709834392176
"6",10,"C02_1",0.40596637888156
"24",10,"D02_1",0.409568482267987
"1",10,"E02_1",0.35230170035544
"25",10,"F02_1",0.182652714265394
"11",10,"G02_1",0.282034619528352
"15",10,"B02_11",0.489487110843445
"10",10,"C02_11",0.563509255358786
"29",10,"D02_11",0.348645193292383
"anc4",10,"E02_11",0.441702493327975
"15",10,"F02_11",0.496842715472724
"28",10,"B02_6",0.442530261197612
"21",10,"C02_6",0.443861988173273
"18",10,"D02_6",0.468911641373035
"26",10,"E02_6",0.306739832883703
"28",10,"F02_6",0.379227909247654
"27",10,"G02_6",0.520564412848802
"19",16,"B03_16",0.846406057866243
"33",16,"C03_16",0.951236008045218
"8",16,"D03_16",0.643817555880104
"25",16,"E03_16",1.22427941385227
"19",16,"F03_16",0.898852518528433
"33",16,"G03_16",1.02031151977467
"4",16,"B03_21",0.84554657794786
"9",16,"C03_21",1.13604434250285
"22",16,"D03_21",0.945161961597233
"28",16,"E03_21",1.07933122696785
"4",16,"F03_21",0.912864469076699
"9",16,"G03_21",0.842151955003466
"3",16,"B03_26",1.06887088263598
"30",16,"C03_26",1.02845198702939
"20",16,"D03_26",0.951417951478193
"30",16,"E03_26",1.48387698414972
"7",16,"F03_26",0.83065114436393
"19",22,"B03_31",2.04830310448851
"33",22,"C03_31",2.28260652497647
"8",22,"D03_31",1.62053510179417
"25",22,"E03_31",2.27935932833576
"19",22,"F03_31",1.73118755361734
"33",22,"G03_31",1.69839273498425
"4",22,"B03_36",1.56583847673924
"9",22,"C03_36",2.25360962375923
"22",22,"D03_36",2.30183066333255
"28",22,"E03_36",2.02945571737215
"4",22,"F03_36",1.77020697839837
"9",22,"G03_36",2.14358247813113
"3",22,"B03_41",2.59391182750157
"30",22,"C03_41",2.05538640610141
"20",22,"D03_41",1.58825180653563
"30",22,"E03_41",2.11790495097285
"7",22,"F03_41",1.47146614032928
"19",28,"B03_46",3.46776915383805
"33",28,"C03_46",3.04243960334969
"8",28,"D03_46",3.15807039713345
"25",28,"E03_46",3.20825939288916
"19",28,"F03_46",2.9516474613674
"33",28,"G03_46",2.75259687849103
"4",28,"B03_51",2.61955201800549
"9",28,"C03_51",3.6031504792343
"22",28,"D03_51",3.13243224923981
"28",28,"E03_51",3.74498005373621
"4",28,"F03_51",2.83920669234835
"9",28,"G03_51",3.22468053169862
"3",28,"B03_56",3.08135905667912
"30",28,"C03_56",3.309648549655
"20",28,"D03_56",3.31017748365982
"30",28,"E03_56",3.84690327781868
"7",28,"F03_56",2.86599748780562
"19",34,"B03_61",4.34956790686393
"33",34,"C03_61",3.99890987065149
"8",34,"D03_61",3.8625654329049
"25",34,"E03_61",3.76592246468146
"19",34,"F03_61",3.85407650328032
"33",34,"G03_61",3.88993534471437
"4",34,"B03_66",4.04901514165581
"9",34,"C03_66",3.65406215606197
"22",34,"D03_66",4.00189351037878
"28",34,"E03_66",4.04199773381493
"4",34,"F03_66",3.85885373118384
"9",34,"G03_66",3.28523325674442
"3",34,"B03_71",3.93793474904021
"30",34,"C03_71",4.02768255043582
"20",34,"D03_71",3.5316037750816
"30",34,"E03_71",3.28381887349278
"7",34,"F03_71",3.81204207162558
"19",40,"B03_76",-0.0325960963778404
"33",40,"C03_76",0.278128065966861
"8",40,"D03_76",0.321614979109756
"25",40,"E03_76",0.389203659540896
"19",40,"F03_76",0.190861999150971
"33",40,"G03_76",-0.0744317070264929
"4",40,"B03_81",0.328417962686359
"9",40,"C03_81",0.0311134085895742
"22",40,"D03_81",0.0544545605467158
"28",40,"E03_81",0.556556050097035
"4",40,"F03_81",0.560206845143103
"9",40,"G03_81",0.371549563650578
"3",40,"B03_86",0.329641517954357
"30",40,"C03_86",0.33322678627671
"20",40,"D03_86",0.312238648472266
"30",40,"E03_86",0.317940590132882
"7",40,"F03_86",0.298814961040636
"19",10,"B03_1",0.417516043180883
"33",10,"C03_1",0.390764937275955
"8",10,"D03_1",0.390374690686729
"25",10,"E03_1",0.282455240441661
"19",10,"F03_1",0.432351314670617
"33",10,"G03_1",0.375988661241888
"3",10,"B03_11",0.445107931432847
"30",10,"C03_11",0.515344942169276
"20",10,"D03_11",0.502184395653928
"30",10,"E03_11",0.482895859406063
"7",10,"F03_11",0.471051649329595
"4",10,"B03_6",0.32236107090724
"9",10,"C03_6",0.546443974598388
"22",10,"D03_6",0.480704404089331
"28",10,"E03_6",0.31110635999806
"4",10,"F03_6",0.372027609412251
"9",10,"G03_6",0.500213636586196
"14",16,"B04_16",1.16462063539807
"32",16,"C04_16",1.05791667957815
"19",16,"D04_16",0.944317344617957
"6",16,"F04_16",0.865633673109107
"31",16,"B04_21",0.967171434658654
"35",16,"C04_21",0.987043117558484
"4",16,"D04_21",1.06094264690408
"2",16,"E04_21",0.937767055192478
"21",16,"F04_21",0.991868752405166
"cc1690",16,"B04_26",0.929567015571312
"5",16,"C04_26",1.02782770193788
"anc4",16,"D04_26",1.03253374808005
"16",16,"E04_26",1.01923558050326
"29",16,"F04_26",0.952055054449364
"14",22,"B04_31",1.94912206237095
"32",22,"C04_31",2.02189663278086
"19",22,"D04_31",1.53983179171419
"6",22,"F04_31",1.57105901303904
"31",22,"B04_36",2.14584241136709
"35",22,"C04_36",1.88050413002636
"4",22,"D04_36",1.64648796517851
"2",22,"E04_36",2.43385276266537
"21",22,"F04_36",2.39169807326106
"cc1690",22,"B04_41",2.10432643557622
"5",22,"C04_41",1.61352321394621
"anc4",22,"D04_41",2.00717258594792
"16",22,"E04_41",1.98914942791361
"29",22,"F04_41",1.63483812364729
"14",28,"B04_46",3.99590636630981
"32",28,"C04_46",2.967012096996
"19",28,"D04_46",2.94200452864575
"6",28,"F04_46",2.79016742913808
"31",28,"B04_51",3.84351335469632
"35",28,"C04_51",3.02231928036244
"4",28,"D04_51",3.03200045166322
"2",28,"E04_51",2.95232129207192
"21",28,"F04_51",3.70707640629618
"cc1690",28,"B04_56",2.55276031444815
"5",28,"C04_56",3.14397787943668
"anc4",28,"D04_56",3.61999024970104
"16",28,"E04_56",3.36061208302759
"29",28,"F04_56",3.06187063797515
"14",34,"B04_61",4.51186637605575
"32",34,"C04_61",3.9655647683916
"19",34,"D04_61",3.62667508999906
"6",34,"F04_61",3.94146333527114
"31",34,"B04_66",4.54313613121335
"35",34,"C04_66",4.13676212047695
"4",34,"D04_66",3.62192896983063
"2",34,"E04_66",4.08864833037085
"21",34,"F04_66",4.82939369162727
"cc1690",34,"B04_71",3.00548666087107
"5",34,"C04_71",3.80219860299752
"anc4",34,"D04_71",3.51488667956658
"16",34,"E04_71",3.9685825050037
"29",34,"F04_71",3.79510963138351
"14",40,"B04_76",0.605450403656952
"32",40,"C04_76",0.254960571809759
"19",40,"D04_76",0.247438228427029
"6",40,"F04_76",0.323719839189723
"31",40,"B04_81",-0.155018319921151
"35",40,"C04_81",1.13100613361494
"4",40,"D04_81",0.373937733520029
"2",40,"E04_81",0.112667066111095
"21",40,"F04_81",0.452669200497357
"cc1690",40,"B04_86",0.346072726643217
"5",40,"C04_86",0.202261494495254
