"population","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","c.mod","c.mod.post","c.mod.min","c.mod.max","c.mod.na"
"14",1.57029561880529,1.57049314557398,1.17106993465471,1.9999580269485,0,6.92432824188741,6.9987524709064,4.32651415478709,9.74235495524458,0
"17",1.07715401425546,1.07919072429539,0.829982944018807,1.32239005895829,0,3.92610146977782,3.90250939483852,3.14058290215048,4.71608918490387,0
"3",1.31717615730026,1.31773645888895,1.22714299369667,1.40563932043884,0,2.99512055345934,2.99505593672116,2.88927263232213,3.09766441433506,0
"18",1.55928638884097,1.552667255796,1.19056151910102,1.99962814946467,0,6.4862508863972,6.54588094527288,3.91801456284776,9.1220417070637,0
"19",1.19611930200107,1.19473534591279,0.97009108954341,1.40817488640347,0,3.00680594074335,2.99826182619831,2.55994836835331,3.52496449609322,0
"26",1.29977292094923,1.2980085832589,1.17495416203131,1.43384624049816,0,3.30076543558333,3.30196634357672,2.97256485289589,3.60796302648056,0
"1",1.2076911955315,1.20956990893217,0.599993963787731,1.84435318210418,0,1.9692417396438,1.68031224721449,0.603825176579754,4.29549649884445,0
"33",1.32155100661671,1.30029215171264,1.01112472731355,1.7284311594127,0,2.9532009679284,3.00581172435621,2.09575951940619,3.61807262715711,0
"2",1.36507967937899,1.22893420899488,1.02452419266004,1.97773661396589,0,8.92871184712065,9.26869938195277,6.39088492582224,9.99906315522194,0
"10",1.24158673167287,1.22739926016556,0.895404136054808,1.64683841177483,0,3.23371313160372,3.21988053713588,2.19627022873884,4.08659427553292,0
"6",1.05408713729827,1.04665223570319,0.804664177022749,1.30628579002785,0,3.65814788995792,3.70420071965949,2.8875860055819,4.31057222149133,0
"20",1.28592484577287,1.27995990818846,0.979125173925347,1.59958684668201,0,3.2201301768677,3.18273509362568,2.60423598588284,4.03953467139212,0
"30",1.41316503380804,1.40304582960432,1.09340187406725,1.78233518613433,0,2.8355337011973,2.85712208570533,2.04965467715412,3.41427870297354,0
"29",1.08466141834779,1.06220760596413,0.54153355905676,1.56991749193841,0,3.79698675108089,3.73928350999072,1.49821038451622,6.06852267240806,0
"23",1.45419346270093,1.45318931023642,1.04001099996032,1.97000369743622,0,3.56879285382601,3.5057853504451,2.20043699204616,5.06454774412123,0
"16",1.26072790467586,1.22285464754674,0.699353604382607,1.95314691312392,0,4.74083936040728,4.46410140571899,1.65709583384464,9.52759160700996,0
"35",1.38481004531051,1.38449675582363,0.822018526236683,1.99870228969716,0,3.7907713436945,3.68075074606692,0.87276860683951,6.58857902060411,0
"15",1.12020479848369,0.980325210310785,0.836046811419583,1.88762252101396,0,8.79208324998284,9.37473781463601,4.19001886869597,9.99964724706457,0
"cc1690",1.21145084962284,1.20205066547793,0.807952700515299,1.58841610000433,0,3.05549948419111,3.00917203132181,2.0534410148269,4.1065334848794,0
"Anc 3",1.42033470892914,1.40721928983351,1.0489246426341,1.8262444318827,0,3.15623631539617,3.1583529968791,2.22597125076913,3.96185018406387,0
"27",1.27645244916283,1.26808938454201,1.06933848656934,1.50285199895665,0,2.96584922613894,2.98607397188199,2.49187723030375,3.38397243908199,0
"28",1.14280296461882,1.13376351456684,0.819780284069615,1.48900443261609,0,3.44173574366109,3.38583871892118,2.44370786810046,4.5980162636303,0
"25",1.25720285172634,1.24413574285619,0.941837665822896,1.60300663655461,0,6.4540902999214,6.5488885150874,5.00259839725118,7.67493508888658,0
"Anc 4",1.47509443637083,1.45869395070433,1.13069111158417,1.85892856091978,0,3.02034456136505,3.03212377144156,2.05383931785631,3.80498314857601,0
"8",1.43923731583101,1.43295315862104,1.09145063958506,1.83732869010251,0,3.04698177332255,3.0218041106782,2.29458089289433,3.89142045062735,0
"31",1.42229513752795,1.41098535710036,1.14044441441052,1.72937406365694,0,2.8216851001022,2.86977659506766,2.18317059055848,3.29510083188369,0
"4",1.47567871397524,1.44500506436626,1.12890728627902,1.93385775310373,0,4.90657001230038,5.03876355072885,2.73099822100045,6.47152734832845,0
"Anc 2",1.31139209241634,1.30350449671495,1.04572708142634,1.62003460872513,0,3.34027162687109,3.34393859496336,2.64703538998588,4.04382130320064,0
"11",1.15369700698534,1.1470731426628,0.817574979743145,1.45714155654482,0,3.15757270002884,3.10828673940117,2.42076988952405,4.01992051235023,0
"24",1.71141310627995,1.71211181941295,1.55948780072706,1.86773287038608,0,2.58584807831571,2.58207504746007,2.33108183904123,2.81322887178604,0
"Anc 5",1.28355549449039,1.27541975389765,1.00153688901722,1.63379496256208,0,2.89202099964909,2.90754088411291,2.14070659516324,3.51042849979069,0
"5",1.62010498013862,1.6249745201737,1.27707012361871,1.99993265469974,0,3.06377138123378,3.04870735794582,2.23541693638113,3.90053181610336,0
"22",1.56232799413002,1.5587956561602,1.32440144851689,1.83185624572393,0,2.52870800774591,2.52937381317742,2.11793973559747,2.96888605705152,0
"9",1.56463625547981,1.61422398706637,1.0043933078115,1.99991654874578,0,6.284198462306,6.10901207561996,3.68862614342448,9.94888463025323,0
"32",1.04838511663217,1.03026330717659,0.776591019079561,1.33408628541938,0,6.95253363250425,7.10759327385793,5.26163318514597,7.98162559851199,0
"7",0.894061994686185,0.874813591474563,0.555983126693321,1.22473563277297,0,4.03271332383635,4.01626705313915,2.46188916391136,5.59382138970339,0
"21",1.62565966153318,1.62086994627861,1.37320153336573,1.89938946023002,0,2.82380122715757,2.84186656063722,2.36553743488305,3.20745213954612,0
