"population","rep.ID","Parameter","mean","Rhat","n.eff"
"25","25.B02","a",0.0692886855109043,1.01970470946115,4200
"25","25.B02","b",-1.67844892019552,1.00327800868183,3800
"25","25.B02","d.t",5.36779969668851,1.00961711363324,2800
"25","25.B02","tmax",41.1562857744446,1.00345703759725,6000
"6","6.C02","a",0.0534758281303353,1.00901370340392,6000
"6","6.C02","b",-1.31261299563861,1.00096348773344,6000
"6","6.C02","d.t",2.63544227979649,1.00117343804448,5200
"6","6.C02","tmax",40.7782900545881,1.00135981311883,4100
"24","24.D02","a",0.0564682370937302,1.0012811293396,4800
"24","24.D02","b",-1.35912466448045,1.00145082274039,3700
"24","24.D02","d.t",3.66468263568176,1.00314859617938,6000
"24","24.D02","tmax",41.150202766081,1.00346368678786,4000
"1","1.E02","a",0.0529432726609706,1.13926689613046,6000
"1","1.E02","b",-1.43940184204494,1.00141768388813,3800
"1","1.E02","d.t",2.83129796248217,1.00153807352904,3400
"1","1.E02","tmax",40.8762529522956,1.00233195126063,2700
"25","25.F02","a",0.0570601357058697,1.00731709893951,5200
"25","25.F02","b",-1.42085352794077,1.00125071462244,4700
"25","25.F02","d.t",3.57341705447815,1.00135036901722,4100
"25","25.F02","tmax",40.8479628115456,1.00266411547427,1600
"11","11.G02","a",0.0526777431941737,1.00512146619013,6000
"11","11.G02","b",-1.32088354737548,1.00067818866933,6000
"11","11.G02","d.t",2.57600925373382,1.00085003272509,6000
"11","11.G02","tmax",40.6692845435462,1.00083640356714,6000
"28","28.B02","a",0.0645033707088881,1.01107164681713,4400
"28","28.B02","b",-1.59697270142554,1.00066082897819,6000
"28","28.B02","d.t",3.98089033944517,1.00118472968109,5100
"28","28.B02","tmax",40.9883251823368,1.00141343727438,4300
"21","21.C02","a",0.0656860763187439,1.02546571906805,6000
"21","21.C02","b",-1.41211737046268,1.00083270100664,6000
"21","21.C02","d.t",4.5416125936099,1.00219579037337,6000
"21","21.C02","tmax",40.9497825045583,1.00131681755412,4300
"18","18.D02","a",0.055418515400571,1.00392623068062,6000
"18","18.D02","b",-1.31364608561355,1.00142584421163,3800
"18","18.D02","d.t",4.50301678532271,1.00166344191684,6000
"18","18.D02","tmax",41.9310063217334,1.00075642083643,6000
"26","26.E02","a",0.0589149167375607,1.00403467437583,6000
"26","26.E02","b",-1.53564957680781,1.00069952549752,6000
"26","26.E02","d.t",4.1948613398509,1.00076072418694,6000
"26","26.E02","tmax",40.8434334248585,1.00116243615455,5300
"28","28.F02","a",0.06284355497989,1.00522401856552,6000
"28","28.F02","b",-1.51243928808118,1.00097996241697,6000
"28","28.F02","d.t",4.6102921989377,1.00113697288502,5500
"28","28.F02","tmax",41.2397521521665,1.00100217173165,6000
"27","27.G02","a",0.0478133917373785,1.00304034812239,6000
"27","27.G02","b",-1.11732003637495,1.00085628672521,6000
"27","27.G02","d.t",2.93199015356222,1.00131986469099,4300
"27","27.G02","tmax",40.6826555530946,1.00110043227255,5800
"15","15.B02","a",0.0574167810089837,1.01010228005815,2700
"15","15.B02","b",-1.4787944029082,1.00195722317877,2400
"15","15.B02","d.t",3.58101846758689,1.00148151521638,3600
"15","15.B02","tmax",41.1047344074986,1.00149047944832,3500
"10","10.C02","a",0.0505797282754745,1.01152314229139,6000
"10","10.C02","b",-1.17404557035109,1.00069440854615,6000
"10","10.C02","d.t",4.22390711298121,1.00094880406658,6000
"10","10.C02","tmax",41.6391780105733,1.00143763797597,3700
"29","29.D02","a",0.0552561442728597,1.01439193258174,6000
"29","29.D02","b",-1.38255821699965,1.00223193755043,6000
"29","29.D02","d.t",3.43250550755986,1.00169336078589,6000
"29","29.D02","tmax",41.0705270462554,1.00128392225998,4500
"anc4","anc4.E02","a",0.0579725959316761,1.0023727387371,4500
"anc4","anc4.E02","b",-1.3006959641341,1.00100539995293,6000
"anc4","anc4.E02","d.t",4.99396529519356,1.00088677446669,6000
"anc4","anc4.E02","tmax",41.3755515472363,1.00187651674189,2500
"15","15.F02","a",0.0539164617189156,1.01550652172171,3800
"15","15.F02","b",-1.3025030481888,1.00083527970069,6000
"15","15.F02","d.t",3.87209678018042,1.00165824085517,3700
"15","15.F02","tmax",41.0871342313185,1.00068154176569,6000
"19","19.B03","a",0.0597313897910634,1.00246169798169,6000
"19","19.B03","b",-1.52391912958829,1.00077420897689,6000
"19","19.B03","d.t",3.68171194681864,1.00205056083785,2300
"19","19.B03","tmax",40.7444401257192,1.00092298498596,6000
"33","33.C03","a",0.0571475796396787,1.00176267646005,6000
"33","33.C03","b",-1.35708304372313,1.00226167478389,2000
"33","33.C03","d.t",3.93240577629407,1.00130871569901,4300
"33","33.C03","tmax",40.9805679114331,1.00181126847117,2700
"8","8.D03","a",0.0558951099211536,1.00675515361379,3900
"8","8.D03","b",-1.53147987865494,1.00102436426676,6000
"8","8.D03","d.t",3.68841612971366,1.00086474481926,6000
"8","8.D03","tmax",41.0935342436026,1.00134639201401,4100
"25","25.E03","a",0.0606165644115502,1.00296530860617,6000
