curve_id,strain_id,genus_species,culture_name,ancestor_name,experiment,temperature,nitrate_level,light_level,block,replicate,day,fluorescence,absorbance,fluorescence_trunc,absorbance_trunc,comments
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,1,17,0.9005,17,0.9005,Note anything important here. 
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,2,68,0.9842,68,0.9842,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,3,49,0.9292,49,0.9292,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,4,116,0.9928,116,0.9928,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,5,210,1.019,210,1.019,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,6,409,1.1406,409,1.1406,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,7,456,1.2911,NA,NA,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,8,494,1.283,NA,NA,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,9,518,1.5487,NA,NA,
1,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,1,10,371,1.7281,NA,NA,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,1,15,0.8876,NA,NA,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,2,20,0.8988,NA,NA,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,3,25,0.9061,25,0.9061,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,4,36,0.9304,36,0.9304,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,5,47,0.9236,47,0.9236,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,6,137,0.9605,137,0.9605,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,7,227,1.0176,227,1.0176,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,8,320,1.0951,320,1.0951,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,9,523,1.3135,523,1.3135,
2,1,Synechococcus,CCAP_1479/10,,nitrate,25,1000,140.6,1,2,10,519,1.5318,NA,NA,
3,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,1000,140.6,1,1,1,352,0.929,352,0.929,
3,2,Kirchneriella_subcapitata,SAG_12.81,,nitrate,25,1000,140.6,1,1,2,898,0.999,898,0.999,
