"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"1",1,"Akashiwo sanguinea","Thomas et al. (1973)","a",0.0203862344776752,0.0027258617218227,2.97295792108171e-06
"2",1,"Akashiwo sanguinea","Thomas et al. (1973)","b",-1.21009891982731,0.0411527929623165,5.49974236312875e-14
"3",1,"Akashiwo sanguinea","Thomas et al. (1973)","tmax",34.5506623595851,0.762522122094589,1.37340795817136e-16
"4",1,"Akashiwo sanguinea","Thomas et al. (1973)","delta_t",3.8931711612096,0.839991333793889,0.000386080445143167
"5",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","a",0.0510039082704227,0.379927144767964,0.915043925617639
"6",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","b",-0.731915647364616,5.54651325756302,0.916474500370297
"7",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","tmax",30.4612820500238,34.3547412675027,0.538195467170941
"8",3,"Alexandrium fundyense strain BoF","Etheridge & Roesler (2005)","delta_t",11.224533183295,16.839251098245,0.625708690912722
"9",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","a",0.0921352884600269,0.165444172296714,0.67651907947851
"10",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","b",-0.538224419466906,1.9180405678468,0.825836272685139
"11",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","tmax",26.6983070498851,8.45486939157296,0.195244996341991
"12",4,"Alexandrium fundyense strain MI","Etheridge & Roesler (2005)","delta_t",8.75049916695131,4.96913542581309,0.328787677626604
"13",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","a",0.111921190393201,0.0163639136162173,0.000480138249614642
"14",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","b",-0.354074889938215,0.118758487643455,0.0245898369543159
"15",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","tmax",29.0259040251572,0.90022688411789,5.91752346542845e-08
"16",7,"Alexandrium ostenfeldii clone LF-37","Jensen & Moestrup (1997)","delta_t",8.41927443268759,0.939675153820034,0.000107963142493821
"17",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","a",0.0534466559031483,0.228329411614147,0.822707853682697
"18",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","b",-0.865458461194685,3.20255435741606,0.796030489686788
"19",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","tmax",31.5187606140373,14.7284809176174,0.0761517189386051
"20",8,"Alexandrium tamarense clone GTMP","Watras et al. (1982)","delta_t",10.2646387844043,14.208670770695,0.497214966101471
"21",9,"Amphiprora sp.","Hulburt (1982)","a",0.161187647303436,0.0265440370883244,0.00896442698907809
"22",9,"Amphiprora sp.","Hulburt (1982)","b",-0.219542137852448,0.185388033349541,0.32159975425718
"23",9,"Amphiprora sp.","Hulburt (1982)","tmax",34.4907587756374,0.504066239870435,6.87846455649402e-06
"24",9,"Amphiprora sp.","Hulburt (1982)","delta_t",6.13446732696384,0.94125784225711,0.00733887692803236
"25",11,"Asterionellopsis glacialis","Hulburt (1982)","a",0.0308898270028273,0.00317288128201922,2.55211133923357e-05
"26",11,"Asterionellopsis glacialis","Hulburt (1982)","b",-0.866993602134461,0.135514892958856,0.000368060765225227
"27",11,"Asterionellopsis glacialis","Hulburt (1982)","tmax",34.6811757527485,0.0962236124341301,3.34208360325131e-16
"28",11,"Asterionellopsis glacialis","Hulburt (1982)","delta_t",0.502385425308275,0.174793729947882,0.0238497140973844
"29",12,"Asterionellopsis glacialis","Hulburt (1982)","a",0.0155551217943891,0.0110308060195278,0.20134722646198
"30",12,"Asterionellopsis glacialis","Hulburt (1982)","b",-0.422063719000532,0.19125532337224,0.063093823141549
"31",12,"Asterionellopsis glacialis","Hulburt (1982)","tmax",27.8698778796844,0.565755393545858,3.71825069519422e-10
"32",12,"Asterionellopsis glacialis","Hulburt (1982)","delta_t",1.12572984141518,1.2329516275574,0.391584597456322
"33",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","a",0.0431632166386344,0.0042700873152193,0.00053904540063334
"34",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","b",-0.541154246543728,0.122524502479565,0.0115403890288715
"35",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","tmax",30.3160992345761,0.169549977723607,5.86892234216124e-09
"36",13,"Asterionellopsis glacialis","Karentz & Smayda (1984) from Teng (unpubl.)","delta_t",1.75399948624338,0.479928065295421,0.0216811177434654
"37",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","a",0.0849088773947035,0.126283771160863,0.570623151258554
"38",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","b",-0.945456533356779,1.68037299333799,0.630331007213157
"39",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","tmax",28.4178253533758,5.59603284554348,0.0366584062997269
"40",14,"Calcidiscus leptoporus strain N482-1","Buitenhuis et al. (2008)","delta_t",8.33537039125415,0.527433740464037,0.00398003793773862
"41",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","a",0.0597821167454316,7.16783536781609,0.994102598222947
"42",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","b",-1.05958471828005,77.094786250874,0.990282038559233
"43",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","tmax",29.3082011642822,197.123283738166,0.895443912933802
"44",15,"Calcidiscus leptoporus strain NS10-2","Buitenhuis et al. (2008)","delta_t",8.24904040888352,534.670456910851,0.98909121448483
"45",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","a",0.00446304218295455,0.00212117523412264,0.0734315985801231
"46",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","b",-0.988561932894081,0.0474764317642825,1.48064413084401e-07
"47",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","tmax",30.7770318772581,1239544.06317304,0.999980881850827
"48",16,"Calciodinellum albatrosianum Geob*26/5","Meier et al. (2004)","delta_t",0.1,328616.26476601,0.999999765689351
"49",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","a",0.0223207105433715,0.0130322527185158,0.107350033429993
"50",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","b",-0.685883261939534,0.0945326345157786,2.80613817931603e-06
"51",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","tmax",17.0823866295794,0.656144991224763,6.71438808134994e-14
"52",17,"Chaetoceros deflandrei","Fiala & Oriol (1990)","delta_t",1.54765704102307,0.87825343562387,0.0983952106990637
"53",18,"Chaetoceros didymus","Hulburt (1982)","a",0.0693242862825232,0.940796754458683,0.944116681673347
"54",18,"Chaetoceros didymus","Hulburt (1982)","b",-1.2086089431926,10.9225438585426,0.916196110266096
"55",18,"Chaetoceros didymus","Hulburt (1982)","tmax",36.1825092454789,13.4226096469312,0.0430076567743621
"56",18,"Chaetoceros didymus","Hulburt (1982)","delta_t",7.95132021490408,73.5410018128686,0.918104540921877
"57",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","a",0.178527097759554,0.0816067632544589,0.0803342097033015
