Date_Time,Day,well_id,RFU,Time,plate,Pop_ID,species,temperature,level_of_resource,value_resource,well_number,replicate,phylum,species_updated,Time_days,time_diff
2022-03-16T08:42:02Z,Day0,A3,28,0:06:28,1,1_A3,Eudorina,15,N1,0.5,17,1,chlorophyta,Eudorina elegans,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A4,11,0:06:28,1,1_A4,Asterionella (C),15,N1,0.5,25,1,diatoms,Asterionella formosa,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A5,7,0:06:28,1,1_A5,Navicula,15,N1,0.5,33,4,diatoms,Fistulifera saprophila,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A7,28,0:06:28,1,1_A7,Cyclotella (G),15,N1,0.5,49,2,diatoms,Cyclotella pseudostelligera,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A8,9,0:06:28,1,1_A8,Tetraedron,15,N1,0.5,57,1,chlorophyta,Tetraedron minumum,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A9,10,0:06:28,1,1_A9,Nitzschia p. (G),15,N1,0.5,65,2,diatoms,Nitzschia paela (G),0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A10,12,0:06:28,1,1_A10,Eudorina,15,N1,0.5,73,3,chlorophyta,Eudorina elegans,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,A11,14,0:06:28,1,1_A11,Coelastrum,15,N1,0.5,81,4,chlorophyta,Coelastrum sp.,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,B2,17,0:06:28,1,1_B2,Lagerheimia,15,N1,0.5,10,4,chlorophyta,Lagerheimia subsalsa,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,B3,6,0:06:28,1,1_B3,Nitzschia (C),15,N1,0.5,18,4,diatoms,Nitzschia paela (C ),0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,B4,16,0:06:28,1,1_B4,Fragilaria (C),15,N1,0.5,26,1,diatoms,Fragilaria crotonensis,0.004490741,0.003333333
2022-03-16T08:42:02Z,Day0,B5,11,0:06:28,1,1_B5,Cyclotella (G),15,N1,0.5,34,4,diatoms,Cyclotella pseudostelligera,0.004490741,0.003333333
