SpeciesName,SpeciesNb,Temperature_fact,Temperature_c,Phosphate_fact,Phosphate_c,Replicate,id_STR,LOG10N0,lag,LOG10Nmax,mu
Ankistrodesmus,1,T15,15,P0.01,0.01,1,1:15:01,2.699199862,5,4.111113398,0.652075388
Ankistrodesmus,1,T15,15,P0.01,0.01,3,1:15:03,2.131553131,0.930979384,4.148724616,0.418385225
Ankistrodesmus,1,T15,15,P00.1,0.1,1,1:15:01,2.289616907,4.999999972,4.639754506,0.744082989
Ankistrodesmus,1,T15,15,P00.1,0.1,2,1:15:02,2.527899906,4.999999953,4.711349861,0.767303026
Ankistrodesmus,1,T15,15,P00.1,0.1,3,1:15:03,2,3.468277043,4.717937564,0.694041808
Ankistrodesmus,1,T15,15,P00.5,0.5,1,1:15:01,2.515650219,5,5.629156122,0.762976214
Ankistrodesmus,1,T15,15,P00.5,0.5,2,1:15:02,2.00000001,1.234836335,5.687288435,0.599606585
Ankistrodesmus,1,T15,15,P02,2,1,1:15:01,2.000000005,1.948245783,4.83932935,0.577954129
Ankistrodesmus,1,T15,15,P02,2,2,1:15:02,2.301029996,2.891090587,4.780181651,0.625254081
Ankistrodesmus,1,T15,15,P02,2,3,1:15:03,2.208869319,2.999999999,4.978563019,0.661596693
Ankistrodesmus,1,T15,15,P04,4,1,1:15:01,2.210046177,2.998975225,3.813836222,0.246174053
Ankistrodesmus,1,T15,15,P04,4,2,1:15:02,2.263320352,2.999999965,3.910304881,0.202828484
Ankistrodesmus,1,T15,15,P04,4,3,1:15:03,2.200686664,5.497471054,4.267394752,0.354635371
Ankistrodesmus,1,T15,15,P08,8,1,1:15:01,2.01962478,0.775273325,5.940297116,0.519921152
Ankistrodesmus,1,T15,15,P08,8,2,1:15:02,2,2.281669289,5.715406132,0.744015523
Ankistrodesmus,1,T15,15,P08,8,3,1:15:03,2.290983358,2.99999996,5.741289164,0.743290209
Ankistrodesmus,1,T15,15,P20,20,1,1:15:01,2.358519034,3.00013815,5.182860442,0.43355642
Ankistrodesmus,1,T15,15,P20,20,2,1:15:02,2.215339361,2.999999986,5.177365175,0.565358903
Ankistrodesmus,1,T15,15,P20,20,3,1:15:03,2.00000001,2.257632477,5.252516227,0.498157808
Ankistrodesmus,1,T15,15,P30,30,1,1:15:01,2.301030005,2.778601891,6.07096797,0.925666578
Ankistrodesmus,1,T15,15,P30,30,2,1:15:02,2.602059989,2.517762933,6.072874006,0.835306147
Ankistrodesmus,1,T15,15,P30,30,3,1:15:03,2.301029998,2.835859986,6.081736641,0.817280448
Ankistrodesmus,1,T15,15,P40,40,1,1:15:01,2.477121255,2.593338088,5.994010916,0.810854138
Ankistrodesmus,1,T15,15,P40,40,2,1:15:02,2.000000005,2.277215803,5.855248635,1.119239704
Ankistrodesmus,1,T15,15,P40,40,3,1:15:03,2.301029999,2.965250588,6.063545765,0.923107287
Ankistrodesmus,1,T15,15,P50,50,1,1:15:01,2.602059992,2.562097235,4.870566088,0.778957068
Ankistrodesmus,1,T15,15,P50,50,2,1:15:02,2.303055528,2.999999999,4.815729008,1.036628061
Ankistrodesmus,1,T15,15,P50,50,3,1:15:03,2.4327872,3,4.884282965,0.781620905
Ankistrodesmus,1,T20,20,P0.01,0.01,1,1:20:01,3,1.867440566,3.580166194,0.426450661
Ankistrodesmus,1,T20,20,P0.01,0.01,2,1:20:02,2.359699671,0.999999992,3.430975178,0.574147065
Ankistrodesmus,1,T20,20,P0.01,0.01,3,1:20:03,3,0.999999999,3.540795367,0.311045005
Ankistrodesmus,1,T20,20,P00.1,0.1,1,1:20:01,3,2.372325616,3.815369707,0.714494217
Ankistrodesmus,1,T20,20,P00.1,0.1,2,1:20:02,3,2.629423881,3.745362179,0.368326434
Ankistrodesmus,1,T20,20,P00.1,0.1,3,1:20:03,2.079447892,0.062043931,3.88403736,0.596330148
Ankistrodesmus,1,T20,20,P00.5,0.5,1,1:20:01,3,2.481513743,5.419208918,1.142461937
Ankistrodesmus,1,T20,20,P00.5,0.5,2,1:20:02,3,2.264869977,5.447607178,0.872399169
Ankistrodesmus,1,T20,20,P00.5,0.5,3,1:20:03,2.102448821,0.305886405,5.508338485,0.878311638
Ankistrodesmus,1,T20,20,P01,1,3,1:20:03,2.120411998,9.581423092,4.879612705,0.87051593
Ankistrodesmus,1,T20,20,P02,2,1,1:20:01,2.000000809,0.790886544,5.243784284,0.636868099
Ankistrodesmus,1,T20,20,P02,2,2,1:20:02,2.301029994,1.40221371,6.332732395,0.903063225
Ankistrodesmus,1,T20,20,P02,2,3,1:20:03,2.109067526,0.970099762,6.288479806,0.921059072
Ankistrodesmus,1,T20,20,P04,4,1,1:20:01,2.389075621,3.648784348,4.295647364,0.454809748
Ankistrodesmus,1,T20,20,P04,4,2,1:20:02,2.000000009,3.463879896,4.897173636,0.586901142
Ankistrodesmus,1,T20,20,P04,4,3,1:20:03,2.45892864,10.99999998,3.931342034,1.557654086
Ankistrodesmus,1,T20,20,P06,6,1,1:20:01,2.100343332,12.95394568,4.704150517,0.823884561
Ankistrodesmus,1,T20,20,P08,8,1,1:20:01,2.477121249,2.072105143,5.753805538,0.818010133
Ankistrodesmus,1,T20,20,P08,8,2,1:20:02,2.009265541,1.259004736,5.388622454,0.79881538
Ankistrodesmus,1,T20,20,P08,8,3,1:20:03,2.301029995,1.694869496,5.510902094,0.797588919
Ankistrodesmus,1,T20,20,P10,10,1,1:20:01,2.424114787,10.71854624,5.118154233,0.777067651
Ankistrodesmus,1,T20,20,P10,10,2,1:20:02,2,10.46425999,4.556838006,0.64654623
Ankistrodesmus,1,T20,20,P10,10,3,1:20:03,2.200686664,11.75763269,5.359423746,1.011138146
Ankistrodesmus,1,T20,20,P20,20,1,1:20:01,2.602059994,2.413562975,5.66335835,0.678065784
Ankistrodesmus,1,T20,20,P20,20,2,1:20:02,2.477121255,3.216470312,5.354769272,0.652775836
Ankistrodesmus,1,T20,20,P20,20,3,1:20:03,2.301029997,1.151430598,4.964927453,0.532341866
Ankistrodesmus,1,T20,20,P30,30,1,1:20:01,2.29947149,0.678536404,5.940342124,0.797871524
Ankistrodesmus,1,T20,20,P30,30,2,1:20:02,2.084602281,0.371949275,5.997847746,0.792300713
Ankistrodesmus,1,T20,20,P30,30,3,1:20:03,2.251399044,0.561255717,5.953855314,0.816690237
Ankistrodesmus,1,T20,20,P40,40,1,1:20:01,2.309811647,0.349658219,5.578358244,0.76288714
Ankistrodesmus,1,T20,20,P40,40,2,1:20:02,2.082639683,0.260092122,3.890613031,0.850299358
Ankistrodesmus,1,T20,20,P40,40,3,1:20:03,2.301029996,1.21993264,3.852287718,0.904144386
Ankistrodesmus,1,T25,25,P0.01,0.01,1,1:25:01,2.610080712,0.840053588,3.093378779,0.077760659
Ankistrodesmus,1,T25,25,P0.01,0.01,2,1:25:02,2.650301249,6.975094061,2.897926871,0.281583
Ankistrodesmus,1,T25,25,P0.01,0.01,3,1:25:03,2.851261221,0.007177882,2.985651181,0.017198212
Ankistrodesmus,1,T25,25,P00.1,0.1,1,1:25:01,2.898444144,13.83627868,3.245811839,0.192098271
Ankistrodesmus,1,T25,25,P00.1,0.1,2,1:25:02,2.899217787,0,3.22417619,0.083138265
Ankistrodesmus,1,T25,25,P00.1,0.1,3,1:25:03,3,0.999999999,3.173943415,0.099274384
Ankistrodesmus,1,T25,25,P00.5,0.5,1,1:25:01,2.078700657,0.17426603,5.22908149,0.933733861
