"","Sp.id","light","temp","id","r.exp"
"1","Synechococcus",0.15,15,"2.1",0.0721699391896985
"2","Synechococcus",0.15,15,"2.2",0.368037946938248
"3","Synechococcus",0.15,20,"2.3",-0.0330619753142789
"4","Synechococcus",0.15,20,"2.4",-0.0120679502993388
"5","Synechococcus",0.15,20,"1.1",0.00108708112707361
"6","Synechococcus",0.15,20,"1.2",-0.0122192014872065
"7","Synechococcus",0.15,25,"1.1",0.0354178405057699
"8","Synechococcus",0.15,25,"1.2",0.0823269759608592
"9","Synechococcus",0.15,30,"2.1",0.109191872172768
"10","Synechococcus",0.15,30,"2.2",0.125832286226
"11","Synechococcus",0.15,35,"2.1",0.203787529260641
"12","Synechococcus",0.15,35,"2.2",0.536911160815265
"13","Synechococcus",0.95,15,"2.1",0.0473617608473173
"14","Synechococcus",0.95,15,"2.2",0.143753802627785
"15","Synechococcus",0.95,20,"2.3",0.0109286991178723
"16","Synechococcus",0.95,20,"2.4",0.430093497273499
"17","Synechococcus",0.95,20,"1.1",0.0763413373013307
"18","Synechococcus",0.95,20,"1.2",0.0113493647050851
"19","Synechococcus",0.95,25,"1.1",-0.0212159526532381
"20","Synechococcus",0.95,25,"1.2",0.153147909300484
"21","Synechococcus",0.95,30,"2.1",0.821238716249843
"22","Synechococcus",0.95,30,"2.2",-0.0261417429820929
"23","Synechococcus",0.95,35,"2.1",-0.187178757754333
"24","Synechococcus",0.95,35,"2.2",0.824371639995404
"25","Synechococcus",3.6,15,"2.1",0.296359467649257
"26","Synechococcus",3.6,15,"2.2",0.216279928778238
"27","Synechococcus",3.6,20,"2.3",-0.104122022652193
"28","Synechococcus",3.6,20,"2.4",0.0406491129328782
"29","Synechococcus",3.6,20,"1.1",0.0353393212525849
"30","Synechococcus",3.6,20,"1.2",0.000930496531507481
"31","Synechococcus",3.6,25,"1.1",-0.0205283352961388
"32","Synechococcus",3.6,25,"1.2",0.0735218811717139
"33","Synechococcus",3.6,30,"2.1",-0.148260592199245
"34","Synechococcus",3.6,30,"2.2",0.320955511387165
"35","Synechococcus",3.6,35,"2.1",-0.0309848134711192
"36","Synechococcus",3.6,35,"2.2",0.147895165841712
"37","Synechococcus",6.8,15,"2.1",0.038304333858788
"38","Synechococcus",6.8,15,"2.2",0.0191425058540587
"39","Synechococcus",6.8,20,"2.3",0.0167855266648754
"40","Synechococcus",6.8,20,"2.4",0.0610359158583813
"41","Synechococcus",6.8,20,"1.1",0.0562807209535544
"42","Synechococcus",6.8,20,"1.2",0.059741340557264
"43","Synechococcus",6.8,25,"1.1",0.116077861621923
"44","Synechococcus",6.8,25,"1.2",0.0666899437389879
"45","Synechococcus",6.8,30,"2.1",-0.033475713505215
"46","Synechococcus",6.8,30,"2.2",0.0609179976740444
"47","Synechococcus",6.8,35,"2.1",0.0131802700236395
"48","Synechococcus",6.8,35,"2.2",-0.132480107707802
"49","Synechococcus",18.7,15,"2.1",0.176706736773414
"50","Synechococcus",18.7,15,"2.2",0.0755938005810012
"51","Synechococcus",18.7,20,"2.3",0.128801350115862
"52","Synechococcus",18.7,20,"2.4",0.162571280649647
"53","Synechococcus",18.7,20,"1.1",0.231940888060436
"54","Synechococcus",18.7,20,"1.2",0.278391547424703
"55","Synechococcus",18.7,25,"1.1",0.365711179475096
"56","Synechococcus",18.7,25,"1.2",0.333479585328042
"57","Synechococcus",18.7,30,"2.1",0.352721873662397
"58","Synechococcus",18.7,30,"2.2",0.337005713024975
"59","Synechococcus",18.7,35,"2.1",0.0117018413591978
"60","Synechococcus",18.7,35,"2.2",0.289103462657748
"61","Synechococcus",29.3,15,"2.1",0.228572292987427
"62","Synechococcus",29.3,15,"2.2",0.372332222627025
"63","Synechococcus",29.3,20,"2.3",0.224232590427201
"64","Synechococcus",29.3,20,"2.4",0.461240245359756
"65","Synechococcus",29.3,20,"1.1",0.579555705164221
"66","Synechococcus",29.3,20,"1.2",0.322029130280772
"67","Synechococcus",29.3,25,"1.1",0.884372118830074
"68","Synechococcus",29.3,25,"1.2",0.41037825042966
"69","Synechococcus",29.3,30,"2.1",0.374863986649083
"70","Synechococcus",29.3,30,"2.2",0.218793904287218
"71","Synechococcus",29.3,35,"2.1",-0.0784223396236105
"72","Synechococcus",29.3,35,"2.2",-0.0163875983484364
"73","Synechococcus",49.2,15,"2.1",0.186662899164189
"74","Synechococcus",49.2,15,"2.2",0.19185612447672
"75","Synechococcus",49.2,20,"2.3",0.314362458847364
"76","Synechococcus",49.2,20,"2.4",0.453456991639601
"77","Synechococcus",49.2,20,"1.1",0.428300213043977
"78","Synechococcus",49.2,20,"1.2",0.427299572481455
"79","Synechococcus",49.2,25,"1.1",0.759246013878306
"80","Synechococcus",49.2,25,"1.2",0.503991747094833
"81","Synechococcus",49.2,30,"2.1",0.671652037891691
"82","Synechococcus",49.2,30,"2.2",0.444921742409465
"83","Synechococcus",49.2,35,"2.1",-0.0193828669384866
"84","Synechococcus",49.2,35,"2.2",0.103233149584295
"85","Synechococcus",77.3,15,"2.1",0.442173078603511
"86","Synechococcus",77.3,15,"2.2",0.211941898095704
"87","Synechococcus",77.3,20,"2.3",1.06121359687426
"88","Synechococcus",77.3,20,"2.4",0.881182936771675
"89","Synechococcus",77.3,20,"1.1",0.545836443168156
"90","Synechococcus",77.3,20,"1.2",0.447122167980845
"91","Synechococcus",77.3,25,"1.1",0.822945837623636
"92","Synechococcus",77.3,25,"1.2",0.320633782656771
"93","Synechococcus",77.3,30,"2.1",0.483897399733671
"94","Synechococcus",77.3,30,"2.2",0.778237623252558
"95","Synechococcus",77.3,35,"2.1",-0.188301900799963
"96","Synechococcus",77.3,35,"2.2",-0.00883625364005571
"97","Synechococcus",105.5,15,"2.1",0.267340122437573
"98","Synechococcus",105.5,15,"2.2",0.247335312750248
"99","Synechococcus",105.5,20,"2.3",0.531237869646261
"100","Synechococcus",105.5,20,"2.4",1.12974722784091
"101","Synechococcus",105.5,20,"1.1",0.482780934369127
"102","Synechococcus",105.5,20,"1.2",0.483038505622361
"103","Synechococcus",105.5,25,"1.1",0.635435978405374
"104","Synechococcus",105.5,25,"1.2",0.606365989916448
"105","Synechococcus",105.5,30,"2.1",1.09107146537375
"106","Synechococcus",105.5,30,"2.2",0.455929857444673
"107","Synechococcus",105.5,35,"2.1",0.55512850640478
"108","Synechococcus",105.5,35,"2.2",NA
"109","Synechococcus",140.6,15,"2.1",0.278776429944095
"110","Synechococcus",140.6,15,"2.2",0.31299263089129
"111","Synechococcus",140.6,20,"1.1",0.46917102081579
"112","Synechococcus",140.6,20,"1.2",0.44984325212717
"113","Synechococcus",140.6,20,"2.3",0.472683412788844
"114","Synechococcus",140.6,20,"2.4",0.932781011964775
"115","Synechococcus",140.6,25,"1.1",0.575508727647948
"116","Synechococcus",140.6,25,"1.2",0.470152056293774
"117","Synechococcus",140.6,30,"2.1",0.0776250871486875
"118","Synechococcus",140.6,30,"2.2",0.10935183832462
"119","Synechococcus",140.6,35,"2.1",NA
"120","Synechococcus",140.6,35,"2.2",-0.0731163827335346
"121","Kirchneriella_subcapitata",0.15,15,"2.1",-0.221740091854738
"122","Kirchneriella_subcapitata",0.15,15,"2.2",-0.22671668386492
"123","Kirchneriella_subcapitata",0.15,20,"2.3",0.409701374128311
"124","Kirchneriella_subcapitata",0.15,20,"2.4",0.0243910016552523
"125","Kirchneriella_subcapitata",0.15,20,"1.2",-0.0313509647136082
"126","Kirchneriella_subcapitata",0.15,20,"1.1",0.0225510463658733
