"","Sp.id","Sp.name","Parameter","mean","Rhat","n.eff"
"1",1,"Ankistrodesmus","K_s",0.183853416446964,1.00094946669774,3000
"2",1,"Ankistrodesmus","deviance",9.50333225564299,1.00072664622296,3000
"3",1,"Ankistrodesmus","r_max",1.27558681031316,1.00050425284486,3000
"4",1,"Ankistrodesmus","sigma",0.297503507238331,1.00125826509119,2600
"5",2,"Chlamydomonas","K_s",0.795309672863275,1.00136612238556,2300
"6",2,"Chlamydomonas","deviance",47.8310738443809,1.00065031091168,3000
"7",2,"Chlamydomonas","r_max",1.82395268977605,1.0005563826362,3000
"8",2,"Chlamydomonas","sigma",0.509272737782744,1.00080562112655,3000
"9",3,"Chlorella","K_s",0.87511752709596,1.00056069579867,3000
"10",3,"Chlorella","deviance",66.140721799915,1.00093044813378,3000
"11",3,"Chlorella","r_max",2.22935256270837,1.00067755448415,3000
"12",3,"Chlorella","sigma",0.619251221871267,1.00081842624652,3000
"13",4,"Monoraphidium","K_s",0.481614426329271,1.00075458359284,3000
"14",4,"Monoraphidium","deviance",72.0094478894089,1.00081191859132,3000
"15",4,"Monoraphidium","r_max",1.8199043857097,1.00085252428468,3000
"16",4,"Monoraphidium","sigma",0.694856248959214,1.00086400773597,3000
"17",5,"Scenedesmus","K_s",2.00383878048482,1.00080482564166,3000
"18",5,"Scenedesmus","deviance",59.6243320410126,1.00054212146372,3000
"19",5,"Scenedesmus","r_max",1.46112053659496,1.00193391246183,1400
"20",5,"Scenedesmus","sigma",0.671134281241887,1.00093017929496,3000
"21",6,"Raphidocelis","K_s",6.37771942938435,1.00270277419453,3000
"22",6,"Raphidocelis","deviance",26.2848097737148,1.00151769693299,2000
"23",6,"Raphidocelis","r_max",2.09731977625107,1.00064678593815,3000
"24",6,"Raphidocelis","sigma",0.430496290247046,1.00140949061841,2200
