"","Species","dataset","r.max","R","comp"
"1","Ceratium furca","Edwards et al., 2016",0.618343430733337,13.4983767547505,0.0740829818406179
"2","Ceratium fusus","Edwards et al., 2016",0.718048659403383,14.0567847832664,0.0711400235130888
"3","Micractinium pusillum","Edwards et al., 2016",0.633620515833509,5.17248106975248,0.193330818714403
"4","Chroococcus minutus","Edwards et al., 2016",1.57048770183771,1.73779611380331,0.575441498606771
"5","Microcystis flos-aquae","Edwards et al., 2016",2.14979466207582,1.93254653256282,0.517451964623001
"6","Planktothrix agardhii","Edwards et al., 2016",2.00012863830328,0.780573772576243,1.28110889083495
"7","Coelastrum microporum f. astroidea","Edwards et al., 2016",1.64603253294639,5.32113946485726,0.187929673071785
"8","Cosmarium subprotumidum","Edwards et al., 2016",1.11276051926731,8.89218755899964,0.112458266693657
"9","Selenastrum minutum","Edwards et al., 2016",1.73765478087285,5.11627640236115,0.195454647356132
"10","Asterionella formosa","Edwards et al., 2016",1.22202914563368,3.45501528136681,0.289434320419098
"11","Anabaena cylindrica","Edwards et al., 2016",0.602659244027723,0.961454065905041,1.04009129032979
"12","Coelastrum microporum","Edwards et al., 2016",2.19577901447131,2.39987780991586,0.416687881303032
"13","Dictyosphaerium pulchellum","Edwards et al., 2016",1.57887463988679,2.62217443764282,0.381362881753565
"14","Fragilaria bidens","Edwards et al., 2016",0.992931425677718,2.25778629811064,0.442911714380063
"15","Monoraphidium minutum","Edwards et al., 2016",1.97804388509468,4.69995298694725,0.212768085718561
"16","Pediastrum boryanum","Edwards et al., 2016",1.36213510973744,3.73502298659099,0.267735969387625
"17","Scenedesmus crassus","Edwards et al., 2016",1.99774566241598,3.22271653754041,0.310297225446705
"18","Scenedesmus quadricauda","Edwards et al., 2016",1.95113326824569,3.1076075783158,0.321790951656116
"19","Chlorella vulgaris","Edwards et al., 2016",1.24429776304151,2.08040639306033,0.480675315811242
"20","Fragilaria crotonensis","Edwards et al., 2016",0.689270369202464,6.54644198546898,0.152754733368092
"21","Staurastrum pingue","Edwards et al., 2016",0.991185650455919,9.61222301121874,0.104034207158205
"22","Synechocystis minima","Edwards et al., 2016",2.08548595526495,2.48815971670906,0.401903460330368
"23","Acutodesmus obliquus","Edwards et al., 2016",1.96749054715822,1.30328682203986,0.767290808967771
"24","Phaeodactylum tricornutum","Edwards et al., 2016",1.88783624424701,2.35668760256089,0.424324377534533
"25","Chaetoceros deflandrei","Edwards et al., 2016",0.677855382458851,9.89557034553518,0.101055317185552
"26","Corethron criophilum","Edwards et al., 2016",0.212420811878853,29.5581948914139,0.0338315652790584
"27","Nitzschia cylindrus","Edwards et al., 2016",0.575573523300481,14.1280553196471,0.0707811498026452
"28","Nitzschia kerguelensis","Edwards et al., 2016",0.604800717046671,6.05037744029974,0.165278944969499
"29","Nitzschia turgiduloides","Edwards et al., 2016",0.545703576600519,6.93763087763923,0.144141424880807
"30","Stellarima microtrias","Edwards et al., 2016",0.700699076953377,7.26845377575713,0.13758084330609
"31","Synedra sp.","Edwards et al., 2016",0.45393226826155,8.44257297878571,0.118447303033421
"32","Fragilaria crotonensis","Edwards et al., 2016",0.598746266295745,4.66652893813868,0.214292038741512
"33","Synura sphagnicola","Edwards et al., 2016",1.06007265755582,8.39495200794182,0.119119203904201
"34","Rhodomonas salina","Edwards et al., 2016",1.76125115933602,0.623744687252186,1.60322006814254
"35","Dactyliosolen fragilissimus","Edwards et al., 2016",1.01616836127418,2.30059265233372,0.434670604978939
"36","Rhizosolenia fragilissima","Edwards et al., 2016",0.978461792790129,1.996285674732,0.50093030905221
"37","Fragilaria barbararum","Edwards et al., 2016",1.14825141626766,0.322871544580402,3.09720697529905
"38","Coscinodiscus granii","Edwards et al., 2016",1.60579447843546,4.57817371962968,0.218427709659058
"39","Coscinodiscus wailesii","Edwards et al., 2016",1.57591989433315,6.30281140131021,0.1586593563298
"40","Cryptomonas sp. 1","Edwards et al., 2016",0.737462667317808,11.7377641763987,0.0851951006147078
"41","Cryptomonas sp. 2","Edwards et al., 2016",1.43815847704832,6.26189905442377,0.159695963047111
"42","Thalassiosira curviseriata","Edwards et al., 2016",1.90882836786678,1.62632233154786,0.614884257936891
"43","Microcystis ichthyoblabe","Edwards et al., 2016",1.41959384254007,2.68839630174285,0.371968968768375
"44","Nannochloropsis oceanica","Edwards et al., 2016",2.02809764253906,1.19121290075661,0.839480498712565
"45","Pseudochattonella farcimen","Edwards et al., 2016",0.846301794699107,8.22846795198266,0.121529306042816
"46","Ankistrodesmus falcatus","Edwards et al., 2016",1.60811224158151,3.25406901064332,0.307307557623771
"47","Planktothrix agardhii","Edwards et al., 2016",0.528757665988221,4.24272597877633,0.235697522065381
"48","Closterium parvulum","Edwards et al., 2016",0.401354871264113,5.53396448501719,0.180702280021389
"49","Monoraphidium contortum","Edwards et al., 2016",0.885690506336415,5.20415848295791,0.192154025146372
"50","Oocystella mongolica","Edwards et al., 2016",0.346457372477592,13.1175865141088,0.0762335357136342
"51","Pseudodidymocystis planctonica","Edwards et al., 2016",0.795923360851065,9.52292045464033,0.105009802902714
"52","Leptocylindricus danicus","Edwards et al., 2016",2.28111141108568,0.962558369370425,1.03889803654615
"53","Phaeocystis pouchetii","Edwards et al., 2016",1.86153804359234,4.36872833178595,0.228899561623965
"54","Ochromonas sp.","Edwards et al., 2016",0.442361313950596,15.7862501548364,0.0633462659080967
"55","Chaetoceros calcitrans","Edwards et al., 2016",2.01322304679692,2.58020958538211,0.387565415486164
"56","Cylindrotheca closterium","Edwards et al., 2016",0.730847306667506,7.1492027617919,0.139875736263124
"57","Diacronema lutheri","Edwards et al., 2016",0.627525170761591,8.70294061092555,0.114903691143728
"58","Tetraselmis sp.","Edwards et al., 2016",0.73538127078955,6.40744766233022,0.156068383652833
"59","Skeletonema costatum","Edwards et al., 2016",1.44272628955865,4.76050835936304,0.210061599415782
"60","Synechococcus","Lewington-Pearce et al., 2019",1.00084845658309,6.64723987710033,0.150438380213266
"61","Kirchneriella_subcapitata","Lewington-Pearce et al., 2019",0.181089624996684,26.4417261394689,0.0378190135819963
"62","Microcystis_aeruginosa","Lewington-Pearce et al., 2019",0.4899811391583,16.0471915111689,0.0623162002711812
"63","Pediastrum_boryanum","Lewington-Pearce et al., 2019",0.673601382521014,6.22336944470025,0.160684659473589
"64","Cyclotella_meneghiniana","Lewington-Pearce et al., 2019",1.23391539307458,4.86633813022813,0.205493324392796
"65","Scenedesmus_acuminatus","Lewington-Pearce et al., 2019",0.684586995563835,3.12383218872027,0.320119628580198
"66","Chlamydomonas_reinhardtii","Lewington-Pearce et al., 2019",1.08002935400008,1.75514519870845,0.569753431645351
"67","Asterionella formosa","Levasseur et al., 2025",0.761497590823568,2.25656498526358,0.443151429952368
