"","Species","dataset","r.max","R","comp"
"1","Ankistrodesmus","Bestion et al., 2018",1.27399090251242,0.0146842009327816,68.1004029145066
"2","Chlamydomonas","Bestion et al., 2018",1.81904826972375,0.0427928351811784,23.3683979050734
"3","Chlorella","Bestion et al., 2018",2.22710272354854,0.037050240748141,26.9903779248769
"4","Monoraphidium","Bestion et al., 2018",1.81197770679987,0.0245002085463569,40.8159791010716
"5","Scenedesmus","Bestion et al., 2018",1.44365682799961,0.116616532004488,8.57511351788025
"6","Raphidocelis","Bestion et al., 2018",2.10871134522681,0.322313679966655,3.102567660496
"7","Planktothrix agardhii","Edwards et al., 2015",0.54,0.00806818181818182,123.943661971831
"8","Planktothrix agardhii","Edwards et al., 2015",0.64,0.00525686981481481,190.227271214101
"9","Planktothrix agardhii","Edwards et al., 2015",0.48,0.00441426157894737,226.538455439349
"10","Scenedesmus quadricauda","Edwards et al., 2015",0.281,0.0105150596685083,95.1016952376329
"11","Scenedesmus quadricauda","Edwards et al., 2015",0.358,0.00475118798449612,210.473675902355
"12","Prymnesium parvum","Edwards et al., 2015",0.21,0.006,166.666666666667
"13","Microcystis aeruginosa","Edwards et al., 2015",0.67,0.11319298245614,8.83446993180409
"14","Anabaena flos-aquae","Edwards et al., 2015",0.89,0.0421772151898734,23.7094837935174
"15","Selenastrum capricornutum","Edwards et al., 2015",1.63,0.0109607843137255,91.2343470483005
"16","Trichodesmium erythraeum","Edwards et al., 2015",0.25,0.0933333333333334,10.7142857142857
"17","Trichodesmium erythraeum","Edwards et al., 2015",0.18,0.275,3.63636363636364
"18","Cryptomonas sp.","Edwards et al., 2015",0.49,0.00358974358974359,278.571428571429
"19","Nitzschia linearis","Edwards et al., 2015",0.56,0.0041304347826087,242.105263157895
"20","Nitzschia palea","Edwards et al., 2015",0.88,0.00602564102564103,165.957446808511
"21","Scenedesmus quadricauda","Edwards et al., 2015",0.63,0.00660377358490566,151.428571428571
"22","Sphaerocystis schroeteri","Edwards et al., 2015",0.48,0.00657894736842105,152
"23","Asterionella formosa","Edwards et al., 2015",0.67,0.012280701754386,81.4285714285714
"24","Microcystis aeruginosa","Edwards et al., 2015",0.25,0.126666666666667,7.89473684210526
"25","Diatoma elongatum","Edwards et al., 2015",0.48,0.00526315789473684,190
"26","Anabaena oscillarioides","Edwards et al., 2015",1.68,0.081867088607595,12.2149207576343
"27","Nitzschia closterium","Edwards et al., 2015",0.39,0.172413793103448,5.8
"28","Skeletonema costatum","Edwards et al., 2015",0.71,0.0885245901639344,11.2962962962963
"29","Scenedesmus obliquus","Edwards et al., 2015",0.85,0.177333333333333,5.6390977443609
"30","Scenedesmus obliquus","Edwards et al., 2015",0.97,0.110344827586207,9.0625
"31","Scenedesmus obliquus","Edwards et al., 2015",1.12,0.0245098039215686,40.8
"32","Scenedesmus obliquus","Edwards et al., 2015",0.92,0.075609756097561,13.2258064516129
"33","Alexandrium catenella","Edwards et al., 2015",0.47,0.194594594594595,5.13888888888889
"34","Eucampia zodiacus","Edwards et al., 2015",1.3,0.0241666666666667,41.3793103448276
"35","Coscinodiscus wailesii","Edwards et al., 2015",0.76,0.0590909090909091,16.9230769230769
"36","Coscinodiscus wailesii","Edwards et al., 2015",0.32,0.177272727272727,5.64102564102564
"37","Pyrocystis noctiluca","Edwards et al., 2015",0.12,0.75,1.33333333333333
"38","Volvox aureus","Edwards et al., 2015",0.31,0.10952380952381,9.1304347826087
"39","Volvox aureus","Edwards et al., 2015",0.38,0.0928571428571429,10.7692307692308
"40","Volvox aureus","Edwards et al., 2015",0.69,0.206779661016949,4.83606557377049
"41","Volvox aureus","Edwards et al., 2015",0.51,0.151219512195122,6.61290322580645
"42","Volvox aureus","Edwards et al., 2015",0.44,0.0588235294117647,17
"43","Volvox globator","Edwards et al., 2015",0.16,1.71666666666667,0.58252427184466
"44","Volvox globator","Edwards et al., 2015",0.43,0.375757575757576,2.66129032258065
"45","Volvox globator","Edwards et al., 2015",0.9,0.3575,2.7972027972028
"46","Volvox globator","Edwards et al., 2015",0.51,0.180487804878049,5.54054054054054
"47","Asterionella formosa","Edwards et al., 2015",0.61,0.00392156862745098,255
"48","Cyclotella meneghiniana","Edwards et al., 2015",0.54,0.0568181818181818,17.6
"49","Prasinomonas capsulatus","Edwards et al., 2015",0.82,0.0130555555555556,76.5957446808511
"50","Synechococcus sp.","Edwards et al., 2015",0.5,0.0035,285.714285714286
"51","Asterionella formosa","Edwards et al., 2015",0.8,0.004,250
"52","Fragilaria crotonensis","Edwards et al., 2015",0.79,0.00652173913043478,153.333333333333
"53","Stephanodiscus hantzschii","Edwards et al., 2015",1,0.0177777777777778,56.25
"54","Asterionella formosa","Edwards et al., 2015",0.44,0.00588235294117647,170
"55","Asterionella formosa","Edwards et al., 2015",0.65,0.00472727272727273,211.538461538462
"56","Asterionella formosa","Edwards et al., 2015",0.66,0.00625,160
"57","Stephanodiscus hantzschii","Edwards et al., 2015",0.52,0.0476190476190476,21
"58","Stephanodiscus hantzschii","Edwards et al., 2015",0.61,0.0627450980392157,15.9375
"59","Stephanodiscus hantzschii","Edwards et al., 2015",0.79,0.0449275362318841,22.258064516129
"60","Fragilaria crotonensis","Edwards et al., 2015",0.3,0.017,58.8235294117647
"61","Fragilaria crotonensis","Edwards et al., 2015",0.44,0.0144117647058824,69.3877551020408
"62","Fragilaria crotonensis","Edwards et al., 2015",0.6,0.01,100
"63","Karenia brevis","Edwards et al., 2015",0.17,0.257142857142857,3.88888888888889
"64","Asterionella formosa","Levasseur et al., 2025",0.450703031931457,2.51460282253317,0.397677116655988
"65","Chlorella sp.","Levasseur et al., 2025",1.14972569512771,0.77810739247869,1.2851696432474
"66","Cyclotella pseudostelligera","Levasseur et al., 2025",0.71111549259823,1.23305027970859,0.810996936991355
"67","Eudorina elegans","Levasseur et al., 2025",0.842504568810704,1.10733295526598,0.903070747822005
"68","Fistulifera saprophila","Levasseur et al., 2025",1.11517045055925,0.758088824132043,1.31910663785992
"69","Fragilaria crotonensis","Levasseur et al., 2025",0.561911211302185,1.87592391830419,0.533070659338885
"70","Lagerheimia subsalsa","Levasseur et al., 2025",0.934963592773989,0.108496878337472,9.21685504065444
"71","Messastrum gracile","Levasseur et al., 2025",1.56589855278846,0.616979225724188,1.62080011498967
