"","Species","dataset","r.max","T.br"
"1","Ankistrodesmus","Bestion et al., 2018",1.27820497754945,21.2653692713937
"2","Chlamydomonas","Bestion et al., 2018",1.83238750809681,24.6074918073051
"3","Chlorella","Bestion et al., 2018",2.89365584282206,16.4558329103984
"4","Monoraphidium","Bestion et al., 2018",1.98905865490461,15.351954515369
"5","Raphidocelis","Bestion et al., 2018",1.5585823997763,20.4840928063457
"6","Ceratium furca","Edwards et al., 2016",0.572191009573978,13.4943104483062
"7","Ceratium fusus","Edwards et al., 2016",0.470361227371232,12.2736100607313
"8","Micractinium pusillum","Edwards et al., 2016",0.604468753129496,20.0986028871391
"9","Chroococcus minutus","Edwards et al., 2016",1.36712118753909,22.2880332154871
"10","Planktothrix agardhii","Edwards et al., 2016",1.92690965551562,12.0020776494731
"11","Anabaena cylindrica","Edwards et al., 2016",0.620505783052456,9.8180945831782
"12","Fragilaria bidens","Edwards et al., 2016",0.85675294536233,20.503112773419
"13","Fragilaria crotonensis","Edwards et al., 2016",0.516122804288472,17.1060414613302
"14","Staurastrum pingue","Edwards et al., 2016",0.668730704121971,25.3139005754441
"15","Acutodesmus obliquus","Edwards et al., 2016",2.07259831659051,8.8308187687665
"16","Phaeodactylum tricornutum","Edwards et al., 2016",1.50352534828123,16.9955971302126
"17","Chaetoceros deflandrei","Edwards et al., 2016",0.589017859532198,17.5122812909821
"18","Corethron criophilum","Edwards et al., 2016",0.225726964346155,8.34841954838417
"19","Nitzschia cylindrus","Edwards et al., 2016",0.515032029733123,11.4934455579509
"20","Nitzschia kerguelensis","Edwards et al., 2016",0.493344799191631,8.76871574477232
"21","Nitzschia turgiduloides","Edwards et al., 2016",0.466617837515101,8.85511976917496
"22","Synura sphagnicola","Edwards et al., 2016",0.711049313666788,13.3794075431137
"23","Dactyliosolen fragilissimus","Edwards et al., 2016",0.938918715357632,19.7707015181557
"24","Cryptomonas sp. 1","Edwards et al., 2016",0.548508315211687,11.1805647846254
"25","Nannochloropsis oceanica","Edwards et al., 2016",1.54056363815431,17.510809726259
"26","Pseudochattonella farcimen","Edwards et al., 2016",0.540391249785783,12.9942899512455
"27","Closterium parvulum","Edwards et al., 2016",0.333638969201439,17.9628765969519
"28","Monoraphidium contortum","Edwards et al., 2016",0.588332099952738,24.7342097727593
"29","Oocystella mongolica","Edwards et al., 2016",0.22584779297095,30.6922716292403
"30","Pseudodidymocystis planctonica","Edwards et al., 2016",0.479374162300163,19.1524426791863
"31","Chaetoceros calcitrans","Edwards et al., 2016",1.36988370139899,13.1116321221478
"32","Cylindrotheca closterium","Edwards et al., 2016",0.526107007529228,21.1329020662477
"33","Diacronema lutheri","Edwards et al., 2016",0.406782715392993,14.5261900669333
"34","Tetraselmis sp.","Edwards et al., 2016",0.485343207826188,24.4772808305594
"35","Synechococcus","Lewington-Pearce et al., 2019",0.781939941782807,19.810985252349
"36","Kirchneriella_subcapitata","Lewington-Pearce et al., 2019",0.681405211374758,17.2853917857663
"37","Microcystis_aeruginosa","Lewington-Pearce et al., 2019",0.400063288169753,14.2123938806409
"38","Pediastrum_boryanum","Lewington-Pearce et al., 2019",0.63778735663113,18.6093938984788
"39","Cyclotella_meneghiniana","Lewington-Pearce et al., 2019",0.833159705827039,12.2364158052165
"40","Scenedesmus_acuminatus","Lewington-Pearce et al., 2019",0.763677889763322,18.2001786837338
"41","Asterionella formosa","Levasseur et al., 2025",0.800955945919137,27.9729016911039
"42","Chlorella sp.","Levasseur et al., 2025",0.994814568659668,32.2838050843898
"43","Coelastrum sp.","Levasseur et al., 2025",1.18529980845116,15.4449362030599
"44","Cyclotella pseudostelligera","Levasseur et al., 2025",0.75680120723364,26.657758003603
"45","Eudorina elegans","Levasseur et al., 2025",0.99146680373352,17.7983288382943
"46","Fistulifera saprophila","Levasseur et al., 2025",1.00445162212066,18.9865462536859
"47","Fragilaria crotonensis","Levasseur et al., 2025",0.724471063471663,27.7756617512481
"48","Lagerheimia subsalsa","Levasseur et al., 2025",1.31691148985807,15.2566062093763
"49","Messastrum gracile","Levasseur et al., 2025",1.6308995604106,16.6587115382233
"50","Microcystis aeruginosa","Levasseur et al., 2025",1.7342959793767,14.2344101572324
"51","Microcystis viridis","Levasseur et al., 2025",1.25263925234367,16.1412686539423
"52","Nitzschia paela (C )","Levasseur et al., 2025",1.96578500073257,19.0345731836165
"53","Nitzschia paela (G)","Levasseur et al., 2025",1.64895451640597,18.3774089016597
"54","Oocystis sp.","Levasseur et al., 2025",0.791666390993751,17.139281630764
"55","Pediastrum boryanum","Levasseur et al., 2025",1.57470185371163,17.2356404099088
"56","Planktothrix agardhii","Levasseur et al., 2025",0.161023645184086,19.443870002774
"57","Scenedesmus arcuatus var. Platydiscus","Levasseur et al., 2025",1.27228978491751,15.6063402535776
"58","Scenedesmus armatus","Levasseur et al., 2025",1.23312895198701,17.4929676637591
"59","Synechococcus elongatus","Levasseur et al., 2025",1.5133247931847,14.346601748022
"60","Tetraedron minumum","Levasseur et al., 2025",0.521763431145477,17.8649610131928
"61","Akashiwo sanguinea","Thomas et al., 2012",0.286615472600883,13.1875362699595
"62","Alexandrium fundyense strain BoF","Thomas et al., 2012",0.226824664035365,15.0299000311905
"63","Alexandrium fundyense strain MI","Thomas et al., 2012",0.389357576745731,13.5968264115945
"64","Alexandrium ostenfeldii clone LF-37","Thomas et al., 2012",0.208962865013497,11.229973847653
"65","Alexandrium tamarense clone GTMP","Thomas et al., 2012",0.309497761380674,15.0384090344183
"66","Amphiprora sp.","Thomas et al., 2012",0.855936625196956,12.7930168194887
"67","Asterionellopsis glacialis","Thomas et al., 2012",1.81607110237789,15.5916429514341
"68","Asterionellopsis glacialis","Thomas et al., 2012",1.00825411471737,25.516650766517
"69","Asterionellopsis glacialis","Thomas et al., 2012",2.2330026769495,17.5242987470359
"70","Calcidiscus leptoporus strain N482-1","Thomas et al., 2012",0.476528321450592,11.9725899962244
"71","Calcidiscus leptoporus strain NS10-2","Thomas et al., 2012",0.405916342816035,12.4772960010422
"72","Calciodinellum albatrosianum Geob*26/5","Thomas et al., 2012",0.150744531305034,16.4716601678777
"73","Chaetoceros deflandrei","Thomas et al., 2012",0.568569146136883,15.4742392329908
"74","Chaetoceros didymus","Thomas et al., 2012",1.44478899871447,17.3898497494422
"75","Chaetoceros lorenzianus clone Bermuda","Thomas et al., 2012",1.55658317779527,13.7198398731479
"76","Chaetoceros lorenzianus clone Bushehr","Thomas et al., 2012",1.25916245958954,18.2435131628784
"77","Chaetoceros lorenzianus clone Slope water","Thomas et al., 2012",1.63197556912534,16.5899010491663
"78","Chaetoceros pseudocurvisetus","Thomas et al., 2012",1.46584408316545,14.4563614106423
"79","Chaetoceros sp.","Thomas et al., 2012",0.51992276995953,13.9781010235823
"80","Chaetoceros sp. strain CS256","Thomas et al., 2012",0.849617686285092,27.3186575565916
"81","Chattonella marina","Thomas et al., 2012",0.413967622753194,17.4931619597624
"82","Chattonella marina var. antiqua strain Ho-1","Thomas et al., 2012",0.475828922125955,10.9405644857763
"83","Chlorella sp. strain MFD-1","Thomas et al., 2012",0.126403341794652,32.100066993956
"84","Chrysochromulina polylepis strain B3","Thomas et al., 2012",0.778187596961744,14.4614074938609
"85","Chrysochromulina polylepis strain B4","Thomas et al., 2012",0.679038249324165,13.2153013859739
"86","Chrysochromulina polylepis strain K","Thomas et al., 2012",0.862462737109748,14.7291006059835
"87","Cochlodinium polykrikoides strain 02B1","Thomas et al., 2012",0.560627746909489,13.8901639995398
"88","Cochlodinium polykrikoides strain 02B2","Thomas et al., 2012",0.560955047209144,11.2073724105862
"89","Cochlodinium polykrikoides strain 03H1","Thomas et al., 2012",0.561742815134699,15.0601297734675
"90","Cochlodinium polykrikoides strain KG8-ND14","Thomas et al., 2012",0.602461249697403,12.9997851672271
"91","Conticribra guillardii clone 7-15","Thomas et al., 2012",1.58963722099825,18.0253781284673
"92","Corethron pennatum","Thomas et al., 2012",0.221931064187068,7.85564766087848
"93","Cylindrotheca closterium strain NT-6","Thomas et al., 2012",0.424613340550235,13.5135315554267
"94","Dactyliosolen fragilissimus","Thomas et al., 2012",0.783787042626845,23.584816640873
"95","Detonula confervacea","Thomas et al., 2012",0.660614659219768,17.9614240681371
"96","Detonula confervacea","Thomas et al., 2012",0.908895937049944,14.4526737352508
"97","Dunaliella tertiolecta strain CCAP 19/6B","Thomas et al., 2012",1.32642015642327,17.3737581234237
"98","Emiliania huxleyi","Thomas et al., 2012",1.06127934602098,13.1320896899286
