,Species,dataset,r.max,T.br,Sp.name
1,Ankistrodesmus,"Bestion et al., 2018",1.278204978,21.26536927,NA
2,Chlamydomonas,"Bestion et al., 2018",1.832387508,24.60749181,NA
3,Chlorella,"Bestion et al., 2018",2.893655843,16.45583291,NA
4,Monoraphidium,"Bestion et al., 2018",1.989058655,15.35195452,NA
5,Raphidocelis,"Bestion et al., 2018",1.5585824,20.48409281,NA
6,Ceratium furca,"Edwards et al., 2016",0.57219101,13.49431045,Ceratium furca
7,Ceratium fusus,"Edwards et al., 2016",0.470361227,12.27361006,Ceratium fusus
8,Micractinium pusillum,"Edwards et al., 2016",0.604468753,20.09860289,Micractinium pusillum
9,Chroococcus minutus,"Edwards et al., 2016",1.367121188,22.28803322,Chroococcus minutus
10,Planktothrix agardhii,"Edwards et al., 2016",1.926909656,12.00207765,Planktothrix agardhii
11,Anabaena cylindrica,"Edwards et al., 2016",0.620505783,9.818094583,Anabaena cylindrica
12,Fragilaria bidens,"Edwards et al., 2016",0.856752945,20.50311277,Fragilaria bidens
13,Fragilaria crotonensis,"Edwards et al., 2016",0.516122804,17.10604146,Fragilaria crotonensis
14,Staurastrum pingue,"Edwards et al., 2016",0.668730704,25.31390058,Staurastrum pingue
15,Acutodesmus obliquus,"Edwards et al., 2016",2.072598317,8.830818769,Acutodesmus obliquus
16,Phaeodactylum tricornutum,"Edwards et al., 2016",1.503525348,16.99559713,Phaeodactylum tricornutum
17,Chaetoceros deflandrei,"Edwards et al., 2016",0.58901786,17.51228129,Chaetoceros deflandrei
18,Corethron criophilum,"Edwards et al., 2016",0.225726964,8.348419548,Corethron criophilum
19,Nitzschia cylindrus,"Edwards et al., 2016",0.51503203,11.49344556,Nitzschia cylindrus
20,Nitzschia kerguelensis,"Edwards et al., 2016",0.493344799,8.768715745,Nitzschia kerguelensis
21,Nitzschia turgiduloides,"Edwards et al., 2016",0.466617838,8.855119769,Nitzschia turgiduloides
22,Synura sphagnicola,"Edwards et al., 2016",0.711049314,13.37940754,Synura sphagnicola
23,Dactyliosolen fragilissimus,"Edwards et al., 2016",0.938918715,19.77070152,Dactyliosolen fragilissimus
24,Cryptomonas sp. 1,"Edwards et al., 2016",0.548508315,11.18056478,NA
25,Nannochloropsis oceanica,"Edwards et al., 2016",1.540563638,17.51080973,Nannochloropsis oceanica
26,Pseudochattonella farcimen,"Edwards et al., 2016",0.54039125,12.99428995,Pseudochattonella farcimen
27,Closterium parvulum,"Edwards et al., 2016",0.333638969,17.9628766,Closterium parvulum
28,Monoraphidium contortum,"Edwards et al., 2016",0.5883321,24.73420977,Monoraphidium contortum
