"","Species","dataset","r.max","R","comp"
"1","Microcystis aeruginosa","Edwards et al., 2015",0.67,6.64159649122807,0.15056620818816
"2","Selenastrum capricornutum","Edwards et al., 2015",1.32,0.019844262295082,50.392399834779
"3","Asterionella glacialis","Edwards et al., 2015",1.34,0.108870967741935,9.18518518518518
"4","Cochlodinium polykrikoides","Edwards et al., 2015",0.43,0.624242424242424,1.60194174757282
"5","Thalassiosira weissflogii","Edwards et al., 2015",1.32,0.254098360655738,3.93548387096774
"6","Nitzschia closterium","Edwards et al., 2015",0.45,4.17142857142857,0.23972602739726
"7","Skeletonema costatum","Edwards et al., 2015",0.62,0.769230769230769,1.3
"8","Alexandrium catenella","Edwards et al., 2015",0.54,1.75,0.571428571428572
"9","Eucampia zodiacus","Edwards et al., 2015",2.6,0.0344,29.0697674418605
"10","Eucampia zodiacus","Edwards et al., 2015",1,0.0844444444444445,11.8421052631579
"11","Coscinodiscus wailesii","Edwards et al., 2015",0.9,0.175,5.71428571428572
"12","Coscinodiscus wailesii","Edwards et al., 2015",0.34,0.583333333333333,1.71428571428571
"13","Chaetoceros curvisetum","Edwards et al., 2015",0.67,0.298245614035088,3.35294117647059
"14","Chaetoceros sp.","Edwards et al., 2015",0.79,0.36231884057971,2.76
"15","Dunaliella tertiolecta","Edwards et al., 2015",2.4,2.75652173913043,0.362776025236593
"16","Chaetoceros curvisetum","Edwards et al., 2015",0.65,0.6,1.66666666666667
"17","Chaetoceros sp.","Edwards et al., 2015",0.7,1.36666666666667,0.731707317073171
"18","Dunaliella tertiolecta","Edwards et al., 2015",2.28,3.53211009174312,0.283116883116883
"19","Chaetoceros curvisetum","Edwards et al., 2015",0.48,1.5,0.666666666666667
"20","Chaetoceros sp.","Edwards et al., 2015",0.53,1.09302325581395,0.914893617021277
"21","Dunaliella tertiolecta","Edwards et al., 2015",1.08,7.24489795918367,0.138028169014084
"22","Dunaliella tertiolecta","Edwards et al., 2015",1.87,1.07909604519774,0.926701570680628
"23","Cyclotella meneghiniana","Edwards et al., 2015",0.86,0.922934210526316,1.08350084826711
"24","Dunaliella sp.","Edwards et al., 2015",1.28,0.023728813559322,42.1428571428571
"25","Gymnodinium splendens","Edwards et al., 2015",0.33,0.443478260869565,2.25490196078431
"26","Dunaliella sp.","Edwards et al., 2015",1.28,0.0805084745762712,12.4210526315789
"27","Gymnodinium splendens","Edwards et al., 2015",0.58,1.36458333333333,0.732824427480916
"28","Planktothrix agardhii","Edwards et al., 2015",0.86,0.157894736842105,6.33333333333333
"29","Synechococcus","Lewington-Pearce et al., 2019",0.283817254326002,18.9316867129613,0.0528214952614531
"30","Kirchneriella_subcapitata","Lewington-Pearce et al., 2019",0.222239425473903,6.66704964946024,0.149991383382147
"31","Pediastrum_boryanum","Lewington-Pearce et al., 2019",0.37074344952652,2.03811165081615,0.490650254415432
"32","Cyclotella_meneghiniana","Lewington-Pearce et al., 2019",0.592835854769199,5.74917151451498,0.17393810525139
"33","Chlamydomonas_reinhardtii","Lewington-Pearce et al., 2019",0.860679031781177,1.00695366356985,0.993094355955568
"34","Asterionella formosa","Levasseur et al., 2025",0.631703385982341,0.604755775318081,1.6535600664153
"35","Chlorella sp.","Levasseur et al., 2025",1.15974146204098,2.16110758060247,0.462725691666503
"36","Coelastrum sp.","Levasseur et al., 2025",1.62516986581653,0.0540976623766045,18.4850870826623
"37","Cyclotella pseudostelligera","Levasseur et al., 2025",0.766009180072952,0.421363970862779,2.37324514944269
"38","Eudorina elegans","Levasseur et al., 2025",1.08785648927219,0.102828573230143,9.724923419504
"39","Fistulifera saprophila","Levasseur et al., 2025",1.06937837323478,3.3763321017138,0.29617939523556
"40","Fragilaria crotonensis","Levasseur et al., 2025",0.685209197928052,0.584419320587084,1.7111001720399
"41","Messastrum gracile","Levasseur et al., 2025",1.37285621192515,0.031740787525329,31.5052044377287
"42","Microcystis aeruginosa","Levasseur et al., 2025",2.47290075155842,0.0866808275414188,11.5365765229014
"43","Microcystis viridis","Levasseur et al., 2025",2.24260021561968,0.121380471371331,8.2385575595663
"44","Nitzschia paela (C )","Levasseur et al., 2025",2.15525198946943,0.0430702474604872,23.2178837820099
"45","Nitzschia paela (G)","Levasseur et al., 2025",1.57178232044619,0.185948521581193,5.37783248555358
"46","Oocystis sp.","Levasseur et al., 2025",0.752842813926853,0.0499546121187886,20.0181716479365
"47","Pediastrum boryanum","Levasseur et al., 2025",1.78031183010187,0.0463565357737241,21.5719311917786
"48","Planktothrix agardhii","Levasseur et al., 2025",0.162925808636819,25.8497286749017,0.0386851255800967
"49","Scenedesmus arcuatus var. Platydiscus","Levasseur et al., 2025",1.62693345343582,0.0236340261741643,42.3118766405174
"50","Scenedesmus armatus","Levasseur et al., 2025",1.12784915283046,0.0431109821653486,23.1959456679642
"51","Synechococcus elongatus","Levasseur et al., 2025",0.904784039066231,5.61372775432382,0.178134751766289
"52","Tetraedron minumum","Levasseur et al., 2025",0.723724637963328,0.118471620765284,8.44084003865533
