"","Sp.name","r.max.T","T.br","r.max.N","comp.N","r.max.P","comp.P","r.max.L","comp.L"
"1","Acutodesmus obliquus",2.072598317,8.830818769,NA,NA,NA,NA,1.967490547,0.767290809
"2","Akashiwo sanguinea",0.286615473,13.18753627,NA,NA,NA,NA,NA,NA
"3","Alexandrium fundyense",0.3080911205,14.31336322,NA,NA,NA,NA,NA,NA
"4","Alexandrium ostenfeldii",0.208962865,11.22997385,NA,NA,NA,NA,NA,NA
"5","Alexandrium tamarense",0.309497761,15.03840903,NA,NA,NA,NA,NA,NA
"6","Anabaena cylindrica",0.620505783,9.818094583,NA,NA,NA,NA,0.602659244,1.04009129
"7","Asterionella formosa",0.800955946,27.97290169,0.631703386,1.653560066,0.611529004571429,161.194958578143,0.9917633685,0.366292875
"8","Asterionellopsis glacialis",1.68577596466667,19.54419749,NA,NA,NA,NA,NA,NA
"9","Calcidiscus leptoporus",0.441222332,12.224943,NA,NA,NA,NA,NA,NA
"10","Calciodinellum albatrosianum",0.150744531,16.47166017,NA,NA,NA,NA,NA,NA
"11","Ceratium furca",0.57219101,13.49431045,NA,NA,NA,NA,0.618343431,0.074082982
"12","Ceratium fusus",0.470361227,12.27361006,NA,NA,NA,NA,0.718048659,0.071140024
"13","Chaetoceros calcitrans",1.369883701,13.11163212,NA,NA,NA,NA,2.013223047,0.387565415
"14","Chaetoceros deflandrei",0.578793503,16.49326026,NA,NA,NA,NA,0.677855382,0.101055317
"15","Chaetoceros didymus",1.444788999,17.38984975,NA,NA,NA,NA,NA,NA
"16","Chaetoceros lorenzianus",1.48257373566667,16.1844180266667,NA,NA,NA,NA,NA,NA
"17","Chaetoceros pseudocurvisetus",1.465844083,14.45636141,NA,NA,NA,NA,NA,NA
"18","Chattonella marina",0.4448982725,14.216863225,NA,NA,NA,NA,NA,NA
"19","Chroococcus minutus",1.367121188,22.28803322,NA,NA,NA,NA,1.570487702,0.575441499
"20","Chrysochromulina polylepis",0.773229527666667,14.13526983,NA,NA,NA,NA,NA,NA
"21","Closterium parvulum",0.333638969,17.9628766,NA,NA,NA,NA,0.401354871,0.18070228
"22","Cochlodinium polykrikoides",0.57144671475,13.2893628375,0.43,1.601941748,NA,NA,NA,NA
"23","Conticribra guillardii",1.589637221,18.02537813,NA,NA,NA,NA,NA,NA
"24","Corethron criophilum",0.225726964,8.348419548,NA,NA,NA,NA,0.212420812,0.033831565
"25","Corethron pennatum",0.221931064,7.855647661,NA,NA,NA,NA,NA,NA
"26","Cyclotella meneghiniana",0.833159706,12.23641581,0.7264179275,0.6287194765,0.54,17.6,1.233915393,0.205493324
"27","Cyclotella pseudostelligera",0.756801207,26.657758,0.76600918,2.373245149,0.711115493,0.810996937,1.013641425,1.795375767
"28","Cylindrotheca closterium",0.4753601745,17.323216815,NA,NA,NA,NA,0.730847307,0.139875736
